station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-03-05 00:00:00+00:00,85,8.875,30.23,,207.5,253.9
MHJ45,2026-03-05 00:00:00+00:00,70,8.425,26.45,,210.0,288.3
AL945,2026-03-05 00:07:30+00:00,65,8.975,28.48,,207.5,283.4
MHJ45,2026-03-05 00:07:30+00:00,0,8.4,25.82,,215.0,
AL945,2026-03-05 00:15:00+00:00,65,8.725,27.37,,210.0,288.6
MHJ45,2026-03-05 00:15:00+00:00,0,8.35,25.75,,217.5,
AL945,2026-03-05 00:22:30+00:00,40,8.025,26.16,,210.0,268.7
MHJ45,2026-03-05 00:22:30+00:00,70,8.325,25.94,,220.0,298.8
AL945,2026-03-05 00:30:00+00:00,60,7.05,25.23,,210.0,249.0
MHJ45,2026-03-05 00:30:00+00:00,70,8.225,25.88,,220.0,293.8
MHJ45,2026-03-05 00:37:30+00:00,75,8.1,25.49,,220.0,295.8
AL945,2026-03-05 00:37:30+00:00,70,8.225,26.02,,217.5,287.8
AL945,2026-03-05 00:45:00+00:00,60,7.775,26.39,,220.0,264.3
MHJ45,2026-03-05 00:45:00+00:00,70,7.9,24.83,,220.0,294.0
AL945,2026-03-05 00:52:30+00:00,70,7.15,25.32,,220.0,255.4
MHJ45,2026-03-05 00:52:30+00:00,75,7.725,24.31,,220.0,293.3
AL945,2026-03-05 01:00:00+00:00,40,7.325,25.84,,222.5,256.2
MHJ45,2026-03-05 01:00:00+00:00,75,7.575,23.74,,220.0,294.1
AL945,2026-03-05 01:07:30+00:00,70,7.8,25.69,,220.0,269.8
MHJ45,2026-03-05 01:07:30+00:00,70,7.425,23.0,,220.0,297.2
MHJ45,2026-03-05 01:15:00+00:00,70,7.3,22.53,,222.5,297.7
AL945,2026-03-05 01:15:00+00:00,90,7.65,24.34,,215.0,283.2
AL945,2026-03-05 01:22:30+00:00,0,7.575,23.52,,215.0,
MHJ45,2026-03-05 01:22:30+00:00,75,7.25,22.33,,227.5,302.4
MHJ45,2026-03-05 01:30:00+00:00,75,7.1,21.9,,227.5,300.1
AL945,2026-03-05 01:30:00+00:00,70,7.375,23.29,,217.5,283.7
AL945,2026-03-05 01:37:30+00:00,90,7.225,22.79,,215.0,282.9
MHJ45,2026-03-05 01:37:30+00:00,0,6.95,21.14,,225.0,
AL945,2026-03-05 01:45:00+00:00,0,7.125,22.58,,215.0,
MHJ45,2026-03-05 01:45:00+00:00,70,6.95,21.04,,230.0,307.6
AL945,2026-03-05 01:52:30+00:00,70,7.1,22.37,,220.0,287.1
MHJ45,2026-03-05 01:52:30+00:00,0,6.925,20.95,,230.0,
MHJ45,2026-03-05 02:00:00+00:00,70,6.775,20.46,,230.0,304.8
AL945,2026-03-05 02:00:00+00:00,70,6.975,22.07,,220.0,284.2
MHJ45,2026-03-05 02:07:30+00:00,75,6.65,20.03,,230.0,305.8
AL945,2026-03-05 02:07:30+00:00,70,6.825,21.44,,222.5,290.4
AL945,2026-03-05 02:15:00+00:00,0,6.675,20.64,,220.0,
MHJ45,2026-03-05 02:15:00+00:00,0,6.6,19.7,,232.5,
AL945,2026-03-05 02:22:30+00:00,0,6.475,19.94,,222.5,
MHJ45,2026-03-05 02:22:30+00:00,0,6.525,19.45,,237.5,
MHJ45,2026-03-05 02:30:00+00:00,0,6.375,18.8,,240.0,
AL945,2026-03-05 02:30:00+00:00,90,6.35,19.44,,227.5,297.9
AL945,2026-03-05 02:37:30+00:00,90,6.225,18.84,,232.5,302.8
MHJ45,2026-03-05 02:37:30+00:00,0,6.35,18.23,,242.5,
MHJ45,2026-03-05 02:45:00+00:00,0,6.275,17.94,,247.5,
AL945,2026-03-05 02:45:00+00:00,0,6.125,18.39,,235.0,
AL945,2026-03-05 02:52:30+00:00,90,6.0,18.19,,237.5,307.2
MHJ45,2026-03-05 02:52:30+00:00,0,6.3,17.93,,252.5,
MHJ45,2026-03-05 03:00:00+00:00,70,6.325,18.16,,257.5,342.0
AL945,2026-03-05 03:00:00+00:00,0,6.025,17.87,,237.5,
MHJ45,2026-03-05 03:07:30+00:00,70,6.3,18.25,,260.0,330.7
AL945,2026-03-05 03:07:30+00:00,80,6.1,18.23,,242.5,309.9
MHJ45,2026-03-05 03:15:00+00:00,0,6.3,18.35,,257.5,
AL945,2026-03-05 03:15:00+00:00,0,6.025,17.81,,245.0,
MHJ45,2026-03-05 03:22:30+00:00,70,6.2,18.01,,255.0,332.0
AL945,2026-03-05 03:22:30+00:00,90,6.025,18.02,,245.0,316.2
MHJ45,2026-03-05 03:30:00+00:00,95,6.175,17.9,,257.5,335.3
AL945,2026-03-05 03:30:00+00:00,90,6.025,17.88,,247.5,321.2
AL945,2026-03-05 03:37:30+00:00,90,6.0,17.92,,247.5,318.1
MHJ45,2026-03-05 03:37:30+00:00,90,6.175,17.79,,260.0,338.2
MHJ45,2026-03-05 03:45:00+00:00,90,6.15,17.82,,262.5,336.8
AL945,2026-03-05 03:45:00+00:00,90,5.85,18.01,,247.5,306.2
MHJ45,2026-03-05 03:52:30+00:00,95,6.125,17.64,,265.0,338.3
AL945,2026-03-05 03:52:30+00:00,90,5.775,17.72,,247.5,303.5
AL945,2026-03-05 04:00:00+00:00,70,5.7,16.87,,247.5,316.9
MHJ45,2026-03-05 04:00:00+00:00,95,6.15,17.79,,267.5,335.5
MHJ45,2026-03-05 04:07:30+00:00,90,6.2,17.87,,265.0,344.7
AL945,2026-03-05 04:07:30+00:00,90,5.725,16.7,,250.0,328.9
MHJ45,2026-03-05 04:15:00+00:00,90,6.15,17.94,,262.5,329.7
AL945,2026-03-05 04:15:00+00:00,90,5.75,17.01,,252.5,321.9
MHJ45,2026-03-05 04:22:30+00:00,90,6.175,18.03,,260.0,335.4
AL945,2026-03-05 04:22:30+00:00,90,5.725,17.16,,250.0,318.6
AL945,2026-03-05 04:30:00+00:00,90,5.675,16.87,,250.0,315.1
MHJ45,2026-03-05 04:30:00+00:00,95,6.1,17.79,,257.5,337.5
MHJ45,2026-03-05 04:37:30+00:00,90,6.025,17.53,,255.0,337.6
AL945,2026-03-05 04:37:30+00:00,90,5.6,17.11,,250.0,299.6
MHJ45,2026-03-05 04:45:00+00:00,70,5.975,17.26,,255.0,335.5
AL945,2026-03-05 04:45:00+00:00,90,5.65,16.96,,250.0,316.3
MHJ45,2026-03-05 04:52:30+00:00,90,5.925,17.3,,255.0,331.8
AL945,2026-03-05 04:52:30+00:00,90,5.575,16.72,,250.0,313.3
AL945,2026-03-05 05:00:00+00:00,90,5.5,16.51,,247.5,313.4
MHJ45,2026-03-05 05:00:00+00:00,70,5.9,17.13,,252.5,332.5
AL945,2026-03-05 05:07:30+00:00,90,5.475,17.05,,247.5,296.1
MHJ45,2026-03-05 05:07:30+00:00,90,5.9,16.8,,252.5,339.1
