station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-22 00:00:00+00:00,60,8.125,26.04,,212.5,269.6
MHJ45,2026-02-22 00:00:00+00:00,40,7.925,24.69,,230.0,290.7
MHJ45,2026-02-22 00:07:30+00:00,70,7.850,23.76,,227.5,317.4
AL945,2026-02-22 00:07:30+00:00,45,7.95,23.93,,207.5,287.4
MHJ45,2026-02-22 00:15:00+00:00,0,7.675,23.30,,225.0,
AL945,2026-02-22 00:15:00+00:00,60,8.15,24.45,,220.0,298.2
AL945,2026-02-22 00:22:30+00:00,70,7.875,25.78,,232.5,282.7
MHJ45,2026-02-22 00:22:30+00:00,70,6.625,23.04,,227.5,268.6
AL945,2026-02-22 00:30:00+00:00,70,8.35,26.45,,232.5,284.7
MHJ45,2026-02-22 00:30:00+00:00,70,7.700,23.96,,235.0,299.6
MHJ45,2026-02-22 00:37:30+00:00,70,7.850,23.86,,237.5,305.0
AL945,2026-02-22 00:37:30+00:00,70,8.275,26.75,,227.5,280.8
AL945,2026-02-22 00:45:00+00:00,70,8.325,25.93,,222.5,297.0
MHJ45,2026-02-22 00:45:00+00:00,40,7.800,23.67,,235.0,315.9
AL945,2026-02-22 00:52:30+00:00,65,8.275,26.19,,222.5,288.1
MHJ45,2026-02-22 00:52:30+00:00,0,7.700,23.56,,245.0,
MHJ45,2026-02-22 01:00:00+00:00,70,7.800,23.80,,232.5,314.3
AL945,2026-02-22 01:00:00+00:00,60,8.125,25.99,,220.0,279.2
MHJ45,2026-02-22 01:07:30+00:00,0,7.725,24.01,,247.5,
AL945,2026-02-22 01:07:30+00:00,60,7.725,26.25,,220.0,263.8
AL945,2026-02-22 01:15:00+00:00,70,7.925,25.03,,220.0,290.5
MHJ45,2026-02-22 01:15:00+00:00,70,7.625,23.54,,232.5,307.3
MHJ45,2026-02-22 01:22:30+00:00,40,7.500,22.91,,235.0,308.3
AL945,2026-02-22 01:22:30+00:00,70,7.825,24.67,,220.0,285.8
MHJ45,2026-02-22 01:30:00+00:00,70,7.250,22.49,,232.5,296.5
AL945,2026-02-22 01:30:00+00:00,70,7.75,24.72,,222.5,287.9
AL945,2026-02-22 01:37:30+00:00,70,7.575,24.57,,225.0,281.3
MHJ45,2026-02-22 01:37:30+00:00,70,7.250,22.31,,232.5,302.8
AL945,2026-02-22 01:45:00+00:00,60,6.475,23.39,,222.5,250.9
MHJ45,2026-02-22 01:45:00+00:00,60,7.100,21.98,,225.0,300.6
AL945,2026-02-22 01:52:30+00:00,40,6.825,23.55,,235.0,264.3
MHJ45,2026-02-22 01:52:30+00:00,40,6.900,21.23,,225.0,297.2
AL945,2026-02-22 02:00:00+00:00,70,7.1,22.37,,237.5,281.5
MHJ45,2026-02-22 02:00:00+00:00,70,6.850,21.02,,230.0,303.8
AL945,2026-02-22 02:07:30+00:00,70,7.0,22.19,,227.5,278.2
MHJ45,2026-02-22 02:07:30+00:00,45,6.275,19.86,,230.0,284.2
AL945,2026-02-22 02:15:00+00:00,70,6.95,21.7,,227.5,291.5
MHJ45,2026-02-22 02:15:00+00:00,20,5.775,19.94,,230.0,268.6
MHJ45,2026-02-22 02:22:30+00:00,0,6.425,19.36,,232.5,
AL945,2026-02-22 02:22:30+00:00,90,6.95,22.02,,227.5,282.1
MHJ45,2026-02-22 02:30:00+00:00,0,6.600,19.86,,232.5,
AL945,2026-02-22 02:30:00+00:00,90,6.925,22.66,,227.5,276.8
MHJ45,2026-02-22 02:37:30+00:00,70,6.375,19.94,,225.0,295.3
AL945,2026-02-22 02:37:30+00:00,60,6.025,22.01,,220.0,246.7
MHJ45,2026-02-22 02:45:00+00:00,70,6.150,19.86,,217.5,282.6
AL945,2026-02-22 02:45:00+00:00,70,6.275,20.68,,217.5,276.1
MHJ45,2026-02-22 02:52:30+00:00,0,5.825,18.60,,210.0,
AL945,2026-02-22 02:52:30+00:00,0,6.125,19.25,,220.0,
MHJ45,2026-02-22 03:00:00+00:00,0,5.575,16.95,,212.5,
AL945,2026-02-22 03:00:00+00:00,70,5.55,17.94,,222.5,281.0
MHJ45,2026-02-22 03:07:30+00:00,0,5.350,14.73,,225.0,
AL945,2026-02-22 03:07:30+00:00,70,5.25,16.51,,230.0,279.7
AL945,2026-02-22 03:15:00+00:00,0,5.1,14.94,,240.0,
MHJ45,2026-02-22 03:15:00+00:00,70,3.950,13.44,,272.5,280.0
AL945,2026-02-22 03:22:30+00:00,0,4.925,13.74,,252.5,
MHJ45,2026-02-22 03:22:30+00:00,20,4.800,13.88,,270.0,332.7
MHJ45,2026-02-22 03:30:00+00:00,80,4.750,12.98,,282.5,361.4
AL945,2026-02-22 03:30:00+00:00,60,4.575,13.02,,265.0,330.6
AL945,2026-02-22 03:37:30+00:00,80,4.4,12.37,,272.5,337.7
MHJ45,2026-02-22 03:37:30+00:00,40,4.300,12.39,,290.0,341.1
AL945,2026-02-22 03:45:00+00:00,80,4.375,11.26,,285.0,370.0
MHJ45,2026-02-22 03:45:00+00:00,70,4.650,12.83,,300.0,368.3
AL945,2026-02-22 03:52:30+00:00,80,4.35,11.25,,300.0,376.8
MHJ45,2026-02-22 03:52:30+00:00,60,4.675,12.66,,307.5,371.0
AL945,2026-02-22 04:00:00+00:00,40,3.65,11.06,,310.0,326.5
MHJ45,2026-02-22 04:00:00+00:00,60,4.725,12.95,,317.5,359.7
MHJ45,2026-02-22 04:07:30+00:00,60,4.925,12.77,,322.5,386.1
AL945,2026-02-22 04:07:30+00:00,70,4.075,11.02,,317.5,361.5
MHJ45,2026-02-22 04:15:00+00:00,90,4.975,13.06,,315.0,389.4
AL945,2026-02-22 04:15:00+00:00,70,4.05,10.86,,310.0,368.5
MHJ45,2026-02-22 04:22:30+00:00,90,4.875,13.12,,310.0,372.4
AL945,2026-02-22 04:22:30+00:00,40,4.125,11.15,,302.5,360.6
MHJ45,2026-02-22 04:30:00+00:00,90,4.775,13.39,,300.0,355.1
AL945,2026-02-22 04:30:00+00:00,70,4.075,11.43,,295.0,346.1
MHJ45,2026-02-22 04:37:30+00:00,90,4.750,13.17,,295.0,351.8
AL945,2026-02-22 04:37:30+00:00,70,3.6,11.12,,290.0,312.0
AL945,2026-02-22 04:45:00+00:00,60,4.0,10.49,,295.0,368.7
MHJ45,2026-02-22 04:45:00+00:00,90,4.825,13.08,,297.5,360.3
MHJ45,2026-02-22 04:52:30+00:00,90,4.850,12.66,,300.0,376.9
AL945,2026-02-22 04:52:30+00:00,70,3.825,10.34,,322.5,375.4
MHJ45,2026-02-22 05:00:00+00:00,80,4.975,12.64,,305.0,387.4
AL945,2026-02-22 05:00:00+00:00,70,4.0,10.49,,307.5,375.1
AL945,2026-02-22 05:07:30+00:00,70,4.125,10.64,,307.5,369.6
MHJ45,2026-02-22 05:07:30+00:00,80,5.050,12.90,,305.0,389.7
MHJ45,2026-02-22 05:15:00+00:00,95,4.900,13.07,,300.0,371.4
AL945,2026-02-22 05:15:00+00:00,80,4.1,11.32,,305.0,358.6
MHJ45,2026-02-22 05:22:30+00:00,95,4.875,13.02,,297.5,368.6
AL945,2026-02-22 05:22:30+00:00,50,4.075,11.13,,305.0,356.0
AL945,2026-02-22 05:30:00+00:00,40,3.35,10.7,,317.5,308.1
MHJ45,2026-02-22 05:30:00+00:00,90,4.875,12.88,,295.0,375.3
AL945,2026-02-22 05:37:30+00:00,70,4.05,11.11,,300.0,356.4
MHJ45,2026-02-22 05:37:30+00:00,90,4.850,12.82,,295.0,372.6
MHJ45,2026-02-22 05:45:00+00:00,90,4.750,12.96,,287.5,356.9
AL945,2026-02-22 05:45:00+00:00,70,4.025,10.93,,292.5,362.0
MHJ45,2026-02-22 05:52:30+00:00,90,4.600,13.01,,277.5,338.7
AL945,2026-02-22 05:52:30+00:00,70,3.95,10.92,,295.0,350.3
AL945,2026-02-22 06:00:00+00:00,70,3.45,9.92,,292.5,333.4
MHJ45,2026-02-22 06:00:00+00:00,90,4.625,12.84,,280.0,360.0
AL945,2026-02-22 06:07:30+00:00,70,3.45,9.41,,305.0,356.6
MHJ45,2026-02-22 06:07:30+00:00,90,4.425,12.15,,277.5,358.0
MHJ45,2026-02-22 06:15:00+00:00,90,4.075,11.48,,280.0,340.3
AL945,2026-02-22 06:15:00+00:00,70,2.85,8.77,,315.0,309.7
AL945,2026-02-22 06:22:30+00:00,70,3.25,9.83,,325.0,327.4
MHJ45,2026-02-22 06:22:30+00:00,70,3.775,11.08,,282.5,324.2
MHJ45,2026-02-22 06:30:00+00:00,95,3.775,10.46,,285.0,355.5
AL945,2026-02-22 06:30:00+00:00,70,2.925,8.03,,345.0,355.4
AL945,2026-02-22 06:37:30+00:00,70,2.775,7.58,,375.0,356.2
MHJ45,2026-02-22 06:37:30+00:00,80,3.925,9.63,,297.5,397.3
AL945,2026-02-22 06:45:00+00:00,70,2.65,7.21,,377.5,354.9
MHJ45,2026-02-22 06:45:00+00:00,90,3.400,9.46,,322.5,347.2
MHJ45,2026-02-22 06:52:30+00:00,90,3.350,9.10,,327.5,360.9
AL945,2026-02-22 06:52:30+00:00,70,2.475,6.71,,415.0,358.5
MHJ45,2026-02-22 07:00:00+00:00,90,3.350,8.76,,330.0,378.7
AL945,2026-02-22 07:00:00+00:00,45,2.075,5.91,,440.3,314.5
MHJ45,2026-02-22 07:07:30+00:00,95,3.175,8.64,,327.5,362.4
AL945,2026-02-22 07:07:30+00:00,45,2.125,5.43,,499.2,362.6
