station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-03-02 00:00:00+00:00,65,8.7,28.11,,215.0,268.4
MHJ45,2026-03-02 00:00:00+00:00,0,8.5,27.1,,227.5,
AL945,2026-03-02 00:07:30+00:00,65,8.85,28.05,,217.5,280.1
MHJ45,2026-03-02 00:07:30+00:00,60,8.575,27.09,,230.0,294.8
MHJ45,2026-03-02 00:15:00+00:00,40,8.275,27.2,,225.0,280.7
AL945,2026-03-02 00:15:00+00:00,65,8.475,28.26,,217.5,264.4
MHJ45,2026-03-02 00:22:30+00:00,70,8.425,26.92,,227.5,285.3
AL945,2026-03-02 00:22:30+00:00,75,8.35,27.68,,217.5,264.2
AL945,2026-03-02 00:30:00+00:00,70,8.325,26.51,,212.5,282.1
MHJ45,2026-03-02 00:30:00+00:00,40,8.25,26.73,,225.0,281.6
AL945,2026-03-02 00:37:30+00:00,70,8.225,26.52,,215.0,277.8
MHJ45,2026-03-02 00:37:30+00:00,60,8.175,26.22,,225.0,285.5
AL945,2026-03-02 00:45:00+00:00,70,8.075,26.13,,217.5,274.4
MHJ45,2026-03-02 00:45:00+00:00,40,7.75,25.45,,225.0,284.3
MHJ45,2026-03-02 00:52:30+00:00,65,7.95,25.58,,225.0,279.8
AL945,2026-03-02 00:52:30+00:00,70,8.05,25.93,,217.5,280.3
MHJ45,2026-03-02 01:00:00+00:00,40,8.025,25.65,,222.5,291.5
AL945,2026-03-02 01:00:00+00:00,70,7.975,25.62,,217.5,283.9
MHJ45,2026-03-02 01:07:30+00:00,60,7.95,25.08,,222.5,298.6
AL945,2026-03-02 01:07:30+00:00,70,7.925,25.84,,220.0,280.6
AL945,2026-03-02 01:15:00+00:00,90,7.675,25.07,,217.5,280.9
MHJ45,2026-03-02 01:15:00+00:00,70,7.75,24.61,,222.5,298.7
AL945,2026-03-02 01:22:30+00:00,90,7.4,24.1,,215.0,277.0
MHJ45,2026-03-02 01:22:30+00:00,70,7.55,23.73,,220.0,285.4
MHJ45,2026-03-02 01:30:00+00:00,40,7.575,23.57,,220.0,296.4
AL945,2026-03-02 01:30:00+00:00,60,7.2,23.29,,215.0,276.6
AL945,2026-03-02 01:37:30+00:00,60,7.0,22.54,,212.5,276.1
MHJ45,2026-03-02 01:37:30+00:00,70,7.4,23.18,,222.5,300.0
AL945,2026-03-02 01:45:00+00:00,70,6.075,22.08,,215.0,245.4
MHJ45,2026-03-02 01:45:00+00:00,70,7.175,23.1,,222.5,291.0
MHJ45,2026-03-02 01:52:30+00:00,65,7.225,22.65,,225.0,299.4
AL945,2026-03-02 01:52:30+00:00,0,6.725,21.28,,215.0,
MHJ45,2026-03-02 02:00:00+00:00,70,7.025,22.04,,225.0,291.1
AL945,2026-03-02 02:00:00+00:00,70,5.2,19.75,,217.5,237.7
MHJ45,2026-03-02 02:07:30+00:00,70,6.975,21.67,,225.0,295.2
AL945,2026-03-02 02:07:30+00:00,70,6.45,21.09,,225.8,280.7
MHJ45,2026-03-02 02:15:00+00:00,50,6.85,21.41,,225.0,294.1
AL945,2026-03-02 02:15:00+00:00,70,6.325,19.77,,220.0,284.2
MHJ45,2026-03-02 02:22:30+00:00,70,6.75,21.1,,225.0,288.3
AL945,2026-03-02 02:22:30+00:00,0,6.25,19.42,,220.0,
MHJ45,2026-03-02 02:30:00+00:00,50,6.6,20.8,,222.5,279.8
AL945,2026-03-02 02:30:00+00:00,40,5.6,18.83,,225.0,261.3
MHJ45,2026-03-02 02:37:30+00:00,0,6.6,20.3,,222.5,
AL945,2026-03-02 02:37:30+00:00,0,5.9,18.26,,222.5,
MHJ45,2026-03-02 02:45:00+00:00,0,6.225,19.19,,222.5,
AL945,2026-03-02 02:45:00+00:00,0,5.725,17.76,,235.0,
MHJ45,2026-03-02 02:52:30+00:00,80,6.175,18.67,,227.5,293.0
AL945,2026-03-02 02:52:30+00:00,60,5.7,17.58,,242.5,302.2
MHJ45,2026-03-02 03:00:00+00:00,60,5.775,18.63,,230.0,284.2
AL945,2026-03-02 03:00:00+00:00,20,4.8,16.62,,247.5,268.1
AL945,2026-03-02 03:07:30+00:00,60,5.6,17.08,,245.0,304.0
MHJ45,2026-03-02 03:07:30+00:00,0,6.05,17.85,,237.5,
AL945,2026-03-02 03:15:00+00:00,0,5.55,17.15,,235.0,
MHJ45,2026-03-02 03:15:00+00:00,70,5.85,17.97,,237.5,306.9
AL945,2026-03-02 03:22:30+00:00,70,5.425,16.89,,247.5,292.2
MHJ45,2026-03-02 03:22:30+00:00,40,5.775,18.11,,237.5,292.3
AL945,2026-03-02 03:30:00+00:00,70,5.35,16.91,,260.0,296.8
MHJ45,2026-03-02 03:30:00+00:00,20,5.55,18.36,,252.5,280.3
AL945,2026-03-02 03:37:30+00:00,80,5.3,16.44,,250.0,300.5
MHJ45,2026-03-02 03:37:30+00:00,50,5.75,17.53,,245.0,310.2
AL945,2026-03-02 03:45:00+00:00,50,5.3,16.58,,235.0,293.9
MHJ45,2026-03-02 03:45:00+00:00,70,5.625,17.52,,232.5,285.2
MHJ45,2026-03-02 03:52:30+00:00,80,5.75,18.31,,250.0,286.8
AL945,2026-03-02 03:52:30+00:00,0,5.225,15.94,,232.5,
AL945,2026-03-02 04:00:00+00:00,70,5.15,16.33,,227.5,287.8
MHJ45,2026-03-02 04:00:00+00:00,0,5.675,16.92,,232.5,
AL945,2026-03-02 04:07:30+00:00,70,5.075,16.45,,245.0,287.6
MHJ45,2026-03-02 04:07:30+00:00,0,5.625,17.73,,227.5,
MHJ45,2026-03-02 04:15:00+00:00,70,5.6,17.76,,230.0,284.8
AL945,2026-03-02 04:15:00+00:00,70,4.925,15.98,,230.0,283.5
AL945,2026-03-02 04:22:30+00:00,60,4.75,15.37,,230.0,279.5
MHJ45,2026-03-02 04:22:30+00:00,70,5.425,17.66,,230.0,276.0
MHJ45,2026-03-02 04:30:00+00:00,70,5.175,17.15,,227.5,270.5
AL945,2026-03-02 04:30:00+00:00,70,4.5,15.07,,230.0,270.9
MHJ45,2026-03-02 04:37:30+00:00,70,5.15,16.23,,230.0,285.2
AL945,2026-03-02 04:37:30+00:00,50,4.375,14.7,,235.0,271.9
MHJ45,2026-03-02 04:45:00+00:00,70,4.825,15.29,,227.5,280.9
AL945,2026-03-02 04:45:00+00:00,20,4.4,13.81,,240.0,287.6
MHJ45,2026-03-02 04:52:30+00:00,70,4.525,14.49,,235.0,285.3
AL945,2026-03-02 04:52:30+00:00,0,4.3,12.9,,242.5,
AL945,2026-03-02 05:00:00+00:00,70,4.125,12.76,,242.5,297.9
MHJ45,2026-03-02 05:00:00+00:00,0,4.525,13.57,,240.0,
MHJ45,2026-03-02 05:07:30+00:00,0,4.4,13.24,,242.5,
AL945,2026-03-02 05:07:30+00:00,70,3.925,12.15,,265.0,303.7
MHJ45,2026-03-02 05:15:00+00:00,40,3.2,11.64,,247.5,252.8
AL945,2026-03-02 05:15:00+00:00,20,3.7,11.74,,257.5,291.2
AL945,2026-03-02 05:22:30+00:00,70,3.975,11.68,,275.0,315.5
MHJ45,2026-03-02 05:22:30+00:00,40,3.15,11.36,,257.5,261.3
AL945,2026-03-02 05:30:00+00:00,70,3.875,12.62,,262.5,295.5
MHJ45,2026-03-02 05:30:00+00:00,40,4.1,12.31,,262.5,323.6
AL945,2026-03-02 05:37:30+00:00,70,3.375,10.95,,262.5,292.4
MHJ45,2026-03-02 05:37:30+00:00,70,3.3,11.51,,272.5,279.6
MHJ45,2026-03-02 05:45:00+00:00,60,4.05,11.91,,280.0,322.0
AL945,2026-03-02 05:45:00+00:00,60,3.525,10.49,,275.0,323.2
AL945,2026-03-02 05:52:30+00:00,70,3.35,10.14,,287.5,315.0
MHJ45,2026-03-02 05:52:30+00:00,60,4.175,12.23,,282.5,337.9
MHJ45,2026-03-02 06:00:00+00:00,70,4.175,12.45,,285.0,326.9
AL945,2026-03-02 06:00:00+00:00,70,3.175,9.59,,290.0,316.1
MHJ45,2026-03-02 06:07:30+00:00,40,4.075,12.2,,282.5,322.3
AL945,2026-03-02 06:07:30+00:00,70,3.0,9.14,,310.0,312.3
AL945,2026-03-02 06:15:00+00:00,70,3.0,9.06,,295.0,311.9
MHJ45,2026-03-02 06:15:00+00:00,60,4.3,12.2,,275.0,345.1
AL945,2026-03-02 06:22:30+00:00,70,3.2,9.71,,310.0,316.5
MHJ45,2026-03-02 06:22:30+00:00,60,4.05,11.78,,275.0,326.3
MHJ45,2026-03-02 06:30:00+00:00,70,4.425,12.19,,275.0,342.5
AL945,2026-03-02 06:30:00+00:00,70,3.05,9.97,,302.5,296.5
AL945,2026-03-02 06:37:30+00:00,70,3.075,9.17,,297.5,313.8
MHJ45,2026-03-02 06:37:30+00:00,70,4.025,11.97,,275.0,316.3
AL945,2026-03-02 06:45:00+00:00,40,2.95,8.66,,312.5,325.0
MHJ45,2026-03-02 06:45:00+00:00,70,4.075,11.87,,277.5,323.1
MHJ45,2026-03-02 06:52:30+00:00,40,3.85,11.91,,285.0,311.3
AL945,2026-03-02 06:52:30+00:00,20,2.875,9.19,,307.5,301.2
MHJ45,2026-03-02 07:00:00+00:00,60,3.75,12.67,,285.0,293.5
AL945,2026-03-02 07:00:00+00:00,60,2.95,8.86,,300.0,318.2
AL945,2026-03-02 07:07:30+00:00,70,3.0,8.98,,305.0,316.6
