station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-09 00:00:00+00:00,70,6.725,23.01,,200.0,251.2
AL945,2026-02-09 00:00:00+00:00,70,8.3,27.78,,217.5,259.9
MHJ45,2026-02-09 00:07:30+00:00,70,5.875,20.95,,200.0,239.4
AL945,2026-02-09 00:07:30+00:00,70,8.025,27.09,,215.0,263.4
AL945,2026-02-09 00:15:00+00:00,60,7.675,26.39,,207.5,260.7
MHJ45,2026-02-09 00:15:00+00:00,70,4.225,16.87,,205.0,219.2
MHJ45,2026-02-09 00:22:30+00:00,40,5.35,18.71,,227.5,255.4
AL945,2026-02-09 00:22:30+00:00,50,7.725,25.93,,210.0,260.8
AL945,2026-02-09 00:30:00+00:00,70,7.525,24.88,,205.0,264.9
MHJ45,2026-02-09 00:30:00+00:00,0,5.675,17.91,,207.5,
MHJ45,2026-02-09 00:37:30+00:00,40,4.55,16.83,,225.0,246.7
AL945,2026-02-09 00:37:30+00:00,0,7.15,23.32,,202.5,
MHJ45,2026-02-09 00:45:00+00:00,50,5.475,17.42,,225.0,288.7
AL945,2026-02-09 00:45:00+00:00,40,6.825,22.78,,205.0,256.6
AL945,2026-02-09 00:52:30+00:00,0,6.7,21.04,,202.5,
MHJ45,2026-02-09 00:52:30+00:00,40,4.5,16.01,,247.5,268.5
MHJ45,2026-02-09 01:00:00+00:00,70,5.45,17.34,,240.0,288.9
AL945,2026-02-09 01:00:00+00:00,0,6.3,19.94,,207.5,
MHJ45,2026-02-09 01:07:30+00:00,60,5.425,16.8,,240.0,305.4
AL945,2026-02-09 01:07:30+00:00,80,6.35,20.2,,215.0,272.8
AL945,2026-02-09 01:15:00+00:00,60,4.475,17.32,,222.5,234.4
MHJ45,2026-02-09 01:15:00+00:00,80,5.45,16.87,,240.0,304.6
AL945,2026-02-09 01:22:30+00:00,40,5.675,18.47,,220.0,276.5
MHJ45,2026-02-09 01:22:30+00:00,40,5.35,16.46,,237.5,304.6
AL945,2026-02-09 01:30:00+00:00,80,5.775,18.44,,222.5,284.9
MHJ45,2026-02-09 01:30:00+00:00,40,4.275,15.18,,267.5,273.0
AL945,2026-02-09 01:37:30+00:00,20,5.475,17.56,,247.5,284.3
MHJ45,2026-02-09 01:37:30+00:00,20,4.925,16.02,,260.0,299.1
MHJ45,2026-02-09 01:45:00+00:00,40,5.3,15.99,,252.5,317.7
AL945,2026-02-09 01:45:00+00:00,0,5.75,17.6,,235.0,
MHJ45,2026-02-09 01:52:30+00:00,70,5.2,15.77,,250.0,312.1
AL945,2026-02-09 01:52:30+00:00,20,5.55,18.14,,245.0,285.1
AL945,2026-02-09 02:00:00+00:00,70,5.675,17.82,,240.0,293.8
MHJ45,2026-02-09 02:00:00+00:00,70,5.025,15.28,,260.0,318.8
MHJ45,2026-02-09 02:07:30+00:00,40,4.9,15.53,,255.0,291.6
AL945,2026-02-09 02:07:30+00:00,40,5.7,18.07,,237.5,296.4
MHJ45,2026-02-09 02:15:00+00:00,70,5.3,15.64,,265.0,335.5
AL945,2026-02-09 02:15:00+00:00,40,5.6,17.42,,240.0,300.1
AL945,2026-02-09 02:22:30+00:00,70,5.4,16.71,,242.5,299.6
MHJ45,2026-02-09 02:22:30+00:00,80,5.275,15.89,,265.0,329.9
MHJ45,2026-02-09 02:30:00+00:00,60,5.225,16.24,,250.0,298.0
AL945,2026-02-09 02:30:00+00:00,80,5.6,17.88,,242.5,285.2
AL945,2026-02-09 02:37:30+00:00,40,4.5,16.39,,237.5,254.9
MHJ45,2026-02-09 02:37:30+00:00,60,4.575,15.61,,255.0,278.5
MHJ45,2026-02-09 02:45:00+00:00,0,5.275,15.53,,247.5,
AL945,2026-02-09 02:45:00+00:00,70,5.475,17.03,,242.5,290.8
AL945,2026-02-09 02:52:30+00:00,70,5.3,16.14,,247.5,311.2
MHJ45,2026-02-09 02:52:30+00:00,50,4.925,15.14,,265.0,310.4
MHJ45,2026-02-09 03:00:00+00:00,80,4.9,14.77,,257.5,320.8
AL945,2026-02-09 03:00:00+00:00,60,4.45,15.83,,255.0,268.7
AL945,2026-02-09 03:07:30+00:00,40,5.425,16.62,,247.5,300.8
MHJ45,2026-02-09 03:07:30+00:00,70,4.85,14.62,,247.5,302.7
MHJ45,2026-02-09 03:15:00+00:00,0,4.825,14.56,,245.0,
AL945,2026-02-09 03:15:00+00:00,70,5.475,16.84,,247.5,299.5
MHJ45,2026-02-09 03:22:30+00:00,80,4.75,14.33,,242.5,304.2
AL945,2026-02-09 03:22:30+00:00,80,5.4,17.1,,242.5,290.6
