station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-07 00:00:00+00:00,40,6.8,25.74,,205.0,235.7
MHJ45,2026-02-07 00:00:00+00:00,0,6.65,22.47,,225.0,
MHJ45,2026-02-07 00:07:30+00:00,0,6.6,20.79,,220.0,
AL945,2026-02-07 00:07:30+00:00,65,8.075,26.9,,210.0,261.2
AL945,2026-02-07 00:15:00+00:00,80,7.825,27.55,,210.0,251.1
MHJ45,2026-02-07 00:15:00+00:00,60,5.8,20.69,,227.5,252.3
MHJ45,2026-02-07 00:22:30+00:00,0,6.175,18.69,,222.5,
AL945,2026-02-07 00:22:30+00:00,90,7.4,26.01,,207.5,247.9
MHJ45,2026-02-07 00:30:00+00:00,70,5.925,19.51,,242.5,277.0
AL945,2026-02-07 00:30:00+00:00,0,7.275,24.1,,205.0,
MHJ45,2026-02-07 00:37:30+00:00,70,5.8,19.33,,235.0,275.0
AL945,2026-02-07 00:37:30+00:00,20,6.25,23.31,,197.5,235.5
AL945,2026-02-07 00:45:00+00:00,0,6.875,22.41,,202.5,
MHJ45,2026-02-07 00:45:00+00:00,0,5.6,18.43,,140.0,
AL945,2026-02-07 00:52:30+00:00,90,6.575,22.59,,207.5,257.4
MHJ45,2026-02-07 00:52:30+00:00,0,5.275,16.84,,135.0,
AL945,2026-02-07 01:00:00+00:00,0,6.45,20.86,,207.5,
MHJ45,2026-02-07 01:00:00+00:00,0,4.675,15.77,,142.5,
MHJ45,2026-02-07 01:07:30+00:00,0,4.7,14.14,,225.0,
AL945,2026-02-07 01:07:30+00:00,0,6.2,19.68,,212.5,
AL945,2026-02-07 01:15:00+00:00,70,5.9,19.09,,212.5,269.0
MHJ45,2026-02-07 01:15:00+00:00,0,4.575,14.55,,142.5,
AL945,2026-02-07 01:22:30+00:00,70,5.85,18.64,,232.5,277.1
MHJ45,2026-02-07 01:22:30+00:00,65,4.675,13.96,,265.0,317.7
AL945,2026-02-07 01:30:00+00:00,70,5.975,18.83,,237.5,287.7
MHJ45,2026-02-07 01:30:00+00:00,65,4.7,14.19,,265.0,307.4
AL945,2026-02-07 01:37:30+00:00,80,6.0,18.62,,230.0,292.8
MHJ45,2026-02-07 01:37:30+00:00,90,4.825,14.3,,262.5,320.9
AL945,2026-02-07 01:45:00+00:00,70,5.9,18.25,,237.5,297.1
MHJ45,2026-02-07 01:45:00+00:00,90,4.975,14.78,,265.0,326.1
AL945,2026-02-07 01:52:30+00:00,40,5.475,17.7,,245.0,290.4
MHJ45,2026-02-07 01:52:30+00:00,80,4.95,14.91,,262.5,314.7
MHJ45,2026-02-07 02:00:00+00:00,90,4.775,14.44,,257.5,312.5
AL945,2026-02-07 02:00:00+00:00,70,5.425,17.63,,252.5,291.3
AL945,2026-02-07 02:07:30+00:00,70,5.525,17.13,,245.0,298.7
MHJ45,2026-02-07 02:07:30+00:00,90,4.7,14.35,,257.5,310.9
AL945,2026-02-07 02:15:00+00:00,80,5.5,16.44,,242.5,295.7
MHJ45,2026-02-07 02:15:00+00:00,0,4.675,14.14,,135.0,
AL945,2026-02-07 02:22:30+00:00,70,5.15,16.35,,235.0,283.1
MHJ45,2026-02-07 02:22:30+00:00,55,4.675,13.75,,257.5,317.5
AL945,2026-02-07 02:30:00+00:00,70,4.85,15.1,,247.5,303.1
MHJ45,2026-02-07 02:30:00+00:00,70,4.375,13.52,,255.0,308.1
MHJ45,2026-02-07 02:37:30+00:00,45,4.2,12.8,,257.5,314.7
AL945,2026-02-07 02:37:30+00:00,80,4.7,14.49,,252.5,294.4
MHJ45,2026-02-07 02:45:00+00:00,45,4.175,12.63,,257.5,312.4
AL945,2026-02-07 02:45:00+00:00,70,4.175,13.77,,245.0,274.1
MHJ45,2026-02-07 02:52:30+00:00,55,4.05,12.15,,272.5,322.4
AL945,2026-02-07 02:52:30+00:00,40,3.975,12.89,,242.5,286.1
AL945,2026-02-07 03:00:00+00:00,0,3.625,11.12,,255.0,
MHJ45,2026-02-07 03:00:00+00:00,65,3.9,11.62,,270.0,321.8
MHJ45,2026-02-07 03:07:30+00:00,65,3.8,10.27,,287.5,360.4
AL945,2026-02-07 03:07:30+00:00,70,3.775,10.68,,275.0,335.7
AL945,2026-02-07 03:15:00+00:00,35,3.7,9.79,,480.9,380.5
MHJ45,2026-02-07 03:15:00+00:00,70,3.625,10.18,,300.0,340.5
AL945,2026-02-07 03:22:30+00:00,70,3.3,9.64,,295.0,333.1
MHJ45,2026-02-07 03:22:30+00:00,55,3.875,10.46,,320.0,367.2
MHJ45,2026-02-07 03:30:00+00:00,35,3.625,10.0,,322.5,353.6
AL945,2026-02-07 03:30:00+00:00,70,3.275,8.9,,312.5,368.4
MHJ45,2026-02-07 03:37:30+00:00,70,3.55,9.92,,330.0,351.6
AL945,2026-02-07 03:37:30+00:00,70,3.475,8.8,,352.5,388.8
AL945,2026-02-07 03:45:00+00:00,40,2.775,8.13,,365.0,332.6
MHJ45,2026-02-07 03:45:00+00:00,70,3.85,9.7,,345.0,391.0
MHJ45,2026-02-07 03:52:30+00:00,40,2.95,8.94,,350.0,328.0
AL945,2026-02-07 03:52:30+00:00,70,3.0,8.33,,350.0,355.7
AL945,2026-02-07 04:00:00+00:00,60,3.1,8.46,,357.5,366.1
MHJ45,2026-02-07 04:00:00+00:00,60,2.975,8.9,,347.5,332.3
AL945,2026-02-07 04:07:30+00:00,70,2.825,7.73,,355.0,357.3
MHJ45,2026-02-07 04:07:30+00:00,70,3.675,9.8,,342.5,373.3
AL945,2026-02-07 04:15:00+00:00,70,2.875,7.72,,365.0,365.8
MHJ45,2026-02-07 04:15:00+00:00,70,3.875,9.81,,342.5,388.6
AL945,2026-02-07 04:22:30+00:00,70,2.8,8.02,,357.5,340.6
MHJ45,2026-02-07 04:22:30+00:00,70,3.775,9.86,,345.0,386.3
MHJ45,2026-02-07 04:30:00+00:00,70,3.95,10.13,,340.0,392.3
AL945,2026-02-07 04:30:00+00:00,70,2.85,7.84,,362.5,361.2
MHJ45,2026-02-07 04:37:30+00:00,70,4.05,10.31,,335.0,399.5
AL945,2026-02-07 04:37:30+00:00,70,2.9,8.08,,347.5,351.1
AL945,2026-02-07 04:45:00+00:00,70,2.975,7.92,,340.0,372.7
MHJ45,2026-02-07 04:45:00+00:00,65,4.05,10.74,,337.5,371.4
MHJ45,2026-02-07 04:52:30+00:00,70,4.025,10.95,,327.5,358.9
AL945,2026-02-07 04:52:30+00:00,70,3.025,8.32,,330.0,352.0
AL945,2026-02-07 05:00:00+00:00,70,3.075,8.21,,347.5,367.0
MHJ45,2026-02-07 05:00:00+00:00,65,4.15,11.18,,330.0,372.2
MHJ45,2026-02-07 05:07:30+00:00,70,4.05,11.35,,325.0,353.1
AL945,2026-02-07 05:07:30+00:00,70,3.025,8.46,,342.5,347.1
AL945,2026-02-07 05:15:00+00:00,60,2.85,8.34,,357.5,333.6
MHJ45,2026-02-07 05:15:00+00:00,70,4.175,11.47,,327.5,366.6
AL945,2026-02-07 05:22:30+00:00,70,2.825,7.92,,340.0,342.7
MHJ45,2026-02-07 05:22:30+00:00,35,4.325,11.34,,322.5,379.6
MHJ45,2026-02-07 05:30:00+00:00,70,4.2,11.51,,322.5,359.0
AL945,2026-02-07 05:30:00+00:00,70,2.825,7.99,,337.5,341.1
MHJ45,2026-02-07 05:37:30+00:00,45,4.25,11.52,,320.0,366.6
AL945,2026-02-07 05:37:30+00:00,60,2.8,8.25,,337.5,321.2
MHJ45,2026-02-07 05:45:00+00:00,40,4.275,12.23,,312.5,345.4
AL945,2026-02-07 05:45:00+00:00,60,3.375,8.99,,320.0,368.5
AL945,2026-02-07 05:52:30+00:00,70,2.975,8.68,,305.0,325.8
MHJ45,2026-02-07 05:52:30+00:00,65,4.4,12.46,,300.0,353.9
MHJ45,2026-02-07 06:00:00+00:00,80,4.375,12.68,,285.0,345.3
AL945,2026-02-07 06:00:00+00:00,60,2.625,8.65,,300.0,285.6
AL945,2026-02-07 06:07:30+00:00,70,2.75,8.72,,312.5,303.5
MHJ45,2026-02-07 06:07:30+00:00,80,4.425,12.51,,270.0,334.0
MHJ45,2026-02-07 06:15:00+00:00,50,4.325,13.04,,267.5,310.3
AL945,2026-02-07 06:15:00+00:00,70,2.65,7.47,,332.5,339.1
MHJ45,2026-02-07 06:22:30+00:00,60,4.5,13.0,,265.0,334.5
AL945,2026-02-07 06:22:30+00:00,70,2.925,8.27,,332.5,349.8
AL945,2026-02-07 06:30:00+00:00,70,2.725,7.5,,337.5,352.0
MHJ45,2026-02-07 06:30:00+00:00,70,4.35,12.73,,270.0,338.3
AL945,2026-02-07 06:37:30+00:00,70,2.6,7.56,,345.0,332.2
MHJ45,2026-02-07 06:37:30+00:00,40,3.55,12.05,,272.5,282.4
MHJ45,2026-02-07 06:45:00+00:00,80,4.5,13.44,,270.0,322.8
AL945,2026-02-07 06:45:00+00:00,70,2.6,7.64,,372.5,333.4
MHJ45,2026-02-07 06:52:30+00:00,60,4.1,12.47,,262.5,326.3
AL945,2026-02-07 06:52:30+00:00,60,2.725,7.38,,362.5,360.2
AL945,2026-02-07 07:00:00+00:00,60,2.45,7.07,,380.0,334.7
