station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-17 00:00:00+00:00,90,5.675,16.92,,232.5,315.0
MHJ45,2026-02-17 00:00:00+00:00,0,6.525,20.12,,230.0,
AL945,2026-02-17 00:07:30+00:00,70,5.75,17.51,,240.0,308.4
MHJ45,2026-02-17 00:07:30+00:00,90,6.425,19.60,,230.0,301.8
MHJ45,2026-02-17 00:15:00+00:00,90,6.450,20.11,,232.5,293.5
AL945,2026-02-17 00:15:00+00:00,70,5.8,17.91,,235.0,302.9
MHJ45,2026-02-17 00:22:30+00:00,70,6.475,20.47,,232.5,293.9
AL945,2026-02-17 00:22:30+00:00,70,5.8,18.09,,232.5,298.8
MHJ45,2026-02-17 00:30:00+00:00,70,6.250,20.57,,227.5,292.2
AL945,2026-02-17 00:30:00+00:00,70,5.7,18.27,,230.0,282.2
MHJ45,2026-02-17 00:37:30+00:00,70,6.100,19.34,,225.0,292.2
AL945,2026-02-17 00:37:30+00:00,70,5.625,18.05,,230.0,277.0
MHJ45,2026-02-17 00:45:00+00:00,0,6.025,18.52,,225.0,
AL945,2026-02-17 00:45:00+00:00,70,5.575,17.67,,230.0,288.8
MHJ45,2026-02-17 00:52:30+00:00,90,5.900,19.08,,235.0,290.0
AL945,2026-02-17 00:52:30+00:00,90,5.55,17.64,,230.0,291.0
AL945,2026-02-17 01:00:00+00:00,70,5.475,17.48,,227.5,290.5
MHJ45,2026-02-17 01:00:00+00:00,90,5.825,18.54,,232.5,285.6
AL945,2026-02-17 01:07:30+00:00,70,5.325,17.33,,227.5,276.1
MHJ45,2026-02-17 01:07:30+00:00,90,5.650,17.89,,232.5,288.5
MHJ45,2026-02-17 01:15:00+00:00,90,5.575,17.36,,232.5,298.3
AL945,2026-02-17 01:15:00+00:00,70,5.2,17.19,,227.5,277.0
AL945,2026-02-17 01:22:30+00:00,70,4.925,16.39,,222.5,267.9
MHJ45,2026-02-17 01:22:30+00:00,90,5.475,16.96,,235.0,299.4
AL945,2026-02-17 01:30:00+00:00,70,4.625,15.11,,220.0,267.0
MHJ45,2026-02-17 01:30:00+00:00,90,5.450,16.39,,237.5,308.6
MHJ45,2026-02-17 01:37:30+00:00,70,4.575,16.02,,240.0,265.0
AL945,2026-02-17 01:37:30+00:00,0,4.5,14.53,,222.5,
AL945,2026-02-17 01:45:00+00:00,0,4.25,13.31,,225.0,
MHJ45,2026-02-17 01:45:00+00:00,90,5.350,15.94,,242.5,317.3
MHJ45,2026-02-17 01:52:30+00:00,90,5.175,15.90,,245.0,300.9
AL945,2026-02-17 01:52:30+00:00,0,4.1,12.87,,232.5,
MHJ45,2026-02-17 02:00:00+00:00,90,5.050,15.70,,247.5,310.7
AL945,2026-02-17 02:00:00+00:00,0,4.0,11.91,,247.5,
AL945,2026-02-17 02:07:30+00:00,90,3.95,11.67,,255.0,313.3
MHJ45,2026-02-17 02:07:30+00:00,60,4.875,15.14,,250.0,300.6
MHJ45,2026-02-17 02:15:00+00:00,90,4.900,14.39,,252.5,323.1
AL945,2026-02-17 02:15:00+00:00,90,3.7,11.37,,257.5,313.4
MHJ45,2026-02-17 02:22:30+00:00,80,4.750,14.27,,255.0,310.1
AL945,2026-02-17 02:22:30+00:00,0,3.7,10.63,,260.0,
MHJ45,2026-02-17 02:30:00+00:00,90,4.675,13.58,,262.5,319.2
AL945,2026-02-17 02:30:00+00:00,90,3.675,10.73,,277.5,333.4
AL945,2026-02-17 02:37:30+00:00,80,3.65,10.52,,287.5,326.9
MHJ45,2026-02-17 02:37:30+00:00,90,4.725,13.45,,267.5,338.5
MHJ45,2026-02-17 02:45:00+00:00,80,4.775,13.57,,287.5,343.5
AL945,2026-02-17 02:45:00+00:00,90,3.725,11.18,,287.5,323.3
MHJ45,2026-02-17 02:52:30+00:00,90,4.750,13.50,,272.5,340.3
AL945,2026-02-17 02:52:30+00:00,90,3.65,11.18,,285.0,311.4
MHJ45,2026-02-17 03:00:00+00:00,90,4.750,13.60,,272.5,342.3
AL945,2026-02-17 03:00:00+00:00,90,3.775,11.08,,280.0,324.1
MHJ45,2026-02-17 03:07:30+00:00,80,4.825,13.96,,270.0,337.8
AL945,2026-02-17 03:07:30+00:00,90,3.8,11.03,,272.5,324.9
AL945,2026-02-17 03:15:00+00:00,90,3.675,11.14,,272.5,307.1
MHJ45,2026-02-17 03:15:00+00:00,80,4.575,13.75,,267.5,319.1
