station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-27 00:00:00+00:00,70,7.05,22.29,,210.0,271.8
MHJ45,2026-02-27 00:00:00+00:00,70,6.8,21.09,,220.0,294.5
MHJ45,2026-02-27 00:07:30+00:00,0,6.7,20.54,,222.5,
AL945,2026-02-27 00:07:30+00:00,70,6.95,21.28,,215.0,291.5
AL945,2026-02-27 00:15:00+00:00,75,6.925,21.37,,225.0,296.0
MHJ45,2026-02-27 00:15:00+00:00,70,6.55,20.28,,227.5,298.7
MHJ45,2026-02-27 00:22:30+00:00,70,6.4,19.69,,230.0,298.2
AL945,2026-02-27 00:22:30+00:00,70,6.825,21.16,,227.5,292.4
MHJ45,2026-02-27 00:30:00+00:00,70,6.35,19.53,,235.0,305.7
AL945,2026-02-27 00:30:00+00:00,70,6.675,20.73,,225.0,297.0
AL945,2026-02-27 00:37:30+00:00,70,6.525,20.3,,225.0,297.0
MHJ45,2026-02-27 00:37:30+00:00,75,6.325,19.52,,235.0,301.2
AL945,2026-02-27 00:45:00+00:00,0,6.35,19.52,,225.0,
MHJ45,2026-02-27 00:45:00+00:00,75,6.3,19.6,,235.0,301.8
AL945,2026-02-27 00:52:30+00:00,0,6.125,19.01,,225.0,
MHJ45,2026-02-27 00:52:30+00:00,70,6.125,19.34,,232.5,292.4
AL945,2026-02-27 01:00:00+00:00,0,6.0,18.11,,227.5,
MHJ45,2026-02-27 01:00:00+00:00,70,5.975,18.73,,232.5,296.5
AL945,2026-02-27 01:07:30+00:00,0,5.875,17.82,,230.0,
MHJ45,2026-02-27 01:07:30+00:00,0,5.8,17.69,,230.0,
AL945,2026-02-27 01:15:00+00:00,50,5.8,17.84,,235.0,300.1
MHJ45,2026-02-27 01:15:00+00:00,0,5.6,17.01,,230.0,
MHJ45,2026-02-27 01:22:30+00:00,0,5.45,16.46,,232.5,
AL945,2026-02-27 01:22:30+00:00,90,5.75,17.75,,232.5,301.0
MHJ45,2026-02-27 01:30:00+00:00,75,5.3,16.51,,235.0,287.3
AL945,2026-02-27 01:30:00+00:00,90,5.575,17.25,,232.5,303.6
AL945,2026-02-27 01:37:30+00:00,90,5.4,16.77,,232.5,298.2
MHJ45,2026-02-27 01:37:30+00:00,80,5.425,16.55,,237.5,309.3
MHJ45,2026-02-27 01:45:00+00:00,0,5.3,15.94,,235.0,
AL945,2026-02-27 01:45:00+00:00,0,5.2,15.99,,232.5,
MHJ45,2026-02-27 01:52:30+00:00,0,5.05,15.23,,232.5,
AL945,2026-02-27 01:52:30+00:00,90,4.9,15.08,,235.0,292.7
AL945,2026-02-27 02:00:00+00:00,0,4.725,14.29,,252.5,
MHJ45,2026-02-27 02:00:00+00:00,0,4.925,14.48,,240.0,
MHJ45,2026-02-27 02:07:30+00:00,0,4.8,13.93,,247.5,
AL945,2026-02-27 02:07:30+00:00,0,4.55,13.54,,245.0,
AL945,2026-02-27 02:15:00+00:00,0,4.55,13.46,,250.0,
MHJ45,2026-02-27 02:15:00+00:00,0,4.8,13.7,,255.0,
AL945,2026-02-27 02:22:30+00:00,90,4.3,12.89,,255.0,308.2
MHJ45,2026-02-27 02:22:30+00:00,100,4.775,13.6,,262.5,333.6
MHJ45,2026-02-27 02:30:00+00:00,90,4.7,13.73,,265.0,326.9
AL945,2026-02-27 02:30:00+00:00,90,4.175,12.53,,257.5,308.9
AL945,2026-02-27 02:37:30+00:00,90,4.125,12.3,,260.0,320.6
MHJ45,2026-02-27 02:37:30+00:00,85,4.85,13.75,,267.5,340.6
AL945,2026-02-27 02:45:00+00:00,90,4.075,11.86,,265.0,329.9
MHJ45,2026-02-27 02:45:00+00:00,90,4.6,13.23,,270.0,334.1
MHJ45,2026-02-27 02:52:30+00:00,90,4.575,12.95,,272.5,344.3
AL945,2026-02-27 02:52:30+00:00,80,4.025,12.69,,270.0,306.1
MHJ45,2026-02-27 03:00:00+00:00,95,4.5,12.64,,272.5,345.0
AL945,2026-02-27 03:00:00+00:00,90,3.95,11.4,,272.5,331.0
AL945,2026-02-27 03:07:30+00:00,90,4.075,11.42,,275.0,349.7
MHJ45,2026-02-27 03:07:30+00:00,95,4.425,12.4,,275.0,345.0
AL945,2026-02-27 03:15:00+00:00,90,4.075,11.47,,275.0,355.4
MHJ45,2026-02-27 03:15:00+00:00,90,4.275,12.1,,280.0,335.5
AL945,2026-02-27 03:22:30+00:00,90,3.975,11.27,,277.5,348.0
MHJ45,2026-02-27 03:22:30+00:00,90,4.2,11.82,,285.0,337.0
MHJ45,2026-02-27 03:30:00+00:00,85,4.325,11.56,,295.0,358.4
AL945,2026-02-27 03:30:00+00:00,90,3.9,10.96,,277.5,349.5
AL945,2026-02-27 03:37:30+00:00,70,3.875,10.76,,285.0,347.2
MHJ45,2026-02-27 03:37:30+00:00,90,4.2,11.43,,300.0,361.6
MHJ45,2026-02-27 03:45:00+00:00,70,3.15,10.18,,302.5,299.1
AL945,2026-02-27 03:45:00+00:00,90,3.95,10.79,,290.0,357.9
MHJ45,2026-02-27 03:52:30+00:00,60,4.275,11.89,,322.5,357.9
AL945,2026-02-27 03:52:30+00:00,90,3.95,10.95,,285.0,349.2
MHJ45,2026-02-27 04:00:00+00:00,70,4.2,11.42,,305.0,371.4
AL945,2026-02-27 04:00:00+00:00,80,3.95,11.01,,287.5,346.9
MHJ45,2026-02-27 04:07:30+00:00,60,4.15,11.86,,300.0,339.1
AL945,2026-02-27 04:07:30+00:00,90,3.725,10.8,,282.5,331.6
MHJ45,2026-02-27 04:15:00+00:00,65,4.175,11.68,,297.5,362.1
AL945,2026-02-27 04:15:00+00:00,90,3.725,10.18,,285.0,344.0
MHJ45,2026-02-27 04:22:30+00:00,40,4.15,11.89,,315.0,349.6
AL945,2026-02-27 04:22:30+00:00,90,3.675,10.26,,290.0,341.4
AL945,2026-02-27 04:30:00+00:00,90,3.725,10.3,,290.0,358.7
MHJ45,2026-02-27 04:30:00+00:00,50,4.35,11.94,,310.0,360.9
AL945,2026-02-27 04:37:30+00:00,90,3.625,10.11,,295.0,346.2
MHJ45,2026-02-27 04:37:30+00:00,70,4.35,11.73,,297.5,370.0
AL945,2026-02-27 04:45:00+00:00,90,3.625,10.22,,292.5,345.0
MHJ45,2026-02-27 04:45:00+00:00,70,4.175,12.03,,297.5,349.2
MHJ45,2026-02-27 04:52:30+00:00,70,4.475,12.94,,300.0,340.7
AL945,2026-02-27 04:52:30+00:00,90,3.375,10.46,,287.5,307.0
MHJ45,2026-02-27 05:00:00+00:00,60,3.775,12.02,,295.0,309.5
AL945,2026-02-27 05:00:00+00:00,90,3.375,10.18,,287.5,315.8
AL945,2026-02-27 05:07:30+00:00,70,3.375,10.1,,280.0,319.5
MHJ45,2026-02-27 05:07:30+00:00,40,3.65,11.77,,295.0,305.6
MHJ45,2026-02-27 05:15:00+00:00,40,4.225,11.35,,292.5,360.7
AL945,2026-02-27 05:15:00+00:00,90,3.3,9.6,,282.5,323.9
AL945,2026-02-27 05:22:30+00:00,90,3.275,9.22,,277.5,347.3
MHJ45,2026-02-27 05:22:30+00:00,70,4.225,12.43,,295.0,336.8
AL945,2026-02-27 05:30:00+00:00,90,3.075,9.05,,287.5,327.8
MHJ45,2026-02-27 05:30:00+00:00,70,4.4,12.62,,287.5,334.8
AL945,2026-02-27 05:37:30+00:00,90,3.05,8.67,,295.0,337.9
MHJ45,2026-02-27 05:37:30+00:00,70,4.325,12.9,,285.0,327.7
AL945,2026-02-27 05:45:00+00:00,90,3.025,8.67,,320.0,343.5
MHJ45,2026-02-27 05:45:00+00:00,70,4.475,13.17,,282.5,330.4
MHJ45,2026-02-27 05:52:30+00:00,70,4.4,12.68,,282.5,341.7
AL945,2026-02-27 05:52:30+00:00,90,2.95,8.46,,307.5,342.6
MHJ45,2026-02-27 06:00:00+00:00,40,3.3,11.24,,277.5,282.5
AL945,2026-02-27 06:00:00+00:00,90,2.95,8.06,,312.5,369.7
AL945,2026-02-27 06:07:30+00:00,90,2.825,7.79,,350.0,357.8
MHJ45,2026-02-27 06:07:30+00:00,40,3.55,11.78,,277.5,290.4
AL945,2026-02-27 06:15:00+00:00,90,2.725,7.47,,330.0,371.1
MHJ45,2026-02-27 06:15:00+00:00,70,4.325,12.26,,280.0,343.9
AL945,2026-02-27 06:22:30+00:00,40,2.775,7.41,,347.5,367.7
MHJ45,2026-02-27 06:22:30+00:00,70,4.325,12.39,,282.5,338.6
MHJ45,2026-02-27 06:30:00+00:00,70,4.15,12.07,,280.0,337.3
AL945,2026-02-27 06:30:00+00:00,40,2.725,7.54,,337.5,349.0
MHJ45,2026-02-27 06:37:30+00:00,60,4.075,12.29,,280.0,324.6
AL945,2026-02-27 06:37:30+00:00,70,2.625,7.5,,340.0,358.5
AL945,2026-02-27 06:45:00+00:00,90,2.55,7.41,,342.5,329.1
MHJ45,2026-02-27 06:45:00+00:00,70,4.225,12.46,,277.5,321.3
MHJ45,2026-02-27 06:52:30+00:00,70,4.275,12.36,,280.0,334.1
AL945,2026-02-27 06:52:30+00:00,90,2.6,7.09,,357.5,357.4
AL945,2026-02-27 07:00:00+00:00,70,2.6,6.51,,477.5,386.4
MHJ45,2026-02-27 07:00:00+00:00,65,3.425,11.47,,280.0,288.7
MHJ45,2026-02-27 07:07:30+00:00,65,4.35,12.37,,282.5,335.4
AL945,2026-02-27 07:07:30+00:00,70,2.35,6.76,,365.0,330.6
MHJ45,2026-02-27 07:15:00+00:00,65,4.275,12.12,,280.0,343.6
AL945,2026-02-27 07:15:00+00:00,70,2.45,6.34,,445.0,374.0
MHJ45,2026-02-27 07:22:30+00:00,70,4.225,11.95,,282.5,340.4
AL945,2026-02-27 07:22:30+00:00,70,2.55,6.65,,385.0,374.0
MHJ45,2026-02-27 07:30:00+00:00,60,3.8,11.91,,285.0,308.7
AL945,2026-02-27 07:30:00+00:00,70,2.425,6.56,,412.5,358.4
MHJ45,2026-02-27 07:37:30+00:00,65,4.2,12.01,,282.5,345.8
AL945,2026-02-27 07:37:30+00:00,65,2.375,6.37,,397.5,362.2
MHJ45,2026-02-27 07:45:00+00:00,60,4.175,12.29,,280.0,332.0
AL945,2026-02-27 07:45:00+00:00,60,2.4,6.49,,437.5,367.0
AL945,2026-02-27 07:52:30+00:00,70,2.55,6.48,,455.0,387.8
MHJ45,2026-02-27 07:52:30+00:00,65,4.25,12.01,,277.5,334.2
MHJ45,2026-02-27 08:00:00+00:00,40,3.45,11.54,,280.0,287.3
AL945,2026-02-27 08:00:00+00:00,60,2.2,6.37,,407.5,317.4
AL945,2026-02-27 08:07:30+00:00,70,2.275,6.59,,400.0,324.6
MHJ45,2026-02-27 08:07:30+00:00,65,4.175,12.08,,277.5,340.7
MHJ45,2026-02-27 08:15:00+00:00,40,3.55,11.6,,280.0,291.7
AL945,2026-02-27 08:22:30+00:00,60,2.55,6.7,,370.0,380.4
MHJ45,2026-02-27 08:22:30+00:00,70,4.075,11.89,,282.5,335.6
MHJ45,2026-02-27 08:30:00+00:00,70,3.85,12.24,,282.5,304.9
AL945,2026-02-27 08:30:00+00:00,65,2.525,6.75,,485.0,373.9
AL945,2026-02-27 08:37:30+00:00,60,2.5,6.66,,470.0,374.9
MHJ45,2026-02-27 08:37:30+00:00,70,3.975,12.1,,282.5,311.7
AL945,2026-02-27 08:45:00+00:00,45,2.35,6.06,,471.5,368.4
MHJ45,2026-02-27 08:45:00+00:00,70,4.325,12.06,,280.0,337.2
MHJ45,2026-02-27 08:52:30+00:00,60,4.2,12.42,,300.0,332.4
MHJ45,2026-02-27 09:00:00+00:00,70,4.15,13.57,,275.0,300.1
AL945,2026-02-27 09:00:00+00:00,45,2.225,5.82,,466.9,359.2
MHJ45,2026-02-27 09:07:30+00:00,70,4.1,12.48,,272.5,319.2
AL945,2026-02-27 09:15:00+00:00,45,2.525,7.19,,418.9,325.4
MHJ45,2026-02-27 09:15:00+00:00,70,4.125,12.52,,267.5,327.5
AL945,2026-02-27 09:22:30+00:00,45,2.575,6.93,,469.3,338.7
MHJ45,2026-02-27 09:22:30+00:00,70,4.3,12.0,,265.0,331.8
AL945,2026-02-27 09:30:00+00:00,45,2.4,6.65,,391.3,344.5
MHJ45,2026-02-27 09:30:00+00:00,40,3.2,11.31,,267.5,268.4
MHJ45,2026-02-27 09:37:30+00:00,70,4.0,11.94,,265.0,314.3
AL945,2026-02-27 09:37:30+00:00,45,2.35,6.44,,457.6,351.5
AL945,2026-02-27 09:45:00+00:00,45,2.125,5.64,,480.9,340.2
MHJ45,2026-02-27 09:45:00+00:00,70,3.875,11.43,,267.5,329.1
MHJ45,2026-02-27 09:52:30+00:00,60,3.875,12.01,,265.0,304.3
MHJ45,2026-02-27 10:00:00+00:00,80,3.825,11.55,,262.5,319.3
AL945,2026-02-27 10:00:00+00:00,45,2.15,5.77,,448.3,355.1
MHJ45,2026-02-27 10:07:30+00:00,60,3.75,11.6,,282.5,300.5
AL945,2026-02-27 10:15:00+00:00,45,2.125,5.52,,498.0,347.4
MHJ45,2026-02-27 10:15:00+00:00,80,3.775,11.36,,265.0,304.8
AL945,2026-02-27 10:22:30+00:00,65,2.225,5.52,,530.0,366.5
MHJ45,2026-02-27 10:22:30+00:00,80,3.65,11.32,,265.0,290.9
MHJ45,2026-02-27 10:30:00+00:00,70,3.65,11.34,,262.5,292.9
AL945,2026-02-27 10:37:30+00:00,90,2.325,6.41,,415.0,341.1
MHJ45,2026-02-27 10:37:30+00:00,60,3.375,12.05,,262.5,264.8
AL945,2026-02-27 10:45:00+00:00,65,2.525,6.77,,440.0,358.4
MHJ45,2026-02-27 10:45:00+00:00,70,3.557,10.88,,295.0,285.6
AL945,2026-02-27 10:52:30+00:00,65,2.525,7.14,,392.5,332.7
MHJ45,2026-02-27 10:52:30+00:00,70,3.55,11.33,,255.0,288.2
AL945,2026-02-27 11:00:00+00:00,70,2.375,6.94,,385.0,318.3
MHJ45,2026-02-27 11:00:00+00:00,60,3.9,11.44,,245.0,303.5
MHJ45,2026-02-27 11:07:30+00:00,70,3.9,12.57,,245.0,273.4
