station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-13 00:00:00+00:00,70,6.075,19.96,,217.5,271.6
AL945,2026-02-13 00:00:00+00:00,70,6.975,22.4,,237.5,280.6
MHJ45,2026-02-13 00:07:30+00:00,80,6.025,19.69,,220.0,282.5
AL945,2026-02-13 00:07:30+00:00,90,6.975,22.08,,217.5,297.4
MHJ45,2026-02-13 00:15:00+00:00,70,5.850,18.57,,222.5,286.3
AL945,2026-02-13 00:15:00+00:00,90,6.95,22.01,,220.0,292.8
MHJ45,2026-02-13 00:22:30+00:00,40,5.750,18.09,,222.5,283.8
AL945,2026-02-13 00:22:30+00:00,20,6.875,23.07,,225.0,274.4
MHJ45,2026-02-13 00:30:00+00:00,70,5.600,18.02,,225.0,279.9
AL945,2026-02-13 00:30:00+00:00,70,6.875,22.45,,222.5,280.3
MHJ45,2026-02-13 00:37:30+00:00,70,5.525,17.98,,227.5,282.0
AL945,2026-02-13 00:37:30+00:00,60,6.775,22.22,,230.0,275.9
MHJ45,2026-02-13 00:45:00+00:00,70,5.450,17.64,,230.0,275.1
AL945,2026-02-13 00:45:00+00:00,40,6.375,21.84,,222.5,267.6
MHJ45,2026-02-13 00:52:30+00:00,70,5.275,16.84,,232.5,280.6
AL945,2026-02-13 00:52:30+00:00,90,6.275,20.71,,222.5,277.2
AL945,2026-02-13 01:00:00+00:00,90,6.1,19.51,,222.5,282.8
MHJ45,2026-02-13 01:00:00+00:00,70,4.800,15.48,,242.5,283.0
MHJ45,2026-02-13 01:07:30+00:00,90,4.700,15.41,,235.0,284.3
AL945,2026-02-13 01:07:30+00:00,90,5.65,18.9,,222.5,268.7
AL945,2026-02-13 01:15:00+00:00,90,5.55,18.55,,235.0,272.9
MHJ45,2026-02-13 01:15:00+00:00,90,4.625,14.29,,240.0,295.9
MHJ45,2026-02-13 01:22:30+00:00,60,4.600,14.10,,277.5,311.6
AL945,2026-02-13 01:22:30+00:00,90,5.375,17.39,,222.5,276.6
MHJ45,2026-02-13 01:30:00+00:00,40,4.550,13.66,,265.0,315.3
AL945,2026-02-13 01:30:00+00:00,80,5.225,16.91,,225.0,269.8
AL945,2026-02-13 01:37:30+00:00,70,4.95,16.13,,237.5,272.9
MHJ45,2026-02-13 01:37:30+00:00,60,4.625,14.68,,255.0,298.8
AL945,2026-02-13 01:45:00+00:00,0,4.675,15.0,,227.5,
MHJ45,2026-02-13 01:45:00+00:00,60,3.550,12.86,,252.5,261.7
AL945,2026-02-13 01:52:30+00:00,60,4.1,14.57,,232.5,256.5
MHJ45,2026-02-13 01:52:30+00:00,70,4.625,14.13,,257.5,312.9
AL945,2026-02-13 02:00:00+00:00,0,4.6,14.3,,242.5,
MHJ45,2026-02-13 02:00:00+00:00,80,4.750,14.62,,257.5,305.4
AL945,2026-02-13 02:07:30+00:00,80,4.425,14.18,,235.0,288.3
MHJ45,2026-02-13 02:07:30+00:00,70,4.775,14.05,,257.5,332.4
AL945,2026-02-13 02:15:00+00:00,80,4.275,12.94,,237.5,293.9
MHJ45,2026-02-13 02:15:00+00:00,70,4.600,13.54,,252.5,321.3
MHJ45,2026-02-13 02:22:30+00:00,60,4.550,13.37,,255.0,321.1
AL945,2026-02-13 02:22:30+00:00,0,4.15,11.85,,245.0,
AL945,2026-02-13 02:30:00+00:00,80,4.1,12.23,,260.0,311.8
MHJ45,2026-02-13 02:30:00+00:00,0,4.275,12.43,,272.5,
MHJ45,2026-02-13 02:37:30+00:00,70,4.350,11.65,,357.5,390.0
AL945,2026-02-13 02:37:30+00:00,80,4.125,12.34,,275.0,308.5
AL945,2026-02-13 02:45:00+00:00,70,4.075,11.91,,272.5,317.3
MHJ45,2026-02-13 02:45:00+00:00,70,4.350,11.56,,362.5,391.4
AL945,2026-02-13 02:52:30+00:00,40,3.025,10.14,,280.0,284.1
MHJ45,2026-02-13 02:52:30+00:00,70,4.175,12.21,,285.0,329.0
AL945,2026-02-13 03:00:00+00:00,80,3.85,11.1,,312.5,334.6
MHJ45,2026-02-13 03:00:00+00:00,70,4.175,11.73,,285.0,346.9
AL945,2026-02-13 03:07:30+00:00,80,3.75,11.19,,285.0,318.9
MHJ45,2026-02-13 03:07:30+00:00,40,3.775,11.53,,315.0,336.7
MHJ45,2026-02-13 03:15:00+00:00,70,3.975,11.88,,295.0,330.6
AL945,2026-02-13 03:15:00+00:00,80,3.8,10.6,,290.0,335.9
MHJ45,2026-02-13 03:22:30+00:00,70,4.150,11.14,,295.0,359.5
AL945,2026-02-13 03:22:30+00:00,80,3.85,11.03,,292.5,339.9
MHJ45,2026-02-13 03:30:00+00:00,70,4.000,11.33,,297.5,340.0
AL945,2026-02-13 03:30:00+00:00,80,4.0,11.3,,297.5,343.2
MHJ45,2026-02-13 03:37:30+00:00,65,4.100,11.66,,300.0,338.7
AL945,2026-02-13 03:37:30+00:00,80,4.075,11.99,,280.0,323.2
AL945,2026-02-13 03:45:00+00:00,70,4.025,12.23,,277.5,321.2
MHJ45,2026-02-13 03:45:00+00:00,70,4.200,11.89,,287.5,341.7
AL945,2026-02-13 03:52:30+00:00,80,4.15,12.31,,272.5,316.4
MHJ45,2026-02-13 03:52:30+00:00,70,4.175,12.42,,280.0,338.5
AL945,2026-02-13 04:00:00+00:00,40,3.425,11.71,,285.0,282.9
MHJ45,2026-02-13 04:00:00+00:00,70,4.575,12.80,,280.0,350.5
AL945,2026-02-13 04:07:30+00:00,80,4.15,12.4,,272.5,326.7
MHJ45,2026-02-13 04:07:30+00:00,70,4.575,12.48,,282.5,366.1
AL945,2026-02-13 04:15:00+00:00,80,4.175,12.13,,272.5,328.7
MHJ45,2026-02-13 04:15:00+00:00,70,4.550,12.78,,280.0,347.6
AL945,2026-02-13 04:22:30+00:00,70,4.175,12.47,,272.5,311.7
MHJ45,2026-02-13 04:22:30+00:00,70,4.575,13.12,,282.5,341.8
AL945,2026-02-13 04:30:00+00:00,70,4.225,12.68,,270.0,322.8
MHJ45,2026-02-13 04:30:00+00:00,60,4.150,13.54,,275.0,296.8
AL945,2026-02-13 04:37:30+00:00,80,4.175,12.67,,270.0,318.1
MHJ45,2026-02-13 04:37:30+00:00,70,4.550,13.28,,270.0,322.2
AL945,2026-02-13 04:45:00+00:00,0,4.2,12.43,,265.0,
MHJ45,2026-02-13 04:45:00+00:00,60,4.075,13.43,,270.0,292.8
MHJ45,2026-02-13 04:52:30+00:00,60,4.425,13.46,,265.0,318.5
AL945,2026-02-13 04:52:30+00:00,80,4.225,12.8,,300.0,326.7
AL945,2026-02-13 05:00:00+00:00,80,4.175,12.6,,267.5,325.8
MHJ45,2026-02-13 05:00:00+00:00,70,4.400,13.46,,262.5,314.8
AL945,2026-02-13 05:07:30+00:00,60,4.025,13.15,,265.0,294.3
MHJ45,2026-02-13 05:07:30+00:00,70,4.750,14.02,,267.5,321.7
AL945,2026-02-13 05:15:00+00:00,0,4.175,11.97,,267.5,
MHJ45,2026-02-13 05:15:00+00:00,40,4.975,14.74,,267.5,340.8
MHJ45,2026-02-13 05:22:30+00:00,50,4.350,12.86,,280.0,318.1
AL945,2026-02-13 05:22:30+00:00,40,4.05,13.52,,267.5,292.9
AL945,2026-02-13 05:30:00+00:00,60,4.15,12.09,,270.0,328.9
MHJ45,2026-02-13 05:30:00+00:00,50,3.075,10.98,,277.5,271.4
AL945,2026-02-13 05:37:30+00:00,70,3.875,12.31,,267.5,297.8
MHJ45,2026-02-13 05:37:30+00:00,0,5.075,14.06,,267.5,
