station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-03-06 00:00:00+00:00,70,8.1,24.89,,225.0,302.3
AL945,2026-03-06 00:00:00+00:00,65,8.8,27.97,,207.5,277.5
AL945,2026-03-06 00:07:30+00:00,75,8.5,27.2,,210.0,275.7
MHJ45,2026-03-06 00:07:30+00:00,0,8.125,24.67,,225.0,
AL945,2026-03-06 00:15:00+00:00,70,8.225,26.76,,210.0,267.1
MHJ45,2026-03-06 00:15:00+00:00,70,8.125,24.82,,230.0,311.3
MHJ45,2026-03-06 00:22:30+00:00,70,8.175,25.26,,232.5,306.3
AL945,2026-03-06 00:22:30+00:00,70,8.075,25.82,,210.0,274.3
AL945,2026-03-06 00:30:00+00:00,70,7.9,24.67,,210.0,285.1
MHJ45,2026-03-06 00:30:00+00:00,70,8.175,25.54,,232.5,302.6
AL945,2026-03-06 00:37:30+00:00,70,7.825,24.52,,215.0,287.8
MHJ45,2026-03-06 00:37:30+00:00,70,8.15,25.73,,232.5,297.4
MHJ45,2026-03-06 00:45:00+00:00,70,8.1,25.78,,230.0,294.9
AL945,2026-03-06 00:45:00+00:00,70,7.8,24.52,,222.5,286.6
AL945,2026-03-06 00:52:30+00:00,80,7.7,24.13,,222.5,280.0
MHJ45,2026-03-06 00:52:30+00:00,70,8.0,25.53,,227.5,292.6
MHJ45,2026-03-06 01:00:00+00:00,75,7.8,25.11,,225.0,285.2
AL945,2026-03-06 01:00:00+00:00,90,7.825,24.44,,222.5,296.3
MHJ45,2026-03-06 01:07:30+00:00,70,7.625,24.45,,222.5,285.6
AL945,2026-03-06 01:07:30+00:00,95,7.65,24.89,,225.0,275.9
MHJ45,2026-03-06 01:15:00+00:00,70,7.425,23.83,,222.5,280.8
AL945,2026-03-06 01:15:00+00:00,70,7.65,24.37,,222.5,288.7
AL945,2026-03-06 01:22:30+00:00,70,7.375,23.8,,220.0,276.9
MHJ45,2026-03-06 01:22:30+00:00,70,7.375,23.36,,220.0,292.7
AL945,2026-03-06 01:30:00+00:00,70,7.425,23.61,,220.0,284.5
MHJ45,2026-03-06 01:30:00+00:00,70,7.275,22.81,,222.5,291.9
AL945,2026-03-06 01:37:30+00:00,70,7.35,23.6,,220.0,281.5
MHJ45,2026-03-06 01:37:30+00:00,70,7.25,22.68,,225.0,297.9
MHJ45,2026-03-06 01:45:00+00:00,70,7.125,22.55,,225.0,288.7
AL945,2026-03-06 01:45:00+00:00,70,7.25,23.4,,222.5,283.9
MHJ45,2026-03-06 01:52:30+00:00,70,7.0,22.17,,227.5,289.7
AL945,2026-03-06 01:52:30+00:00,70,7.125,23.11,,222.5,281.8
MHJ45,2026-03-06 02:00:00+00:00,70,6.825,21.36,,227.5,293.7
AL945,2026-03-06 02:00:00+00:00,60,7.025,23.23,,222.5,272.9
MHJ45,2026-03-06 02:07:30+00:00,75,6.675,20.8,,227.5,295.2
AL945,2026-03-06 02:07:30+00:00,70,6.85,21.93,,222.5,285.2
AL945,2026-03-06 02:15:00+00:00,40,6.65,21.23,,222.5,286.8
MHJ45,2026-03-06 02:15:00+00:00,0,6.6,20.03,,230.0,
AL945,2026-03-06 02:22:30+00:00,0,6.575,20.56,,225.0,
MHJ45,2026-03-06 02:22:30+00:00,0,6.625,19.63,,232.5,
AL945,2026-03-06 02:30:00+00:00,90,6.475,20.22,,227.5,296.2
MHJ45,2026-03-06 02:30:00+00:00,70,6.5,19.86,,235.0,302.5
AL945,2026-03-06 02:37:30+00:00,90,6.35,20.02,,232.5,297.0
MHJ45,2026-03-06 02:37:30+00:00,75,6.45,19.69,,237.5,303.9
AL945,2026-03-06 02:45:00+00:00,90,6.325,19.69,,232.5,296.8
MHJ45,2026-03-06 02:45:00+00:00,70,6.425,19.94,,240.0,313.2
MHJ45,2026-03-06 02:52:30+00:00,70,6.3,19.27,,240.0,306.5
AL945,2026-03-06 02:52:30+00:00,90,6.25,19.35,,232.5,303.6
MHJ45,2026-03-06 03:00:00+00:00,75,6.225,18.71,,240.0,319.9
AL945,2026-03-06 03:00:00+00:00,90,6.15,19.0,,235.0,303.5
MHJ45,2026-03-06 03:07:30+00:00,0,6.1,18.25,,240.0,
AL945,2026-03-06 03:07:30+00:00,90,6.05,18.84,,235.0,301.7
AL945,2026-03-06 03:15:00+00:00,95,6.0,18.42,,235.0,302.8
MHJ45,2026-03-06 03:15:00+00:00,0,6.05,17.91,,240.0,
AL945,2026-03-06 03:22:30+00:00,90,5.875,18.24,,235.0,298.0
MHJ45,2026-03-06 03:22:30+00:00,70,5.95,17.63,,242.5,317.2
MHJ45,2026-03-06 03:30:00+00:00,70,5.975,17.63,,245.0,325.6
AL945,2026-03-06 03:30:00+00:00,90,5.825,17.72,,237.5,307.5
AL945,2026-03-06 03:37:30+00:00,70,5.8,17.42,,237.5,316.0
MHJ45,2026-03-06 03:37:30+00:00,95,5.95,17.67,,247.5,327.1
AL945,2026-03-06 03:45:00+00:00,70,5.7,16.99,,237.5,305.8
MHJ45,2026-03-06 03:45:00+00:00,95,5.85,17.4,,247.5,322.2
MHJ45,2026-03-06 03:52:30+00:00,100,5.8,17.11,,250.0,324.8
AL945,2026-03-06 03:52:30+00:00,90,5.65,16.96,,240.0,308.5
MHJ45,2026-03-06 04:00:00+00:00,90,5.7,16.78,,252.5,324.9
AL945,2026-03-06 04:00:00+00:00,0,5.625,16.7,,242.5,
AL945,2026-03-06 04:07:30+00:00,0,5.575,16.4,,245.0,
MHJ45,2026-03-06 04:07:30+00:00,90,5.675,16.52,,255.0,327.8
MHJ45,2026-03-06 04:15:00+00:00,90,5.625,16.12,,257.5,339.2
AL945,2026-03-06 04:15:00+00:00,90,5.4,16.23,,247.5,316.0
AL945,2026-03-06 04:22:30+00:00,90,5.425,16.04,,252.5,317.6
MHJ45,2026-03-06 04:22:30+00:00,90,5.525,15.81,,265.0,335.4
AL945,2026-03-06 04:30:00+00:00,90,5.375,16.01,,255.0,313.9
MHJ45,2026-03-06 04:30:00+00:00,90,5.5,15.64,,267.5,344.3
AL945,2026-03-06 04:37:30+00:00,90,5.325,15.4,,255.0,332.4
MHJ45,2026-03-06 04:37:30+00:00,90,5.525,15.48,,275.0,352.6
MHJ45,2026-03-06 04:45:00+00:00,90,5.425,15.36,,272.5,341.1
AL945,2026-03-06 04:45:00+00:00,90,5.25,15.23,,260.0,330.2
AL945,2026-03-06 04:52:30+00:00,90,5.175,15.13,,262.5,330.9
MHJ45,2026-03-06 04:52:30+00:00,90,5.325,14.98,,272.5,345.8
