station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-14 00:00:00+00:00,70,8.175,27.97,,215.0,257.9
MHJ45,2026-02-14 00:00:00+00:00,60,6.900,21.98,,220.0,283.1
MHJ45,2026-02-14 00:07:30+00:00,40,6.750,21.84,,222.5,287.0
AL945,2026-02-14 00:07:30+00:00,65,8.025,27.49,,215.0,257.0
AL945,2026-02-14 00:15:00+00:00,50,7.625,25.96,,210.0,254.3
MHJ45,2026-02-14 00:15:00+00:00,70,6.450,21.15,,220.0,277.6
AL945,2026-02-14 00:22:30+00:00,40,7.025,25.11,,207.5,244.1
MHJ45,2026-02-14 00:22:30+00:00,70,6.200,20.52,,230.0,275.4
AL945,2026-02-14 00:30:00+00:00,40,6.575,23.96,,205.0,239.0
MHJ45,2026-02-14 00:30:00+00:00,60,5.900,20.40,,212.5,251.4
MHJ45,2026-02-14 00:37:30+00:00,60,4.825,18.49,,212.5,233.5
AL945,2026-02-14 00:37:30+00:00,0,6.7,22.45,,230.0,
MHJ45,2026-02-14 00:45:00+00:00,60,5.375,18.02,,212.5,266.7
AL945,2026-02-14 00:45:00+00:00,0,6.275,20.92,,205.0,
MHJ45,2026-02-14 00:52:30+00:00,0,5.300,15.99,,220.0,
AL945,2026-02-14 00:52:30+00:00,0,5.75,18.88,,205.0,
AL945,2026-02-14 01:00:00+00:00,0,5.225,17.08,,210.0,
MHJ45,2026-02-14 01:00:00+00:00,70,5.075,15.08,,235.0,297.1
AL945,2026-02-14 01:07:30+00:00,0,5.2,15.41,,220.0,
MHJ45,2026-02-14 01:07:30+00:00,60,5.050,15.56,,257.5,304.1
MHJ45,2026-02-14 01:15:00+00:00,60,4.225,14.95,,245.0,263.6
AL945,2026-02-14 01:15:00+00:00,0,5.125,15.79,,237.5,
AL945,2026-02-14 01:22:30+00:00,90,5.0,15.66,,242.5,288.2
MHJ45,2026-02-14 01:22:30+00:00,70,4.725,14.90,,252.5,294.2
MHJ45,2026-02-14 01:30:00+00:00,60,5.150,15.09,,257.5,319.7
AL945,2026-02-14 01:30:00+00:00,90,4.775,14.96,,240.0,283.5
MHJ45,2026-02-14 01:37:30+00:00,40,4.025,14.06,,260.0,274.2
AL945,2026-02-14 01:37:30+00:00,90,4.75,14.64,,237.5,291.9
MHJ45,2026-02-14 01:45:00+00:00,80,5.300,15.36,,262.5,326.4
AL945,2026-02-14 01:45:00+00:00,0,4.625,13.92,,240.0,
