station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-11 00:00:00+00:00,70,8.25,26.45,,215.0,278.2
AL945,2026-02-11 00:00:00+00:00,40,8.45,30.37,,202.5,246.0
AL945,2026-02-11 00:07:30+00:00,20,8.45,29.35,,202.5,254.5
MHJ45,2026-02-11 00:07:30+00:00,0,8.025,25.93,,210.0,
AL945,2026-02-11 00:15:00+00:00,70,8.4,28.82,,205.0,255.8
MHJ45,2026-02-11 00:15:00+00:00,0,12.875,31.14,,207.5,
AL945,2026-02-11 00:22:30+00:00,0,8.4,27.91,,230.0,
MHJ45,2026-02-11 00:22:30+00:00,0,7.6,24.45,,207.5,
MHJ45,2026-02-11 00:30:00+00:00,70,7.3,23.61,,207.5,278.9
AL945,2026-02-11 00:30:00+00:00,45,7.8,27.34,,205.0,249.9
MHJ45,2026-02-11 00:37:30+00:00,0,7.05,22.15,,207.5,
AL945,2026-02-11 00:37:30+00:00,40,7.65,26.57,,207.5,258.8
AL945,2026-02-11 00:45:00+00:00,90,7.625,24.83,,207.5,273.2
MHJ45,2026-02-11 00:45:00+00:00,0,6.975,21.85,,210.0,
AL945,2026-02-11 00:52:30+00:00,40,6.8,24.08,,207.5,247.1
MHJ45,2026-02-11 00:52:30+00:00,60,6.725,22.12,,215.0,277.2
AL945,2026-02-11 01:00:00+00:00,0,7.15,22.66,,220.0,
MHJ45,2026-02-11 01:00:00+00:00,0,6.625,20.64,,217.5,
AL945,2026-02-11 01:07:30+00:00,60,6.875,21.91,,212.5,271.2
MHJ45,2026-02-11 01:07:30+00:00,50,6.375,19.86,,217.5,285.1
AL945,2026-02-11 01:15:00+00:00,70,6.8,22.03,,215.0,274.3
MHJ45,2026-02-11 01:15:00+00:00,70,6.25,19.34,,220.0,283.6
AL945,2026-02-11 01:22:30+00:00,90,6.7,21.58,,220.0,276.5
MHJ45,2026-02-11 01:22:30+00:00,60,5.35,18.8,,225.0,256.9
MHJ45,2026-02-11 01:30:00+00:00,70,6.075,19.38,,230.0,284.1
