station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-21 00:00:00+00:00,60,8.45,26.97,,212.5,274.4
MHJ45,2026-02-21 00:00:00+00:00,70,8.000,25.67,,225.0,281.8
MHJ45,2026-02-21 00:07:30+00:00,70,7.925,25.25,,225.0,286.8
AL945,2026-02-21 00:07:30+00:00,60,8.025,26.1,,227.5,275.0
AL945,2026-02-21 00:15:00+00:00,40,7.3,25.9,,217.5,253.7
MHJ45,2026-02-21 00:15:00+00:00,70,7.775,25.17,,220.0,289.5
AL945,2026-02-21 00:22:30+00:00,60,7.975,26.22,,217.5,270.2
MHJ45,2026-02-21 00:22:30+00:00,70,7.650,24.50,,220.0,284.3
AL945,2026-02-21 00:30:00+00:00,40,7.375,26.44,,215.0,252.1
MHJ45,2026-02-21 00:30:00+00:00,50,7.425,24.30,,217.5,267.2
AL945,2026-02-21 00:37:30+00:00,80,7.375,25.05,,215.0,262.5
MHJ45,2026-02-21 00:37:30+00:00,70,7.300,23.12,,220.0,289.4
MHJ45,2026-02-21 00:45:00+00:00,65,6.925,22.55,,222.5,272.4
AL945,2026-02-21 00:45:00+00:00,70,7.275,23.13,,212.5,283.6
AL945,2026-02-21 00:52:30+00:00,90,6.975,21.77,,215.0,286.7
MHJ45,2026-02-21 00:52:30+00:00,70,6.875,21.43,,222.5,297.8
AL945,2026-02-21 01:00:00+00:00,0,6.8,20.85,,222.5,
MHJ45,2026-02-21 01:00:00+00:00,0,6.675,20.11,,227.5,
AL945,2026-02-21 01:07:30+00:00,80,6.525,20.04,,227.5,291.9
MHJ45,2026-02-21 01:07:30+00:00,0,6.625,19.48,,235.0,
AL945,2026-02-21 01:15:00+00:00,40,5.55,19.33,,235.0,267.7
MHJ45,2026-02-21 01:15:00+00:00,70,6.575,19.71,,242.5,319.1
MHJ45,2026-02-21 01:22:30+00:00,70,6.350,19.05,,245.0,309.2
AL945,2026-02-21 01:22:30+00:00,80,6.3,19.39,,242.5,305.6
AL945,2026-02-21 01:30:00+00:00,80,6.0,17.94,,250.0,317.1
MHJ45,2026-02-21 01:30:00+00:00,90,6.300,18.18,,250.0,335.0
MHJ45,2026-02-21 01:37:30+00:00,90,6.225,17.59,,260.0,344.3
AL945,2026-02-21 01:37:30+00:00,70,5.85,17.73,,252.5,311.1
AL945,2026-02-21 01:45:00+00:00,90,5.725,16.67,,255.0,331.6
MHJ45,2026-02-21 01:45:00+00:00,70,6.075,17.09,,265.0,346.4
MHJ45,2026-02-21 01:52:30+00:00,90,6.100,16.62,,277.5,358.9
AL945,2026-02-21 01:52:30+00:00,80,5.75,16.81,,262.5,321.0
MHJ45,2026-02-21 02:00:00+00:00,80,5.975,16.88,,272.5,341.0
AL945,2026-02-21 02:00:00+00:00,80,5.625,16.2,,280.0,332.8
MHJ45,2026-02-21 02:07:30+00:00,70,5.975,16.98,,277.5,338.3
AL945,2026-02-21 02:07:30+00:00,0,5.625,15.99,,260.0,
MHJ45,2026-02-21 02:15:00+00:00,70,5.850,16.91,,287.5,336.6
AL945,2026-02-21 02:15:00+00:00,90,5.625,16.32,,257.5,329.2
MHJ45,2026-02-21 02:22:30+00:00,60,4.950,16.10,,270.0,301.5
AL945,2026-02-21 02:22:30+00:00,90,5.375,15.58,,252.5,321.6
AL945,2026-02-21 02:30:00+00:00,50,5.175,14.84,,252.5,318.5
MHJ45,2026-02-21 02:30:00+00:00,60,4.550,14.81,,272.5,299.1
MHJ45,2026-02-21 02:37:30+00:00,80,6.075,15.71,,302.5,387.2
AL945,2026-02-21 02:37:30+00:00,0,5.225,14.59,,257.5,
AL945,2026-02-21 02:45:00+00:00,0,5.3,14.37,,265.0,
MHJ45,2026-02-21 02:45:00+00:00,80,5.825,16.08,,285.0,367.6
MHJ45,2026-02-21 02:52:30+00:00,60,4.625,14.98,,285.0,314.0
AL945,2026-02-21 02:52:30+00:00,90,5.5,15.18,,270.0,356.9
MHJ45,2026-02-21 03:00:00+00:00,70,5.800,16.01,,315.0,369.4
AL945,2026-02-21 03:00:00+00:00,90,5.675,15.69,,272.5,357.4
MHJ45,2026-02-21 03:07:30+00:00,60,5.925,16.19,,285.0,353.8
AL945,2026-02-21 03:07:30+00:00,90,5.8,16.16,,272.5,353.6
AL945,2026-02-21 03:15:00+00:00,90,5.8,16.32,,270.0,340.2
MHJ45,2026-02-21 03:15:00+00:00,60,6.050,16.63,,290.0,350.1
AL945,2026-02-21 03:22:30+00:00,90,5.85,16.5,,272.5,343.0
MHJ45,2026-02-21 03:22:30+00:00,80,6.175,17.56,,302.5,356.9
MHJ45,2026-02-21 03:30:00+00:00,80,5.750,16.18,,297.5,346.2
AL945,2026-02-21 03:30:00+00:00,90,5.925,16.51,,272.5,350.6
MHJ45,2026-02-21 03:37:30+00:00,60,4.600,15.08,,300.0,301.8
AL945,2026-02-21 03:37:30+00:00,90,5.95,16.73,,272.5,345.5
MHJ45,2026-02-21 03:45:00+00:00,80,5.875,16.39,,297.5,348.2
AL945,2026-02-21 03:45:00+00:00,70,5.975,16.87,,270.0,341.5
MHJ45,2026-02-21 03:52:30+00:00,80,5.850,16.27,,300.0,347.7
AL945,2026-02-21 03:52:30+00:00,90,6.1,17.26,,267.5,344.8
AL945,2026-02-21 04:00:00+00:00,90,6.125,17.52,,262.5,340.5
MHJ45,2026-02-21 04:00:00+00:00,80,6.000,17.26,,280.0,349.2
MHJ45,2026-02-21 04:07:30+00:00,40,5.900,17.51,,267.5,328.0
AL945,2026-02-21 04:07:30+00:00,90,6.15,17.74,,260.0,337.7
MHJ45,2026-02-21 04:15:00+00:00,40,5.500,17.82,,260.0,299.5
AL945,2026-02-21 04:15:00+00:00,90,6.2,17.93,,257.5,333.9
AL945,2026-02-21 04:22:30+00:00,90,6.25,18.27,,252.5,327.7
MHJ45,2026-02-21 04:22:30+00:00,70,5.950,18.08,,257.5,322.7
MHJ45,2026-02-21 04:30:00+00:00,70,4.650,16.10,,250.0,272.1
AL945,2026-02-21 04:30:00+00:00,70,6.2,18.64,,247.5,313.8
AL945,2026-02-21 04:37:30+00:00,90,6.2,18.62,,240.0,310.5
MHJ45,2026-02-21 04:37:30+00:00,40,4.800,17.00,,255.0,267.5
AL945,2026-02-21 04:45:00+00:00,90,6.1,18.58,,232.5,302.0
MHJ45,2026-02-21 04:45:00+00:00,40,5.825,18.22,,235.0,299.5
MHJ45,2026-02-21 04:52:30+00:00,80,6.050,18.16,,235.0,296.8
AL945,2026-02-21 04:52:30+00:00,0,5.975,18.11,,230.0,
MHJ45,2026-02-21 05:00:00+00:00,70,5.700,17.89,,230.0,294.9
AL945,2026-02-21 05:00:00+00:00,0,5.8,17.45,,232.5,
AL945,2026-02-21 05:07:30+00:00,0,5.725,16.87,,235.0,
MHJ45,2026-02-21 05:07:30+00:00,70,5.475,17.28,,225.0,289.6
MHJ45,2026-02-21 05:15:00+00:00,40,3.725,14.38,,227.5,235.3
AL945,2026-02-21 05:15:00+00:00,0,5.5,16.2,,237.5,
MHJ45,2026-02-21 05:22:30+00:00,40,5.000,15.50,,230.0,290.9
AL945,2026-02-21 05:22:30+00:00,90,5.475,15.36,,245.0,326.1
AL945,2026-02-21 05:30:00+00:00,70,5.375,15.35,,252.5,322.1
MHJ45,2026-02-21 05:30:00+00:00,0,4.875,14.09,,235.0,
AL945,2026-02-21 05:37:30+00:00,60,5.4,15.74,,267.5,334.0
MHJ45,2026-02-21 05:37:30+00:00,0,4.725,13.22,,252.5,
MHJ45,2026-02-21 05:45:00+00:00,0,4.775,13.23,,262.5,
AL945,2026-02-21 05:45:00+00:00,20,3.125,11.21,,255.0,257.8
MHJ45,2026-02-21 05:52:30+00:00,40,4.775,13.86,,265.0,336.9
AL945,2026-02-21 05:52:30+00:00,90,5.05,15.31,,260.0,311.3
AL945,2026-02-21 06:00:00+00:00,90,5.025,14.6,,257.5,322.2
MHJ45,2026-02-21 06:00:00+00:00,70,4.775,13.91,,267.5,342.3
AL945,2026-02-21 06:07:30+00:00,80,5.175,14.77,,257.5,325.7
MHJ45,2026-02-21 06:07:30+00:00,50,4.750,13.67,,305.0,342.3
AL945,2026-02-21 06:15:00+00:00,90,5.125,14.52,,252.5,321.6
MHJ45,2026-02-21 06:15:00+00:00,60,4.700,13.81,,265.0,316.9
AL945,2026-02-21 06:22:30+00:00,0,5.025,14.69,,267.5,
MHJ45,2026-02-21 06:22:30+00:00,70,4.775,14.00,,257.5,327.8
MHJ45,2026-02-21 06:30:00+00:00,70,4.775,14.38,,247.5,315.4
AL945,2026-02-21 06:30:00+00:00,80,4.95,14.63,,247.5,312.8
AL945,2026-02-21 06:37:30+00:00,70,4.75,13.92,,250.0,311.8
MHJ45,2026-02-21 06:37:30+00:00,50,2.875,10.44,,242.5,247.4
AL945,2026-02-21 06:45:00+00:00,70,4.7,13.88,,255.0,314.1
MHJ45,2026-02-21 06:45:00+00:00,20,4.525,13.89,,247.5,300.8
MHJ45,2026-02-21 06:52:30+00:00,0,4.700,13.61,,262.5,
AL945,2026-02-21 06:52:30+00:00,0,4.875,14.15,,257.5,
AL945,2026-02-21 07:00:00+00:00,80,4.775,14.52,,252.5,312.8
MHJ45,2026-02-21 07:00:00+00:00,70,4.550,13.65,,270.0,321.0
