station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-03-01 00:00:00+00:00,60,8.375,28.1,,217.5,263.5
MHJ45,2026-03-01 00:00:00+00:00,70,8.1,24.67,,227.5,308.5
MHJ45,2026-03-01 00:07:30+00:00,70,8.075,24.76,,230.0,307.0
AL945,2026-03-01 00:07:30+00:00,65,8.05,27.82,,212.5,256.3
AL945,2026-03-01 00:15:00+00:00,70,8.325,27.32,,215.0,265.9
MHJ45,2026-03-01 00:15:00+00:00,70,8.125,24.8,,230.0,309.6
AL945,2026-03-01 00:22:30+00:00,70,8.2,26.98,,217.5,269.0
MHJ45,2026-03-01 00:22:30+00:00,75,8.075,24.82,,230.0,306.9
AL945,2026-03-01 00:30:00+00:00,90,8.175,26.36,,215.0,272.8
MHJ45,2026-03-01 00:30:00+00:00,70,8.075,25.01,,232.5,304.5
AL945,2026-03-01 00:37:30+00:00,80,8.05,26.31,,215.0,272.6
MHJ45,2026-03-01 00:37:30+00:00,70,7.975,25.03,,232.5,299.7
AL945,2026-03-01 00:45:00+00:00,40,7.5,25.2,,215.0,260.9
MHJ45,2026-03-01 00:45:00+00:00,75,7.9,24.69,,232.5,301.6
AL945,2026-03-01 00:52:30+00:00,60,7.625,24.88,,215.0,278.4
MHJ45,2026-03-01 00:52:30+00:00,75,7.75,24.29,,230.0,298.8
AL945,2026-03-01 01:00:00+00:00,60,7.475,23.77,,215.0,278.7
MHJ45,2026-03-01 01:00:00+00:00,40,7.775,23.98,,232.5,322.7
AL945,2026-03-01 01:07:30+00:00,40,5.825,21.81,,212.5,239.0
MHJ45,2026-03-01 01:07:30+00:00,0,7.5,23.37,,232.5,
AL945,2026-03-01 01:15:00+00:00,70,7.05,22.21,,217.5,288.8
MHJ45,2026-03-01 01:15:00+00:00,75,7.425,23.17,,227.5,301.0
MHJ45,2026-03-01 01:22:30+00:00,75,7.35,22.75,,227.5,302.1
AL945,2026-03-01 01:22:30+00:00,40,7.0,22.03,,225.0,292.9
MHJ45,2026-03-01 01:30:00+00:00,75,7.125,22.61,,227.5,289.4
AL945,2026-03-01 01:30:00+00:00,20,5.45,20.08,,222.5,248.6
MHJ45,2026-03-01 01:37:30+00:00,80,7.025,21.74,,227.5,305.4
AL945,2026-03-01 01:37:30+00:00,70,6.6,21.18,,230.0,288.6
MHJ45,2026-03-01 01:45:00+00:00,0,6.825,20.98,,227.5,
AL945,2026-03-01 01:45:00+00:00,45,6.3,20.75,,232.5,277.1
AL945,2026-03-01 01:52:30+00:00,90,6.525,19.88,,232.5,306.6
MHJ45,2026-03-01 01:52:30+00:00,70,6.6,19.94,,232.5,310.1
MHJ45,2026-03-01 02:00:00+00:00,0,6.525,19.14,,232.5,
AL945,2026-03-01 02:00:00+00:00,90,6.375,19.61,,237.5,303.1
AL945,2026-03-01 02:07:30+00:00,40,5.65,19.34,,237.5,271.0
MHJ45,2026-03-01 02:07:30+00:00,0,6.35,18.63,,237.5,
MHJ45,2026-03-01 02:15:00+00:00,0,6.325,18.25,,242.5,
AL945,2026-03-01 02:15:00+00:00,90,6.15,18.55,,240.0,310.1
AL945,2026-03-01 02:22:30+00:00,90,6.175,18.63,,240.0,304.2
MHJ45,2026-03-01 02:22:30+00:00,70,6.25,18.15,,247.5,326.4
MHJ45,2026-03-01 02:30:00+00:00,70,6.275,18.5,,250.0,331.2
AL945,2026-03-01 02:30:00+00:00,90,6.025,18.66,,240.0,303.2
MHJ45,2026-03-01 02:37:30+00:00,90,6.175,18.49,,250.0,311.5
AL945,2026-03-01 02:37:30+00:00,90,5.875,18.39,,237.5,295.0
AL945,2026-03-01 02:45:00+00:00,90,5.75,17.77,,237.5,296.3
MHJ45,2026-03-01 02:45:00+00:00,0,6.15,18.27,,247.5,
AL945,2026-03-01 02:52:30+00:00,0,5.675,16.88,,237.5,
MHJ45,2026-03-01 02:52:30+00:00,80,6.025,17.75,,245.0,323.6
MHJ45,2026-03-01 03:00:00+00:00,80,5.975,17.98,,247.5,316.7
AL945,2026-03-01 03:00:00+00:00,0,5.675,16.41,,240.0,
MHJ45,2026-03-01 03:07:30+00:00,80,5.95,17.51,,250.0,328.2
AL945,2026-03-01 03:07:30+00:00,0,5.65,16.48,,247.5,
AL945,2026-03-01 03:15:00+00:00,90,5.575,16.22,,250.0,329.0
MHJ45,2026-03-01 03:15:00+00:00,80,5.775,17.01,,260.0,338.5
AL945,2026-03-01 03:22:30+00:00,90,5.425,15.92,,252.5,310.8
MHJ45,2026-03-01 03:22:30+00:00,60,5.6,16.31,,265.0,332.5
MHJ45,2026-03-01 03:30:00+00:00,60,5.55,15.6,,262.5,344.1
AL945,2026-03-01 03:30:00+00:00,0,5.475,15.85,,255.0,
AL945,2026-03-01 03:37:30+00:00,95,5.45,15.69,,255.0,334.0
MHJ45,2026-03-01 03:37:30+00:00,80,5.55,16.33,,267.5,327.3
MHJ45,2026-03-01 03:45:00+00:00,60,5.575,16.07,,270.0,340.6
AL945,2026-03-01 03:45:00+00:00,90,5.45,15.75,,255.0,318.6
MHJ45,2026-03-01 03:52:30+00:00,0,5.6,15.4,,270.0,
AL945,2026-03-01 03:52:30+00:00,90,5.4,15.66,,252.5,327.7
MHJ45,2026-03-01 04:00:00+00:00,80,5.525,15.11,,272.5,366.0
AL945,2026-03-01 04:00:00+00:00,0,5.375,15.42,,252.5,
MHJ45,2026-03-01 04:07:30+00:00,70,5.4,15.13,,277.5,347.7
AL945,2026-03-01 04:07:30+00:00,70,5.375,15.42,,257.5,337.9
MHJ45,2026-03-01 04:15:00+00:00,70,5.475,15.18,,280.0,361.1
AL945,2026-03-01 04:15:00+00:00,90,5.425,15.83,,257.5,328.9
AL945,2026-03-01 04:22:30+00:00,90,5.45,15.84,,257.5,320.1
MHJ45,2026-03-01 04:22:30+00:00,80,5.5,15.39,,282.5,353.0
AL945,2026-03-01 04:30:00+00:00,0,5.325,15.46,,255.0,
MHJ45,2026-03-01 04:30:00+00:00,90,5.45,15.54,,280.0,345.2
MHJ45,2026-03-01 04:37:30+00:00,90,5.55,15.45,,280.0,360.3
AL945,2026-03-01 04:37:30+00:00,0,5.3,15.02,,255.0,
MHJ45,2026-03-01 04:45:00+00:00,90,5.525,15.73,,277.5,346.9
AL945,2026-03-01 04:45:00+00:00,80,5.25,14.95,,257.5,325.0
MHJ45,2026-03-01 04:52:30+00:00,80,5.6,15.65,,272.5,362.1
AL945,2026-03-01 04:52:30+00:00,80,5.275,15.35,,257.5,330.9
AL945,2026-03-01 05:00:00+00:00,60,5.375,15.96,,260.0,329.6
MHJ45,2026-03-01 05:00:00+00:00,90,5.575,16.07,,272.5,339.0
AL945,2026-03-01 05:07:30+00:00,50,5.175,15.36,,270.0,319.7
MHJ45,2026-03-01 05:07:30+00:00,80,5.6,16.67,,267.5,329.3
AL945,2026-03-01 05:15:00+00:00,70,5.25,15.54,,262.5,317.0
MHJ45,2026-03-01 05:15:00+00:00,60,5.725,16.44,,262.5,330.1
MHJ45,2026-03-01 05:22:30+00:00,70,5.525,16.78,,270.0,318.0
AL945,2026-03-01 05:22:30+00:00,80,5.175,15.55,,255.0,319.1
MHJ45,2026-03-01 05:30:00+00:00,40,5.375,16.53,,257.5,312.5
AL945,2026-03-01 05:30:00+00:00,70,5.025,15.01,,250.0,303.6
AL945,2026-03-01 05:37:30+00:00,80,5.05,15.05,,250.0,316.2
