station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-10 00:00:00+00:00,90,7.925,25.95,,220.0,270.9
MHJ45,2026-02-10 00:00:00+00:00,75,7.825,25.24,,222.5,286.6
AL945,2026-02-10 00:07:30+00:00,70,7.8,25.66,,217.5,270.9
MHJ45,2026-02-10 00:07:30+00:00,70,7.725,25.21,,220.0,280.9
MHJ45,2026-02-10 00:15:00+00:00,75,7.6,25.06,,217.5,276.0
AL945,2026-02-10 00:15:00+00:00,90,7.6,24.32,,212.5,282.4
AL945,2026-02-10 00:22:30+00:00,0,7.375,23.22,,210.0,
MHJ45,2026-02-10 00:22:30+00:00,70,7.525,24.43,,212.5,284.5
MHJ45,2026-02-10 00:30:00+00:00,75,7.325,24.01,,212.5,277.3
AL945,2026-02-10 00:30:00+00:00,70,7.375,23.24,,215.0,289.9
MHJ45,2026-02-10 00:37:30+00:00,70,7.05,22.82,,210.0,276.3
AL945,2026-02-10 00:37:30+00:00,70,7.4,23.44,,225.0,289.4
AL945,2026-02-10 00:45:00+00:00,40,6.675,24.05,,225.0,254.4
MHJ45,2026-02-10 00:45:00+00:00,70,6.975,22.63,,212.5,277.1
AL945,2026-02-10 00:52:30+00:00,70,7.175,24.01,,220.0,268.6
MHJ45,2026-02-10 00:52:30+00:00,75,6.85,22.27,,215.0,280.4
MHJ45,2026-02-10 01:00:00+00:00,70,6.75,21.94,,215.0,282.0
AL945,2026-02-10 01:00:00+00:00,50,7.15,23.34,,217.5,277.1
MHJ45,2026-02-10 01:07:30+00:00,70,6.45,21.52,,215.0,264.5
AL945,2026-02-10 01:07:30+00:00,70,7.0,23.13,,217.5,275.4
MHJ45,2026-02-10 01:15:00+00:00,0,6.15,19.97,,215.0,
AL945,2026-02-10 01:15:00+00:00,60,5.65,21.46,,215.0,235.9
MHJ45,2026-02-10 01:22:30+00:00,75,5.95,19.07,,220.0,286.3
AL945,2026-02-10 01:22:30+00:00,50,6.425,20.85,,217.5,272.9
MHJ45,2026-02-10 01:30:00+00:00,75,5.7,18.13,,222.5,285.0
AL945,2026-02-10 01:30:00+00:00,90,6.3,20.21,,222.5,285.3
MHJ45,2026-02-10 01:37:30+00:00,0,5.6,17.16,,225.0,
AL945,2026-02-10 01:37:30+00:00,60,6.225,21.56,,225.0,263.4
MHJ45,2026-02-10 01:45:00+00:00,60,5.7,17.78,,230.0,295.4
AL945,2026-02-10 01:45:00+00:00,90,6.125,20.04,,220.0,283.2
MHJ45,2026-02-10 01:52:30+00:00,0,5.625,17.4,,230.0,
AL945,2026-02-10 01:52:30+00:00,90,6.0,19.6,,222.5,277.9
MHJ45,2026-02-10 02:00:00+00:00,0,5.6,17.09,,232.5,
AL945,2026-02-10 02:00:00+00:00,80,5.85,19.77,,220.0,264.6
MHJ45,2026-02-10 02:07:30+00:00,70,5.5,16.73,,235.0,303.5
AL945,2026-02-10 02:07:30+00:00,90,5.875,18.73,,222.5,282.4
MHJ45,2026-02-10 02:15:00+00:00,70,5.525,16.59,,237.5,305.4
AL945,2026-02-10 02:15:00+00:00,90,5.775,18.64,,227.5,276.8
MHJ45,2026-02-10 02:22:30+00:00,80,5.65,17.19,,242.5,310.0
AL945,2026-02-10 02:22:30+00:00,90,5.65,18.29,,225.0,278.2
AL945,2026-02-10 02:30:00+00:00,90,5.575,18.9,,230.0,269.7
MHJ45,2026-02-10 02:30:00+00:00,60,5.6,17.26,,242.5,293.5
MHJ45,2026-02-10 02:37:30+00:00,70,5.725,18.33,,257.5,302.3
AL945,2026-02-10 02:37:30+00:00,60,5.375,18.59,,220.0,261.2
MHJ45,2026-02-10 02:45:00+00:00,40,5.2,18.1,,235.0,267.6
AL945,2026-02-10 02:45:00+00:00,60,4.275,16.53,,217.5,231.0
MHJ45,2026-02-10 02:52:30+00:00,70,5.625,17.83,,232.5,284.8
AL945,2026-02-10 02:52:30+00:00,40,4.975,17.06,,217.5,257.0
AL945,2026-02-10 03:00:00+00:00,60,5.15,17.12,,222.5,269.4
MHJ45,2026-02-10 03:00:00+00:00,40,5.55,17.87,,242.5,285.0
MHJ45,2026-02-10 03:07:30+00:00,80,5.475,17.15,,230.0,285.8
AL945,2026-02-10 03:07:30+00:00,0,4.925,16.07,,220.0,
AL945,2026-02-10 03:15:00+00:00,0,4.725,15.63,,240.0,
MHJ45,2026-02-10 03:15:00+00:00,40,4.4,15.93,,230.0,250.7
MHJ45,2026-02-10 03:22:30+00:00,70,5.05,16.36,,232.5,291.5
AL945,2026-02-10 03:22:30+00:00,0,4.375,13.97,,227.5,
MHJ45,2026-02-10 03:30:00+00:00,80,5.1,15.78,,237.5,293.3
AL945,2026-02-10 03:30:00+00:00,70,4.35,14.39,,230.0,276.1
MHJ45,2026-02-10 03:37:30+00:00,60,4.9,15.73,,240.0,283.5
AL945,2026-02-10 03:37:30+00:00,60,4.15,13.33,,235.0,277.6
AL945,2026-02-10 03:45:00+00:00,60,4.075,13.04,,237.5,283.8
MHJ45,2026-02-10 03:45:00+00:00,70,4.75,14.7,,240.0,292.1
AL945,2026-02-10 03:52:30+00:00,60,4.0,13.1,,242.5,272.9
MHJ45,2026-02-10 03:52:30+00:00,70,4.575,14.85,,250.0,287.9
AL945,2026-02-10 04:00:00+00:00,70,3.875,13.9,,240.0,255.7
