station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-28 00:00:00+00:00,50,7.8,24.49,,245.0,302.6
AL945,2026-02-28 00:00:00+00:00,70,8.125,25.96,,220.0,279.4
AL945,2026-02-28 00:07:30+00:00,70,7.9,25.37,,217.5,276.7
MHJ45,2026-02-28 00:07:30+00:00,0,7.875,23.92,,250.0,
AL945,2026-02-28 00:15:00+00:00,50,7.8,24.24,,217.5,290.2
MHJ45,2026-02-28 00:15:00+00:00,60,7.825,24.1,,237.5,300.0
MHJ45,2026-02-28 00:22:30+00:00,50,7.7,23.64,,237.5,318.2
AL945,2026-02-28 00:22:30+00:00,70,6.925,24.1,,217.5,257.9
MHJ45,2026-02-28 00:30:00+00:00,70,7.55,23.74,,237.5,307.1
AL945,2026-02-28 00:30:00+00:00,90,7.6,24.08,,222.5,286.9
AL945,2026-02-28 00:37:30+00:00,90,7.525,23.51,,230.0,289.9
MHJ45,2026-02-28 00:37:30+00:00,70,6.6,22.85,,235.0,270.7
AL945,2026-02-28 00:45:00+00:00,80,7.45,23.64,,225.0,281.5
MHJ45,2026-02-28 00:45:00+00:00,60,7.525,22.98,,237.5,306.4
MHJ45,2026-02-28 00:52:30+00:00,60,7.45,22.53,,235.0,310.1
AL945,2026-02-28 00:52:30+00:00,50,7.35,23.09,,225.0,285.2
MHJ45,2026-02-28 01:00:00+00:00,70,7.325,22.25,,237.5,298.9
AL945,2026-02-28 01:00:00+00:00,70,7.375,23.01,,225.0,294.4
MHJ45,2026-02-28 01:07:30+00:00,70,7.375,22.89,,240.0,302.2
AL945,2026-02-28 01:07:30+00:00,60,7.4,23.76,,225.0,280.5
MHJ45,2026-02-28 01:15:00+00:00,70,7.275,23.24,,232.5,295.4
AL945,2026-02-28 01:15:00+00:00,70,7.225,23.35,,222.5,279.2
AL945,2026-02-28 01:22:30+00:00,70,7.1,22.85,,217.5,281.1
MHJ45,2026-02-28 01:22:30+00:00,70,7.375,22.88,,232.5,297.1
MHJ45,2026-02-28 01:30:00+00:00,40,7.0,22.94,,237.5,278.9
AL945,2026-02-28 01:30:00+00:00,90,6.85,22.41,,217.5,277.2
MHJ45,2026-02-28 01:37:30+00:00,50,7.15,22.35,,235.0,289.8
AL945,2026-02-28 01:37:30+00:00,70,6.8,22.08,,220.0,273.5
MHJ45,2026-02-28 01:45:00+00:00,50,7.05,22.38,,230.0,285.0
AL945,2026-02-28 01:45:00+00:00,70,6.725,21.48,,220.0,284.9
AL945,2026-02-28 01:52:30+00:00,60,6.575,21.11,,220.0,276.7
MHJ45,2026-02-28 01:52:30+00:00,50,6.925,21.79,,227.5,297.5
MHJ45,2026-02-28 02:00:00+00:00,60,6.975,21.96,,237.5,299.4
AL945,2026-02-28 02:00:00+00:00,0,6.4,20.24,,217.5,
MHJ45,2026-02-28 02:07:30+00:00,70,6.875,21.54,,227.5,292.5
AL945,2026-02-28 02:07:30+00:00,60,6.25,19.94,,232.5,279.4
MHJ45,2026-02-28 02:15:00+00:00,70,6.6,21.11,,237.5,283.7
AL945,2026-02-28 02:15:00+00:00,0,6.175,19.29,,222.5,
MHJ45,2026-02-28 02:22:30+00:00,0,6.5,20.63,,232.5,
AL945,2026-02-28 02:22:30+00:00,60,5.85,18.87,,225.0,273.0
AL945,2026-02-28 02:30:00+00:00,20,4.95,18.05,,227.5,250.4
MHJ45,2026-02-28 02:30:00+00:00,70,6.275,19.65,,230.0,283.0
MHJ45,2026-02-28 02:37:30+00:00,70,6.25,18.97,,230.0,305.4
AL945,2026-02-28 02:37:30+00:00,80,5.825,18.28,,232.5,295.5
MHJ45,2026-02-28 02:45:00+00:00,0,6.2,19.07,,232.5,
AL945,2026-02-28 02:45:00+00:00,70,5.75,18.07,,230.0,298.2
AL945,2026-02-28 02:52:30+00:00,80,5.7,18.3,,240.0,285.2
MHJ45,2026-02-28 02:52:30+00:00,70,5.875,18.92,,232.5,287.0
MHJ45,2026-02-28 03:00:00+00:00,60,5.15,18.26,,235.0,261.1
AL945,2026-02-28 03:00:00+00:00,70,5.7,18.26,,235.0,279.1
AL945,2026-02-28 03:07:30+00:00,70,5.525,18.05,,235.0,282.3
