station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-26 00:00:00+00:00,50,6.825,21.56,,217.5,293.7
AL945,2026-02-26 00:00:00+00:00,60,6.55,25.34,,210.0,234.3
MHJ45,2026-02-26 00:07:30+00:00,0,6.6,19.69,,225.0,
AL945,2026-02-26 00:07:30+00:00,60,5.825,22.48,,217.5,236.0
MHJ45,2026-02-26 00:15:00+00:00,0,6.55,19.21,,232.5,
AL945,2026-02-26 00:15:00+00:00,70,7.775,24.82,,222.5,279.1
MHJ45,2026-02-26 00:22:30+00:00,70,6.525,19.21,,237.5,311.6
AL945,2026-02-26 00:22:30+00:00,70,6.7,24.38,,225.0,253.9
MHJ45,2026-02-26 00:30:00+00:00,65,6.575,19.8,,245.0,319.5
AL945,2026-02-26 00:30:00+00:00,40,7.6,25.93,,227.5,269.3
AL945,2026-02-26 00:37:30+00:00,80,7.725,25.12,,225.0,279.0
MHJ45,2026-02-26 00:37:30+00:00,70,6.65,19.71,,247.5,328.2
AL945,2026-02-26 00:45:00+00:00,40,7.6,24.97,,225.0,277.2
MHJ45,2026-02-26 00:45:00+00:00,70,6.575,19.72,,250.0,311.9
AL945,2026-02-26 00:52:30+00:00,70,7.075,24.5,,222.5,257.8
MHJ45,2026-02-26 00:52:30+00:00,70,6.625,20.36,,250.0,305.0
AL945,2026-02-26 01:00:00+00:00,70,7.2,24.05,,220.0,270.2
MHJ45,2026-02-26 01:00:00+00:00,70,6.65,20.35,,242.5,302.6
AL945,2026-02-26 01:07:30+00:00,70,6.85,22.62,,212.5,270.9
MHJ45,2026-02-26 01:07:30+00:00,70,6.6,20.27,,232.5,293.7
MHJ45,2026-02-26 01:15:00+00:00,50,6.575,20.2,,235.0,298.4
AL945,2026-02-26 01:15:00+00:00,80,6.35,21.45,,215.0,261.0
MHJ45,2026-02-26 01:22:30+00:00,70,6.1,19.16,,232.5,282.9
AL945,2026-02-26 01:22:30+00:00,70,5.825,18.9,,222.5,271.0
AL945,2026-02-26 01:30:00+00:00,70,5.65,17.68,,225.0,285.5
MHJ45,2026-02-26 01:30:00+00:00,40,5.875,19.08,,232.5,283.6
AL945,2026-02-26 01:37:30+00:00,80,5.575,17.0,,232.5,302.3
MHJ45,2026-02-26 01:37:30+00:00,0,6.025,17.72,,240.0,
AL945,2026-02-26 01:45:00+00:00,40,4.675,16.7,,245.0,260.6
MHJ45,2026-02-26 01:45:00+00:00,0,5.8,17.39,,240.0,
AL945,2026-02-26 01:52:30+00:00,60,5.05,16.7,,237.5,279.8
MHJ45,2026-02-26 01:52:30+00:00,80,5.525,16.86,,242.5,297.2
MHJ45,2026-02-26 02:00:00+00:00,80,5.625,16.47,,250.0,327.8
AL945,2026-02-26 02:00:00+00:00,50,4.3,14.1,,240.0,275.9
MHJ45,2026-02-26 02:07:30+00:00,60,5.05,16.89,,257.5,289.1
AL945,2026-02-26 02:07:30+00:00,60,4.375,13.77,,260.0,300.8
AL945,2026-02-26 02:15:00+00:00,40,4.125,12.54,,260.0,311.3
MHJ45,2026-02-26 02:15:00+00:00,0,4.95,14.02,,262.5,
AL945,2026-02-26 02:22:30+00:00,60,4.0,13.44,,272.5,288.9
MHJ45,2026-02-26 02:22:30+00:00,70,4.9,13.45,,270.0,341.7
AL945,2026-02-26 02:30:00+00:00,50,4.375,12.81,,267.5,327.0
MHJ45,2026-02-26 02:30:00+00:00,80,4.925,13.24,,297.5,377.8
MHJ45,2026-02-26 02:37:30+00:00,70,4.925,13.0,,305.0,390.5
AL945,2026-02-26 02:37:30+00:00,40,4.65,12.9,,265.0,332.1
AL945,2026-02-26 02:45:00+00:00,70,4.525,13.94,,262.5,308.4
MHJ45,2026-02-26 02:45:00+00:00,40,4.575,12.77,,300.0,358.0
AL945,2026-02-26 02:52:30+00:00,40,4.375,13.16,,257.5,315.2
MHJ45,2026-02-26 02:52:30+00:00,70,4.625,13.03,,305.0,347.2
MHJ45,2026-02-26 03:00:00+00:00,70,4.625,12.87,,355.0,359.4
AL945,2026-02-26 03:00:00+00:00,70,4.375,13.29,,257.5,305.0
AL945,2026-02-26 03:07:30+00:00,0,4.4,12.64,,252.5,
MHJ45,2026-02-26 03:07:30+00:00,80,4.725,12.8,,300.0,377.6
AL945,2026-02-26 03:15:00+00:00,0,4.325,12.58,,257.5,
MHJ45,2026-02-26 03:15:00+00:00,50,4.75,13.16,,305.0,346.3
MHJ45,2026-02-26 03:22:30+00:00,40,4.625,13.55,,307.5,333.1
AL945,2026-02-26 03:22:30+00:00,80,4.3,12.12,,265.0,334.6
AL945,2026-02-26 03:30:00+00:00,70,4.3,12.12,,272.5,340.3
MHJ45,2026-02-26 03:30:00+00:00,70,4.625,13.62,,282.5,328.4
MHJ45,2026-02-26 03:37:30+00:00,70,3.6,12.24,,277.5,286.6
AL945,2026-02-26 03:37:30+00:00,70,4.35,12.07,,272.5,347.9
AL945,2026-02-26 03:45:00+00:00,0,4.425,12.13,,275.0,
MHJ45,2026-02-26 03:45:00+00:00,70,4.95,13.51,,305.0,374.1
MHJ45,2026-02-26 03:52:30+00:00,40,4.65,13.83,,287.5,323.5
AL945,2026-02-26 03:52:30+00:00,70,4.4,12.04,,285.0,360.2
AL945,2026-02-26 04:00:00+00:00,70,4.25,12.13,,277.5,336.3
MHJ45,2026-02-26 04:00:00+00:00,70,3.65,12.54,,267.5,279.8
AL945,2026-02-26 04:07:30+00:00,0,4.125,10.81,,275.0,
MHJ45,2026-02-26 04:07:30+00:00,70,4.9,14.26,,260.0,325.3
MHJ45,2026-02-26 04:15:00+00:00,70,4.375,14.0,,257.5,298.2
AL945,2026-02-26 04:15:00+00:00,60,3.525,11.22,,270.0,295.9
AL945,2026-02-26 04:22:30+00:00,70,3.1,10.05,,272.5,288.4
MHJ45,2026-02-26 04:22:30+00:00,60,4.05,12.23,,255.0,314.5
MHJ45,2026-02-26 04:30:00+00:00,60,3.125,10.87,,262.5,271.2
AL945,2026-02-26 04:30:00+00:00,40,3.175,9.63,,280.0,306.7
