station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-24 00:00:00+00:00,70,6.725,21.46,,227.5,299.8
AL945,2026-02-24 00:00:00+00:00,70,8.125,26.42,,220.0,276.3
AL945,2026-02-24 00:07:30+00:00,60,7.05,26.14,,217.5,242.7
MHJ45,2026-02-24 00:07:30+00:00,70,6.625,21.65,,227.5,280.4
AL945,2026-02-24 00:15:00+00:00,90,7.8,27.07,,212.5,252.3
MHJ45,2026-02-24 00:15:00+00:00,70,6.775,21.24,,225.0,281.3
MHJ45,2026-02-24 00:22:30+00:00,60,6.6,21.5,,222.5,280.5
AL945,2026-02-24 00:22:30+00:00,70,7.575,25.75,,210.0,256.7
MHJ45,2026-02-24 00:30:00+00:00,70,6.275,21.12,,222.5,271.6
AL945,2026-02-24 00:30:00+00:00,90,7.55,25.3,,210.0,265.7
AL945,2026-02-24 00:37:30+00:00,90,7.375,24.19,,207.5,270.0
MHJ45,2026-02-24 00:37:30+00:00,70,6.325,20.63,,220.0,277.3
AL945,2026-02-24 00:45:00+00:00,80,7.025,23.92,,207.5,254.5
MHJ45,2026-02-24 00:45:00+00:00,70,6.125,20.66,,220.0,267.5
AL945,2026-02-24 00:52:30+00:00,40,6.55,24.35,,210.0,240.0
MHJ45,2026-02-24 00:52:30+00:00,40,6.05,19.86,,220.0,267.8
AL945,2026-02-24 01:00:00+00:00,70,6.675,23.52,,202.5,241.0
MHJ45,2026-02-24 01:00:00+00:00,60,6.025,20.03,,217.5,268.9
AL945,2026-02-24 01:07:30+00:00,90,6.55,22.31,,202.5,258.7
MHJ45,2026-02-24 01:07:30+00:00,70,5.675,19.15,,225.0,269.5
AL945,2026-02-24 01:15:00+00:00,90,6.225,20.95,,205.0,263.6
MHJ45,2026-02-24 01:15:00+00:00,70,5.55,18.97,,230.0,266.5
AL945,2026-02-24 01:22:30+00:00,90,5.75,19.15,,205.0,252.9
MHJ45,2026-02-24 01:22:30+00:00,70,5.35,18.37,,220.0,255.5
AL945,2026-02-24 01:30:00+00:00,0,5.575,18.25,,207.5,
MHJ45,2026-02-24 01:30:00+00:00,60,5.2,17.52,,225.0,264.6
MHJ45,2026-02-24 01:37:30+00:00,0,5.025,16.0,,220.0,
AL945,2026-02-24 01:37:30+00:00,70,5.275,17.53,,217.5,267.2
AL945,2026-02-24 01:45:00+00:00,0,5.15,16.13,,232.5,
MHJ45,2026-02-24 01:45:00+00:00,0,4.75,14.39,,230.0,
MHJ45,2026-02-24 01:52:30+00:00,0,4.575,13.6,,230.0,
AL945,2026-02-24 01:52:30+00:00,70,5.025,16.58,,227.5,268.1
AL945,2026-02-24 02:00:00+00:00,80,4.9,15.77,,227.5,273.7
MHJ45,2026-02-24 02:00:00+00:00,70,4.5,14.09,,237.5,300.8
MHJ45,2026-02-24 02:07:30+00:00,40,3.85,13.54,,247.5,265.5
AL945,2026-02-24 02:07:30+00:00,90,4.75,15.99,,227.5,265.0
MHJ45,2026-02-24 02:15:00+00:00,0,4.4,13.24,,245.0,
AL945,2026-02-24 02:15:00+00:00,60,4.55,15.13,,225.0,264.6
AL945,2026-02-24 02:22:30+00:00,80,4.4,14.8,,240.0,272.5
MHJ45,2026-02-24 02:22:30+00:00,40,3.525,12.77,,247.5,256.6
MHJ45,2026-02-24 02:30:00+00:00,70,4.1,13.32,,250.0,282.1
AL945,2026-02-24 02:30:00+00:00,0,4.325,13.64,,227.5,
AL945,2026-02-24 02:37:30+00:00,0,4.1,12.68,,235.0,
MHJ45,2026-02-24 02:37:30+00:00,80,4.125,13.35,,245.0,283.7
AL945,2026-02-24 02:45:00+00:00,90,3.875,11.93,,242.5,296.8
MHJ45,2026-02-24 02:45:00+00:00,70,3.65,11.35,,252.5,305.2
MHJ45,2026-02-24 02:52:30+00:00,80,3.525,10.78,,262.5,315.5
AL945,2026-02-24 02:52:30+00:00,80,3.75,11.52,,250.0,299.2
MHJ45,2026-02-24 03:00:00+00:00,60,3.475,10.46,,292.5,316.1
AL945,2026-02-24 03:00:00+00:00,90,3.65,11.25,,270.0,311.0
MHJ45,2026-02-24 03:07:30+00:00,90,3.4,10.22,,275.0,312.3
AL945,2026-02-24 03:07:30+00:00,90,3.525,10.93,,260.0,304.3
MHJ45,2026-02-24 03:15:00+00:00,80,3.375,10.1,,280.0,315.8
AL945,2026-02-24 03:15:00+00:00,90,3.45,10.56,,257.5,306.3
MHJ45,2026-02-24 03:22:30+00:00,90,3.175,9.62,,285.0,313.4
AL945,2026-02-24 03:22:30+00:00,90,3.375,10.35,,262.5,307.8
MHJ45,2026-02-24 03:30:00+00:00,90,3.225,9.52,,295.0,322.5
AL945,2026-02-24 03:30:00+00:00,90,3.35,9.89,,270.0,341.6
MHJ45,2026-02-24 03:37:30+00:00,90,3.2,9.35,,292.5,332.7
AL945,2026-02-24 03:37:30+00:00,80,3.35,9.9,,272.5,322.6
MHJ45,2026-02-24 03:45:00+00:00,80,3.275,9.55,,290.0,332.2
AL945,2026-02-24 03:45:00+00:00,90,3.05,9.26,,275.0,316.7
AL945,2026-02-24 03:52:30+00:00,90,3.1,9.55,,267.5,311.2
MHJ45,2026-02-24 03:52:30+00:00,90,3.05,9.6,,290.0,299.5
AL945,2026-02-24 04:00:00+00:00,70,2.825,9.5,,260.0,272.4
MHJ45,2026-02-24 04:00:00+00:00,70,2.825,9.27,,282.5,287.2
AL945,2026-02-24 04:07:30+00:00,80,2.75,9.01,,282.5,282.5
MHJ45,2026-02-24 04:07:30+00:00,90,3.0,8.85,,285.0,334.9
AL945,2026-02-24 04:15:00+00:00,80,2.8,8.52,,275.0,313.8
MHJ45,2026-02-24 04:15:00+00:00,90,2.8,8.41,,305.0,318.7
MHJ45,2026-02-24 04:22:30+00:00,80,2.575,7.95,,320.0,307.4
AL945,2026-02-24 04:22:30+00:00,70,2.425,7.3,,315.0,311.2
AL945,2026-02-24 04:30:00+00:00,70,2.65,7.24,,350.0,354.3
MHJ45,2026-02-24 04:30:00+00:00,70,2.575,7.54,,360.0,331.9
AL945,2026-02-24 04:37:30+00:00,70,2.6,6.99,,380.0,362.0
MHJ45,2026-02-24 04:37:30+00:00,70,2.525,7.24,,360.0,335.0
MHJ45,2026-02-24 04:45:00+00:00,40,2.45,6.99,,392.5,345.5
AL945,2026-02-24 04:45:00+00:00,70,2.6,6.64,,382.5,388.5
MHJ45,2026-02-24 04:52:30+00:00,70,2.975,7.33,,375.0,417.3
AL945,2026-02-24 04:52:30+00:00,70,2.425,6.71,,385.0,345.3
MHJ45,2026-02-24 05:00:00+00:00,60,2.575,6.38,,460.0,413.5
AL945,2026-02-24 05:00:00+00:00,70,2.45,6.41,,407.5,376.1
MHJ45,2026-02-24 05:07:30+00:00,80,2.95,7.27,,387.5,428.9
AL945,2026-02-24 05:07:30+00:00,60,2.425,6.07,,452.5,393.6
MHJ45,2026-02-24 05:15:00+00:00,70,2.925,7.25,,412.5,420.6
AL945,2026-02-24 05:15:00+00:00,45,2.075,5.39,,500.3,367.1
MHJ45,2026-02-24 05:22:30+00:00,40,2.4,6.39,,410.0,366.9
AL945,2026-02-24 05:22:30+00:00,45,2.125,5.52,,480.3,371.0
AL945,2026-02-24 05:30:00+00:00,45,2.125,5.53,,496.0,352.4
MHJ45,2026-02-24 05:30:00+00:00,70,2.45,6.29,,407.5,393.6
MHJ45,2026-02-24 05:37:30+00:00,70,2.45,6.67,,382.5,358.3
MHJ45,2026-02-24 05:45:00+00:00,60,2.6,6.84,,377.5,389.4
MHJ45,2026-02-24 05:52:30+00:00,40,2.175,6.32,,400.0,326.2
MHJ45,2026-02-24 06:00:00+00:00,70,2.825,6.77,,482.5,432.4
MHJ45,2026-02-24 06:07:30+00:00,70,2.4,5.71,,560.0,430.6
MHJ45,2026-02-24 06:15:00+00:00,70,2.325,5.42,,557.5,423.6
MHJ45,2026-02-24 06:22:30+00:00,60,2.275,5.84,,500.0,392.2
MHJ45,2026-02-24 06:30:00+00:00,70,2.425,5.84,,492.5,416.8
MHJ45,2026-02-24 06:37:30+00:00,50,2.55,6.34,,467.5,403.9
MHJ45,2026-02-24 06:45:00+00:00,40,2.2,5.61,,530.0,371.5
MHJ45,2026-02-24 06:52:30+00:00,60,2.55,6.28,,515.0,416.2
MHJ45,2026-02-24 07:00:00+00:00,60,2.875,7.04,,462.5,440.9
MHJ45,2026-02-24 07:07:30+00:00,70,2.85,6.81,,452.5,436.7
MHJ45,2026-02-24 07:15:00+00:00,60,2.825,7.09,,427.5,417.2
AL945,2026-02-24 07:15:00+00:00,45,2.125,5.89,,477.5,335.2
AL945,2026-02-24 07:22:30+00:00,85,2.7,5.59,,670.0,500.0
MHJ45,2026-02-24 07:22:30+00:00,60,2.9,7.09,,400.0,410.4
AL945,2026-02-24 07:30:00+00:00,45,2.875,6.11,,717.5,534.5
MHJ45,2026-02-24 07:30:00+00:00,70,2.85,7.29,,405.0,401.0
MHJ45,2026-02-24 07:37:30+00:00,60,2.65,6.81,,395.0,383.3
MHJ45,2026-02-24 07:45:00+00:00,70,3.15,7.84,,400.0,421.2
AL945,2026-02-24 07:52:30+00:00,45,2.225,5.38,,562.5,391.4
MHJ45,2026-02-24 07:52:30+00:00,70,2.875,7.51,,417.5,388.2
MHJ45,2026-02-24 08:00:00+00:00,70,3.325,8.37,,375.0,400.6
MHJ45,2026-02-24 08:07:30+00:00,70,3.225,8.43,,365.0,380.5
MHJ45,2026-02-24 08:15:00+00:00,70,2.25,6.73,,367.5,315.7
AL945,2026-02-24 08:22:30+00:00,60,2.225,5.22,,607.5,420.8
MHJ45,2026-02-24 08:22:30+00:00,40,2.45,7.54,,345.0,314.4
AL945,2026-02-24 08:30:00+00:00,60,2.25,5.39,,560.0,395.6
MHJ45,2026-02-24 08:30:00+00:00,70,2.85,8.37,,337.5,328.2
MHJ45,2026-02-24 08:37:30+00:00,70,2.675,8.55,,315.0,301.3
AL945,2026-02-24 08:37:30+00:00,45,2.25,5.56,,560.0,401.6
MHJ45,2026-02-24 08:45:00+00:00,70,3.975,9.92,,305.0,387.8
AL945,2026-02-24 08:45:00+00:00,60,2.175,5.64,,492.5,360.3
MHJ45,2026-02-24 08:52:30+00:00,70,3.55,10.03,,287.5,333.3
AL945,2026-02-24 09:00:00+00:00,90,2.4,5.64,,595.0,409.0
MHJ45,2026-02-24 09:00:00+00:00,20,3.05,9.46,,280.0,298.5
