station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
MHJ45,2026-02-06 00:00:00+00:00,0,7.275,23.07,,133.8,
AL945,2026-02-06 00:00:00+00:00,20,8.15,27.06,,235.0,268.8
MHJ45,2026-02-06 00:07:30+00:00,70,7.15,22.65,,230.0,286.6
AL945,2026-02-06 00:07:30+00:00,40,7.325,25.66,,215.0,252.9
AL945,2026-02-06 00:15:00+00:00,0,7.775,25.3,,222.5,
MHJ45,2026-02-06 00:15:00+00:00,0,7.05,22.25,,237.5,
MHJ45,2026-02-06 00:22:30+00:00,0,6.95,22.09,,237.5,
AL945,2026-02-06 00:22:30+00:00,70,6.7,24.54,,220.0,246.2
MHJ45,2026-02-06 00:30:00+00:00,0,6.7,21.23,,115.0,
AL945,2026-02-06 00:30:00+00:00,60,5.55,21.64,,215.0,234.6
AL945,2026-02-06 00:37:30+00:00,50,7.325,24.51,,217.5,273.6
MHJ45,2026-02-06 00:37:30+00:00,0,6.675,20.63,,105.0,
AL945,2026-02-06 00:45:00+00:00,50,7.375,24.23,,217.5,275.1
MHJ45,2026-02-06 00:45:00+00:00,70,6.625,20.29,,230.0,302.0
MHJ45,2026-02-06 00:52:30+00:00,70,6.425,19.94,,235.0,301.6
AL945,2026-02-06 00:52:30+00:00,50,7.1,23.64,,220.0,272.4
AL945,2026-02-06 01:00:00+00:00,50,6.95,23.62,,222.5,268.5
MHJ45,2026-02-06 01:00:00+00:00,50,6.5,20.45,,252.5,303.4
AL945,2026-02-06 01:07:30+00:00,70,7.0,23.55,,220.0,272.7
MHJ45,2026-02-06 01:07:30+00:00,70,6.5,20.11,,242.5,296.9
MHJ45,2026-02-06 01:15:00+00:00,70,6.45,20.45,,240.0,289.8
AL945,2026-02-06 01:15:00+00:00,0,6.875,22.27,,225.0,271.6
MHJ45,2026-02-06 01:22:30+00:00,50,6.425,20.19,,242.5,293.3
AL945,2026-02-06 01:22:30+00:00,50,6.625,22.76,,220.0,273.5
AL945,2026-02-06 01:30:00+00:00,50,6.425,21.3,,220.0,271.4
MHJ45,2026-02-06 01:30:00+00:00,70,6.35,19.94,,242.5,291.8
MHJ45,2026-02-06 01:37:30+00:00,0,6.4,19.69,,252.5,
AL945,2026-02-06 01:37:30+00:00,70,6.2,21.17,,222.5,262.3
AL945,2026-02-06 01:45:00+00:00,0,6.2,19.16,,225.0,
MHJ45,2026-02-06 01:45:00+00:00,50,6.325,19.69,,245.0,297.2
MHJ45,2026-02-06 01:52:30+00:00,70,6.275,19.87,,247.5,294.6
AL945,2026-02-06 01:52:30+00:00,70,5.625,18.55,,235.0,279.0
AL945,2026-02-06 02:00:00+00:00,40,5.55,18.19,,230.0,280.0
MHJ45,2026-02-06 02:00:00+00:00,70,6.3,19.62,,247.5,302.6
AL945,2026-02-06 02:07:30+00:00,70,5.9,18.22,,235.0,289.5
MHJ45,2026-02-06 02:07:30+00:00,70,6.225,19.52,,242.5,297.9
AL945,2026-02-06 02:15:00+00:00,60,5.7,18.59,,237.5,279.8
MHJ45,2026-02-06 02:15:00+00:00,70,6.15,19.36,,242.5,293.3
MHJ45,2026-02-06 02:22:30+00:00,70,6.15,19.21,,237.5,293.2
AL945,2026-02-06 02:22:30+00:00,70,5.725,18.66,,242.5,286.4
AL945,2026-02-06 02:30:00+00:00,70,5.75,18.67,,240.0,283.7
MHJ45,2026-02-06 02:30:00+00:00,45,5.95,19.43,,237.5,283.4
MHJ45,2026-02-06 02:37:30+00:00,70,5.875,19.26,,237.5,281.1
AL945,2026-02-06 02:37:30+00:00,70,5.775,18.13,,240.0,294.8
AL945,2026-02-06 02:45:00+00:00,70,5.55,18.55,,242.5,280.6
MHJ45,2026-02-06 02:45:00+00:00,50,5.775,18.71,,232.5,276.9
MHJ45,2026-02-06 02:52:30+00:00,70,5.75,18.36,,230.0,293.1
AL945,2026-02-06 02:52:30+00:00,70,5.5,18.02,,242.5,287.0
AL945,2026-02-06 03:00:00+00:00,60,5.775,19.43,,237.5,275.4
MHJ45,2026-02-06 03:00:00+00:00,80,5.725,17.88,,232.5,290.9
AL945,2026-02-06 03:07:30+00:00,70,5.625,18.53,,237.5,276.7
MHJ45,2026-02-06 03:07:30+00:00,70,5.525,17.38,,240.0,303.2
MHJ45,2026-02-06 03:15:00+00:00,70,5.375,16.5,,230.0,287.0
AL945,2026-02-06 03:15:00+00:00,60,5.425,18.19,,232.5,277.6
MHJ45,2026-02-06 03:22:30+00:00,40,5.45,16.95,,232.5,296.2
AL945,2026-02-06 03:22:30+00:00,70,5.45,18.29,,237.5,272.1
MHJ45,2026-02-06 03:30:00+00:00,40,5.325,16.46,,237.5,298.0
AL945,2026-02-06 03:30:00+00:00,70,5.5,18.11,,237.5,274.6
AL945,2026-02-06 03:37:30+00:00,40,5.475,17.02,,235.0,288.0
MHJ45,2026-02-06 03:37:30+00:00,80,5.15,16.32,,235.0,289.7
AL945,2026-02-06 03:45:00+00:00,70,4.95,15.79,,232.5,277.0
MHJ45,2026-02-06 03:45:00+00:00,0,5.125,15.44,,237.5,
AL945,2026-02-06 03:52:30+00:00,70,4.65,15.94,,227.5,261.9
MHJ45,2026-02-06 03:52:30+00:00,80,5.075,14.96,,245.0,308.9
AL945,2026-02-06 04:00:00+00:00,70,4.575,15.11,,232.5,274.6
MHJ45,2026-02-06 04:00:00+00:00,80,4.975,15.09,,242.5,305.3
AL945,2026-02-06 04:07:30+00:00,70,4.6,14.85,,230.0,274.9
MHJ45,2026-02-06 04:07:30+00:00,0,4.95,14.61,,242.5,
AL945,2026-02-06 04:15:00+00:00,0,4.6,13.87,,235.0,
MHJ45,2026-02-06 04:15:00+00:00,0,4.85,14.22,,245.0,
MHJ45,2026-02-06 04:22:30+00:00,0,4.775,13.91,,250.0,
AL945,2026-02-06 04:22:30+00:00,70,4.275,14.02,,250.0,279.3
AL945,2026-02-06 04:30:00+00:00,0,4.375,13.3,,250.0,
MHJ45,2026-02-06 04:30:00+00:00,90,4.675,13.7,,257.5,315.1
AL945,2026-02-06 04:37:30+00:00,70,4.1,12.72,,265.0,302.6
MHJ45,2026-02-06 04:37:30+00:00,90,4.725,13.78,,265.0,334.6
MHJ45,2026-02-06 04:45:00+00:00,90,4.7,13.65,,270.0,334.2
AL945,2026-02-06 04:45:00+00:00,70,4.425,13.33,,252.5,311.7
MHJ45,2026-02-06 04:52:30+00:00,60,4.625,13.62,,272.5,333.6
AL945,2026-02-06 04:52:30+00:00,70,4.325,13.07,,260.0,308.6
AL945,2026-02-06 05:00:00+00:00,0,4.15,12.64,,255.0,
MHJ45,2026-02-06 05:00:00+00:00,70,4.5,13.83,,277.5,311.6
AL945,2026-02-06 05:07:30+00:00,70,4.225,12.6,,275.0,315.8
MHJ45,2026-02-06 05:07:30+00:00,80,4.775,13.57,,277.5,347.0
MHJ45,2026-02-06 05:15:00+00:00,40,4.75,13.49,,297.5,337.9
AL945,2026-02-06 05:15:00+00:00,70,4.1,12.4,,272.5,316.7
AL945,2026-02-06 05:22:30+00:00,60,4.45,12.47,,272.5,338.7
