station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 04:15:00+00:00,70,4.850,13.42,,267.5,342.5
MHJ45,2026-02-05 04:15:00+00:00,70,3.850,12.57,,275.0,296.0
AL945,2026-02-05 04:22:30+00:00,70,4.825,13.52,,272.5,337.6
MHJ45,2026-02-05 04:22:30+00:00,40,4.950,13.26,,280.0,365.7
AL945,2026-02-05 04:30:00+00:00,70,4.700,13.28,,262.5,327.7
MHJ45,2026-02-05 04:30:00+00:00,50,4.975,13.69,,275.0,359.7
AL945,2026-02-05 04:37:30+00:00,60,4.025,11.56,,295.0,338.0
MHJ45,2026-02-05 04:37:30+00:00,50,4.775,13.16,,272.5,343.9
MHJ45,2026-02-05 04:45:00+00:00,20,3.700,11.47,,282.5,313.1
AL945,2026-02-05 04:45:00+00:00,60,3.875,9.72,,320.0,402.9
MHJ45,2026-02-05 04:52:30+00:00,80,4.775,12.12,,317.5,402.6
AL945,2026-02-05 04:52:30+00:00,70,3.775,9.41,,340.0,408.3
AL945,2026-02-05 05:00:00+00:00,70,2.750,8.08,,342.5,329.3
MHJ45,2026-02-05 05:00:00+00:00,80,4.575,11.31,,330.0,420.0
AL945,2026-02-05 05:07:30+00:00,70,2.600,7.36,,355.0,344.9
MHJ45,2026-02-05 05:07:30+00:00,70,3.975,10.18,,332.5,392.7
MHJ45,2026-02-05 05:15:00+00:00,70,3.725,10.28,,340.0,365.6
AL945,2026-02-05 05:15:00+00:00,45,2.725,6.70,,468.2,406.2
AL945,2026-02-05 05:22:30+00:00,45,2.375,6.34,,431.9,359.1
MHJ45,2026-02-05 05:22:30+00:00,70,3.750,9.84,,347.5,375.6
MHJ45,2026-02-05 05:30:00+00:00,70,3.650,9.75,,342.5,387.5
AL945,2026-02-05 05:30:00+00:00,25,2.050,5.12,,547.8,351.6
MHJ45,2026-02-05 05:37:30+00:00,70,3.750,9.79,,342.5,392.6
AL945,2026-02-05 05:37:30+00:00,70,3.525,9.49,,352.5,364.4
MHJ45,2026-02-05 05:45:00+00:00,70,3.650,9.77,,342.5,379.0
AL945,2026-02-05 05:45:00+00:00,70,3.675,9.50,,345.0,385.7
AL945,2026-02-05 05:52:30+00:00,70,3.500,9.50,,360.0,374.2
MHJ45,2026-02-05 05:52:30+00:00,70,3.700,9.53,,345.0,392.5
MHJ45,2026-02-05 06:00:00+00:00,70,3.675,9.23,,352.5,411.4
AL945,2026-02-05 06:00:00+00:00,60,3.225,8.97,,375.0,361.5
AL945,2026-02-05 06:07:30+00:00,70,3.325,8.67,,377.5,379.1
MHJ45,2026-02-05 06:07:30+00:00,70,3.650,9.02,,357.5,407.5
AL945,2026-02-05 06:15:00+00:00,60,3.100,8.15,,382.5,377.9
MHJ45,2026-02-05 06:15:00+00:00,70,3.625,8.89,,365.0,424.1
AL945,2026-02-05 06:22:30+00:00,40,2.925,7.87,,380.0,365.9
MHJ45,2026-02-05 06:22:30+00:00,70,3.600,9.15,,375.0,404.9
AL945,2026-02-05 06:30:00+00:00,45,2.475,7.64,,387.5,320.6
MHJ45,2026-02-05 06:30:00+00:00,60,3.925,9.35,,375.0,442.1
AL945,2026-02-05 06:37:30+00:00,25,2.075,4.93,,574.4,387.3
MHJ45,2026-02-05 06:37:30+00:00,80,3.675,9.54,,382.5,391.1
MHJ45,2026-02-05 06:45:00+00:00,60,4.050,9.49,,385.0,433.5
AL945,2026-02-05 06:52:30+00:00,45,2.125,5.35,,509.7,366.6
MHJ45,2026-02-05 06:52:30+00:00,80,4.050,9.90,,370.0,412.6
AL945,2026-02-05 07:00:00+00:00,25,2.175,5.48,,507.0,375.3
MHJ45,2026-02-05 07:00:00+00:00,80,3.950,9.75,,360.0,408.9
MHJ45,2026-02-05 07:07:30+00:00,80,3.950,9.90,,360.0,411.7
AL945,2026-02-05 07:15:00+00:00,45,2.175,5.43,,517.3,376.8
MHJ45,2026-02-05 07:15:00+00:00,80,3.900,9.90,,362.5,398.4
AL945,2026-02-05 07:22:30+00:00,45,2.200,5.53,,490.7,379.1
MHJ45,2026-02-05 07:22:30+00:00,70,3.950,9.85,,365.0,411.3
MHJ45,2026-02-05 07:30:00+00:00,70,3.950,10.26,,362.5,394.1
AL945,2026-02-05 07:30:00+00:00,60,2.525,5.72,,547.5,444.0
MHJ45,2026-02-05 07:37:30+00:00,80,3.975,10.70,,367.5,375.3
AL945,2026-02-05 07:37:30+00:00,70,2.225,5.59,,495.0,381.0
AL945,2026-02-05 07:45:00+00:00,70,2.350,6.07,,452.5,379.3
MHJ45,2026-02-05 07:45:00+00:00,90,4.175,10.88,,345.0,388.8
MHJ45,2026-02-05 07:52:30+00:00,90,4.300,11.18,,337.5,394.0
AL945,2026-02-05 07:52:30+00:00,40,2.575,6.20,,530.0,410.6
AL945,2026-02-05 08:00:00+00:00,60,2.725,6.96,,417.5,383.5
MHJ45,2026-02-05 08:00:00+00:00,80,4.350,11.62,,330.0,374.1
MHJ45,2026-02-05 08:07:30+00:00,80,4.675,11.84,,315.0,392.6
AL945,2026-02-05 08:07:30+00:00,60,2.475,6.77,,385.0,352.7
AL945,2026-02-05 08:15:00+00:00,70,2.675,7.21,,380.0,363.8
MHJ45,2026-02-05 08:15:00+00:00,70,4.600,11.91,,310.0,384.5
MHJ45,2026-02-05 08:22:30+00:00,90,4.725,12.21,,305.0,376.2
AL945,2026-02-05 08:22:30+00:00,70,2.575,7.29,,395.0,343.3
MHJ45,2026-02-05 08:30:00+00:00,90,4.700,12.94,,297.5,362.7
AL945,2026-02-05 08:30:00+00:00,40,2.875,7.81,,355.0,369.1
MHJ45,2026-02-05 08:37:30+00:00,90,4.950,13.41,,290.0,357.2
AL945,2026-02-05 08:37:30+00:00,60,3.275,8.28,,387.5,406.3
MHJ45,2026-02-05 08:45:00+00:00,90,4.950,13.38,,277.5,364.7
AL945,2026-02-05 08:45:00+00:00,70,3.175,8.40,,372.5,376.7
MHJ45,2026-02-05 08:52:30+00:00,80,5.025,13.43,,272.5,356.1
AL945,2026-02-05 08:52:30+00:00,60,2.800,8.03,,337.5,339.0
MHJ45,2026-02-05 09:00:00+00:00,40,4.150,13.82,,270.0,299.5
AL945,2026-02-05 09:00:00+00:00,60,3.025,8.03,,382.5,371.9
MHJ45,2026-02-05 09:07:30+00:00,40,4.225,13.30,,277.5,304.7
AL945,2026-02-05 09:07:30+00:00,70,2.850,7.48,,345.0,373.0
AL945,2026-02-05 09:15:00+00:00,60,3.050,8.39,,337.5,356.7
MHJ45,2026-02-05 09:15:00+00:00,80,4.950,14.47,,260.0,320.7
MHJ45,2026-02-05 09:22:30+00:00,80,4.750,14.62,,245.0,292.3
AL945,2026-02-05 09:22:30+00:00,60,2.675,8.14,,327.5,313.5
MHJ45,2026-02-05 09:30:00+00:00,0,4.950,14.21,,235.0,
AL945,2026-02-05 09:30:00+00:00,70,2.825,8.68,,322.5,310.0
AL945,2026-02-05 09:37:30+00:00,60,3.125,8.94,,307.5,347.1
MHJ45,2026-02-05 09:37:30+00:00,0,4.700,13.76,,227.5,
MHJ45,2026-02-05 09:45:00+00:00,60,4.025,13.81,,235.0,270.9
AL945,2026-02-05 09:45:00+00:00,60,3.000,9.24,,297.5,308.0
MHJ45,2026-02-05 09:52:30+00:00,0,4.600,14.33,,237.5,
AL945,2026-02-05 09:52:30+00:00,70,2.850,8.68,,292.5,313.9
AL945,2026-02-05 10:00:00+00:00,70,2.725,8.14,,310.0,319.4
MHJ45,2026-02-05 10:00:00+00:00,70,4.425,14.44,,232.5,273.6
MHJ45,2026-02-05 10:07:30+00:00,0,4.575,13.86,,240.0,
AL945,2026-02-05 10:07:30+00:00,70,3.050,8.92,,310.0,328.7
AL945,2026-02-05 10:15:00+00:00,60,3.050,8.85,,302.5,323.2
MHJ45,2026-02-05 10:15:00+00:00,0,4.325,12.86,,230.0,
MHJ45,2026-02-05 10:22:30+00:00,80,4.100,13.61,,242.5,280.1
AL945,2026-02-05 10:22:30+00:00,70,2.750,8.40,,305.0,312.8
AL945,2026-02-05 10:30:00+00:00,70,3.075,8.56,,307.5,341.2
MHJ45,2026-02-05 10:30:00+00:00,80,4.000,13.63,,247.5,260.2
MHJ45,2026-02-05 10:37:30+00:00,80,4.075,14.14,,227.5,253.4
AL945,2026-02-05 10:37:30+00:00,40,2.700,8.05,,305.0,309.6
