utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-02-09 00:00:48,7000000,,False
2026-02-09 00:00:54,7025000,,False
2026-02-09 00:00:59,7050000,283.9641431658065,True
2026-02-09 00:01:04,3525000,,False
2026-02-09 00:01:10,3550000,,False
2026-02-09 00:01:15,3575000,,False
2026-02-09 00:06:20,7000000,267.84725936450394,True
2026-02-09 00:06:26,7025000,267.0797887072991,True
2026-02-09 00:06:31,7050000,284.73161382301134,True
2026-02-09 00:06:36,3525000,,False
2026-02-09 00:06:41,3550000,,False
2026-02-09 00:06:47,3575000,,False
2026-02-09 00:11:52,7000000,260.94002344966003,True
2026-02-09 00:11:57,7025000,290.10390842344555,True
2026-02-09 00:12:03,7050000,262.4749647640698,True
2026-02-09 00:12:08,3525000,,False
2026-02-09 00:12:13,3550000,,False
2026-02-09 00:12:18,3575000,,False
2026-02-09 00:17:24,7000000,262.4749647640698,True
2026-02-09 00:17:29,7025000,265.5448473928893,True
2026-02-09 00:17:34,7050000,327.7099706264848,True
2026-02-09 00:17:40,3525000,,False
2026-02-09 00:17:45,3550000,,False
2026-02-09 00:17:50,3575000,,False
2026-02-09 00:22:55,7000000,,False
2026-02-09 00:23:01,7025000,,False
2026-02-09 00:23:06,7050000,279.3593192225772,True
2026-02-09 00:23:11,3525000,230.24119716146473,True
2026-02-09 00:23:16,3550000,,False
2026-02-09 00:23:22,3575000,,False
2026-02-09 00:28:27,7000000,,False
2026-02-09 00:28:32,7025000,,False
2026-02-09 00:28:38,7050000,,False
2026-02-09 00:28:43,3525000,,False
2026-02-09 00:28:48,3550000,,False
2026-02-09 00:28:53,3575000,,False
2026-02-09 00:33:59,7000000,,False
2026-02-09 00:34:04,7025000,366.8509741439338,True
2026-02-09 00:34:09,7050000,,False
2026-02-09 00:34:15,3525000,,False
2026-02-09 00:34:20,3550000,231.7761384758745,True
2026-02-09 00:34:25,3575000,,False
2026-02-09 00:39:30,7000000,413.66668423343157,True
2026-02-09 00:39:36,7025000,,False
2026-02-09 00:39:41,7050000,,False
2026-02-09 00:39:46,3525000,240.98578636233307,True
2026-02-09 00:39:52,3550000,,False
2026-02-09 00:39:57,3575000,,False
2026-02-09 00:45:02,7000000,,False
2026-02-09 00:45:07,7025000,,False
2026-02-09 00:45:13,7050000,,False
2026-02-09 00:45:18,3525000,,False
2026-02-09 00:45:23,3550000,,False
2026-02-09 00:45:28,3575000,,False
2026-02-09 00:50:34,7000000,,False
2026-02-09 00:50:39,7025000,,False
2026-02-09 00:50:44,7050000,,False
2026-02-09 00:50:50,3525000,,False
2026-02-09 00:50:55,3550000,,False
2026-02-09 00:51:00,3575000,275.52196593655276,True
2026-02-09 00:56:05,7000000,,False
2026-02-09 00:56:11,7025000,,False
2026-02-09 00:56:16,7050000,,False
2026-02-09 00:56:21,3525000,,False
2026-02-09 00:56:27,3550000,,False
2026-02-09 00:56:32,3575000,,False
2026-02-09 01:01:37,7000000,,False
2026-02-09 01:01:42,7025000,,False
2026-02-09 01:01:48,7050000,,False
2026-02-09 01:01:53,3525000,275.52196593655276,True
2026-02-09 01:01:59,3550000,,False
2026-02-09 01:02:04,3575000,,False
2026-02-09 01:07:09,7000000,,False
2026-02-09 01:07:15,7025000,,False
2026-02-09 01:07:20,7050000,,False
2026-02-09 01:07:26,3525000,272.45208330773323,True
2026-02-09 01:07:31,3550000,,False
2026-02-09 01:07:36,3575000,,False
2026-02-09 01:12:41,7000000,,False
2026-02-09 01:12:47,7025000,,False
2026-02-09 01:12:53,7050000,,False
2026-02-09 01:12:58,3525000,259.40508213525027,True
2026-02-09 01:13:03,3550000,,False
2026-02-09 01:13:08,3575000,,False
2026-02-09 01:18:14,7000000,,False
2026-02-09 01:18:19,7025000,,False
2026-02-09 01:18:25,7050000,,False
2026-02-09 01:18:30,3525000,,False
2026-02-09 01:18:35,3550000,,False
2026-02-09 01:18:41,3575000,,False
2026-02-09 01:23:46,7000000,,False
2026-02-09 01:23:51,7025000,,False
2026-02-09 01:23:57,7050000,,False
2026-02-09 01:24:02,3525000,289.3364377662407,True
2026-02-09 01:24:08,3550000,,False
2026-02-09 01:24:13,3575000,,False
2026-02-09 01:29:18,7000000,,False
2026-02-09 01:29:24,7025000,,False
2026-02-09 01:29:29,7050000,,False
2026-02-09 01:29:35,3525000,,False
2026-02-09 01:29:40,3550000,,False
2026-02-09 01:29:45,3575000,,False
2026-02-09 01:34:50,7000000,,False
2026-02-09 01:34:56,7025000,,False
2026-02-09 01:35:01,7050000,,False
2026-02-09 01:35:07,3525000,260.94002344966003,True
2026-02-09 01:35:12,3550000,,False
2026-02-09 01:35:17,3575000,,False
2026-02-09 01:40:22,7000000,,False
2026-02-09 01:40:28,7025000,,False
2026-02-09 01:40:34,7050000,,False
2026-02-09 01:40:39,3525000,279.3593192225772,True
2026-02-09 01:40:44,3550000,,False
2026-02-09 01:40:49,3575000,,False
2026-02-09 01:45:55,7000000,,False
2026-02-09 01:46:00,7025000,,False
2026-02-09 01:46:06,7050000,,False
2026-02-09 01:46:11,3525000,,False
2026-02-09 01:46:17,3550000,,False
2026-02-09 01:46:22,3575000,,False
2026-02-09 01:51:27,7000000,,False
2026-02-09 01:51:33,7025000,,False
2026-02-09 01:51:38,7050000,,False
2026-02-09 01:51:43,3525000,,False
2026-02-09 01:51:48,3550000,,False
2026-02-09 01:51:53,3575000,,False
2026-02-09 01:56:59,7000000,,False
2026-02-09 01:57:04,7025000,,False
2026-02-09 01:57:09,7050000,,False
2026-02-09 01:57:15,3525000,332.3147945697141,True
2026-02-09 01:57:20,3550000,,False
2026-02-09 01:57:25,3575000,,False
2026-02-09 02:02:31,7000000,,False
2026-02-09 02:02:36,7025000,,False
2026-02-09 02:02:41,7050000,,False
2026-02-09 02:02:46,3525000,273.987024622143,True
2026-02-09 02:02:52,3550000,,False
2026-02-09 02:02:57,3575000,,False
2026-02-09 02:08:02,7000000,,False
2026-02-09 02:08:08,7025000,,False
2026-02-09 02:08:13,7050000,,False
2026-02-09 02:08:18,3525000,277.82437790816743,True
2026-02-09 02:08:23,3550000,,False
2026-02-09 02:08:29,3575000,255.56772884922583,True
2026-02-09 02:13:34,7000000,,False
2026-02-09 02:13:39,7025000,,False
2026-02-09 02:13:45,7050000,,False
2026-02-09 02:13:50,3525000,,False
2026-02-09 02:13:55,3550000,,False
2026-02-09 02:14:00,3575000,,False
2026-02-09 02:19:06,7000000,,False
2026-02-09 02:19:11,7025000,,False
2026-02-09 02:19:16,7050000,,False
2026-02-09 02:19:21,3525000,,False
2026-02-09 02:19:27,3550000,273.21955396493814,True
2026-02-09 02:19:32,3575000,,False
2026-02-09 02:24:37,7000000,,False
2026-02-09 02:24:43,7025000,,False
2026-02-09 02:24:48,7050000,,False
2026-02-09 02:24:53,3525000,,False
2026-02-09 02:24:58,3550000,,False
2026-02-09 02:25:04,3575000,,False
2026-02-09 02:30:09,7000000,,False
2026-02-09 02:30:14,7025000,,False
2026-02-09 02:30:20,7050000,,False
2026-02-09 02:30:25,3525000,269.3822006789137,True
2026-02-09 02:30:30,3550000,,False
2026-02-09 02:30:35,3575000,,False
2026-02-09 02:35:41,7000000,,False
2026-02-09 02:35:46,7025000,,False
2026-02-09 02:35:51,7050000,,False
2026-02-09 02:35:57,3525000,271.6846126505284,True
2026-02-09 02:36:02,3550000,,False
2026-02-09 02:36:07,3575000,,False
2026-02-09 02:41:12,7000000,,False
2026-02-09 02:41:18,7025000,,False
2026-02-09 02:41:23,7050000,,False
2026-02-09 02:41:28,3525000,,False
2026-02-09 02:41:33,3550000,,False
2026-02-09 02:41:39,3575000,,False
2026-02-09 02:46:44,7000000,,False
2026-02-09 02:46:49,7025000,,False
2026-02-09 02:46:55,7050000,,False
2026-02-09 02:47:00,3525000,,False
2026-02-09 02:47:05,3550000,,False
2026-02-09 02:47:10,3575000,,False
2026-02-09 02:52:16,7000000,,False
2026-02-09 02:52:21,7025000,307.75573353915786,True
2026-02-09 02:52:26,7050000,,False
2026-02-09 02:52:32,3525000,276.28943659375767,True
2026-02-09 02:52:37,3550000,,False
2026-02-09 02:52:42,3575000,258.63761147804536,True
2026-02-09 02:57:47,7000000,,False
2026-02-09 02:57:53,7025000,,False
2026-02-09 02:57:58,7050000,,False
2026-02-09 02:58:03,3525000,,False
2026-02-09 02:58:08,3550000,,False
2026-02-09 02:58:14,3575000,,False
2026-02-09 03:03:19,7000000,,False
2026-02-09 03:03:24,7025000,,False
2026-02-09 03:03:30,7050000,,False
2026-02-09 03:03:35,3525000,,False
2026-02-09 03:03:40,3550000,,False
2026-02-09 03:03:45,3575000,,False
2026-02-09 03:08:51,7000000,,False
2026-02-09 03:08:56,7025000,,False
2026-02-09 03:09:01,7050000,,False
2026-02-09 03:09:07,3525000,,False
2026-02-09 03:09:12,3550000,,False
2026-02-09 03:09:17,3575000,,False
2026-02-09 03:14:22,7000000,,False
2026-02-09 03:14:28,7025000,,False
2026-02-09 03:14:33,7050000,,False
2026-02-09 03:14:39,3525000,,False
2026-02-09 03:14:44,3550000,,False
2026-02-09 03:14:49,3575000,,False
2026-02-09 03:19:55,7000000,,False
2026-02-09 03:20:00,7025000,,False
2026-02-09 03:20:05,7050000,,False
2026-02-09 03:20:10,3525000,,False
2026-02-09 03:20:16,3550000,,False
2026-02-09 03:20:21,3575000,,False
2026-02-09 03:25:26,7000000,,False
2026-02-09 03:25:32,7025000,,False
2026-02-09 03:25:37,7050000,,False
2026-02-09 03:25:42,3525000,,False
2026-02-09 03:25:47,3550000,,False
2026-02-09 03:25:53,3575000,,False
2026-02-09 03:30:58,7000000,,False
2026-02-09 03:31:03,7025000,,False
2026-02-09 03:31:09,7050000,,False
2026-02-09 03:31:14,3525000,,False
2026-02-09 03:31:19,3550000,,False
2026-02-09 03:31:25,3575000,,False
2026-02-09 03:36:30,7000000,,False
2026-02-09 03:36:35,7025000,,False
2026-02-09 03:36:41,7050000,,False
2026-02-09 03:36:46,3525000,,False
2026-02-09 03:36:52,3550000,,False
