utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-02-28 00:00:41,7000000,293.1737910522651,True
2026-02-28 00:00:47,7025000,301.6159682815188,True
2026-02-28 00:00:52,7050000,283.1966725086016,True
2026-02-28 00:00:57,3525000,,False
2026-02-28 00:01:02,3550000,,False
2026-02-28 00:01:07,3575000,,False
2026-02-28 00:06:12,7000000,310.0581455107725,True
2026-02-28 00:06:18,7025000,305.4533215675432,True
2026-02-28 00:06:23,7050000,,False
2026-02-28 00:06:28,3525000,,False
2026-02-28 00:06:33,3550000,,False
2026-02-28 00:06:38,3575000,412.8992135762267,True
2026-02-28 00:11:44,7000000,323.10514668325544,True
2026-02-28 00:11:49,7025000,325.4075586548701,True
2026-02-28 00:11:54,7050000,321.5702053688457,True
2026-02-28 00:11:59,3525000,,False
2026-02-28 00:12:04,3550000,,False
2026-02-28 00:12:10,3575000,,False
2026-02-28 00:17:15,7000000,317.73285208282135,True
2026-02-28 00:17:20,7025000,,False
2026-02-28 00:17:25,7050000,287.8014964518309,True
2026-02-28 00:17:30,3525000,,False
2026-02-28 00:17:36,3550000,,False
2026-02-28 00:17:41,3575000,,False
2026-02-28 00:22:46,7000000,324.6400879976652,True
2026-02-28 00:22:51,7025000,,False
2026-02-28 00:22:56,7050000,,False
2026-02-28 00:23:02,3525000,,False
2026-02-28 00:23:07,3550000,,False
2026-02-28 00:23:12,3575000,,False
2026-02-28 00:28:17,7000000,313.12802813959206,True
2026-02-28 00:28:22,7025000,325.4075586548701,True
2026-02-28 00:28:28,7050000,327.7099706264848,True
2026-02-28 00:28:33,3525000,,False
2026-02-28 00:28:38,3550000,,False
2026-02-28 00:28:43,3575000,,False
2026-02-28 00:33:48,7000000,320.8027347116408,True
2026-02-28 00:33:54,7025000,,False
2026-02-28 00:33:59,7050000,,False
2026-02-28 00:34:04,3525000,,False
2026-02-28 00:34:09,3550000,,False
2026-02-28 00:34:14,3575000,,False
2026-02-28 00:39:19,7000000,303.9183802531334,True
2026-02-28 00:39:25,7025000,320.8027347116408,True
2026-02-28 00:39:30,7050000,,False
2026-02-28 00:39:35,3525000,,False
2026-02-28 00:39:40,3550000,,False
2026-02-28 00:39:45,3575000,,False
2026-02-28 00:44:51,7000000,349.9666196854264,True
2026-02-28 00:44:56,7025000,364.5485621723191,True
2026-02-28 00:45:01,7050000,,False
2026-02-28 00:45:06,3525000,,False
2026-02-28 00:45:11,3550000,,False
2026-02-28 00:45:17,3575000,,False
2026-02-28 00:50:22,7000000,293.1737910522651,True
2026-02-28 00:50:27,7025000,307.75573353915786,True
2026-02-28 00:50:32,7050000,,False
2026-02-28 00:50:38,3525000,,False
2026-02-28 00:50:43,3550000,,False
2026-02-28 00:50:48,3575000,,False
2026-02-28 00:55:53,7000000,370.68832742995824,True
2026-02-28 00:55:58,7025000,,False
2026-02-28 00:56:04,7050000,,False
2026-02-28 00:56:09,3525000,,False
2026-02-28 00:56:14,3550000,,False
2026-02-28 00:56:19,3575000,,False
2026-02-28 01:01:24,7000000,297.01114433828945,True
2026-02-28 01:01:30,7025000,306.98826288195295,True
2026-02-28 01:01:35,7050000,348.43167837101663,True
2026-02-28 01:01:40,3525000,,False
2026-02-28 01:01:45,3550000,,False
2026-02-28 01:01:50,3575000,,False
2026-02-28 01:06:55,7000000,,False
2026-02-28 01:07:01,7025000,356.1063849430654,True
2026-02-28 01:07:06,7050000,387.5726818884656,True
2026-02-28 01:07:11,3525000,,False
2026-02-28 01:07:16,3550000,,False
2026-02-28 01:07:21,3575000,,False
2026-02-28 01:12:27,7000000,339.9895011417629,True
2026-02-28 01:12:32,7025000,,False
2026-02-28 01:12:37,7050000,328.47744128368964,True
2026-02-28 01:12:42,3525000,,False
2026-02-28 01:12:47,3550000,,False
2026-02-28 01:12:53,3575000,,False
2026-02-28 01:17:58,7000000,306.2207922247481,True
2026-02-28 01:18:03,7025000,274.7544952793479,True
2026-02-28 01:18:08,7050000,,False
2026-02-28 01:18:13,3525000,,False
2026-02-28 01:18:19,3550000,,False
2026-02-28 01:18:24,3575000,,False
2026-02-28 01:23:29,7000000,350.7340903426313,True
2026-02-28 01:23:34,7025000,,False
2026-02-28 01:23:39,7050000,,False
2026-02-28 01:23:45,3525000,,False
2026-02-28 01:23:50,3550000,,False
2026-02-28 01:23:55,3575000,,False
2026-02-28 01:29:00,7000000,,False
2026-02-28 01:29:05,7025000,,False
2026-02-28 01:29:11,7050000,379.8979753164168,True
2026-02-28 01:29:16,3525000,,False
2026-02-28 01:29:21,3550000,,False
2026-02-28 01:29:26,3575000,,False
2026-02-28 01:34:31,7000000,362.2461502007045,True
2026-02-28 01:34:37,7025000,368.38591545834356,True
2026-02-28 01:34:42,7050000,,False
2026-02-28 01:34:47,3525000,,False
2026-02-28 01:34:52,3550000,,False
2026-02-28 01:34:57,3575000,,False
2026-02-28 01:40:02,7000000,,False
2026-02-28 01:40:08,7025000,300.8484976243139,True
2026-02-28 01:40:13,7050000,,False
2026-02-28 01:40:18,3525000,,False
2026-02-28 01:40:23,3550000,,False
2026-02-28 01:40:28,3575000,,False
2026-02-28 01:45:34,7000000,,False
2026-02-28 01:45:39,7025000,388.3401525456705,True
2026-02-28 01:45:44,7050000,297.01114433828945,True
2026-02-28 01:45:49,3525000,,False
2026-02-28 01:45:54,3550000,,False
2026-02-28 01:46:00,3575000,,False
2026-02-28 01:51:05,7000000,,False
2026-02-28 01:51:10,7025000,306.98826288195295,True
2026-02-28 01:51:15,7050000,,False
2026-02-28 01:51:20,3525000,,False
2026-02-28 01:51:26,3550000,,False
2026-02-28 01:51:31,3575000,,False
