utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-02-17 00:03:10,7000000,,False
2026-02-17 00:03:16,7025000,,False
2026-02-17 00:03:21,7050000,,False
2026-02-17 00:03:26,3525000,254.03278753481607,True
2026-02-17 00:03:31,3550000,,False
2026-02-17 00:03:37,3575000,,False
2026-02-17 00:08:42,7000000,,False
2026-02-17 00:08:47,7025000,,False
2026-02-17 00:08:52,7050000,,False
2026-02-17 00:08:58,3525000,,False
2026-02-17 00:09:03,3550000,273.21955396493814,True
2026-02-17 00:09:08,3575000,,False
2026-02-17 00:14:14,7000000,,False
2026-02-17 00:14:19,7025000,,False
2026-02-17 00:14:24,7050000,,False
2026-02-17 00:14:29,3525000,238.68337439071843,True
2026-02-17 00:14:35,3550000,250.96290490599657,True
2026-02-17 00:14:40,3575000,,False
2026-02-17 00:19:45,7000000,,False
2026-02-17 00:19:51,7025000,,False
2026-02-17 00:19:56,7050000,,False
2026-02-17 00:20:01,3525000,,False
2026-02-17 00:20:06,3550000,,False
2026-02-17 00:20:12,3575000,,False
2026-02-17 00:25:17,7000000,,False
2026-02-17 00:25:22,7025000,,False
2026-02-17 00:25:28,7050000,,False
2026-02-17 00:25:33,3525000,,False
2026-02-17 00:25:38,3550000,,False
2026-02-17 00:25:43,3575000,269.3822006789137,True
2026-02-17 00:30:49,7000000,,False
2026-02-17 00:30:54,7025000,,False
2026-02-17 00:30:59,7050000,,False
2026-02-17 00:31:05,3525000,,False
2026-02-17 00:31:10,3550000,,False
2026-02-17 00:31:15,3575000,,False
2026-02-17 00:36:20,7000000,,False
2026-02-17 00:36:26,7025000,,False
2026-02-17 00:36:31,7050000,,False
2026-02-17 00:36:36,3525000,240.98578636233307,True
2026-02-17 00:36:41,3550000,,False
2026-02-17 00:36:47,3575000,,False
2026-02-17 00:41:52,7000000,,False
2026-02-17 00:41:57,7025000,,False
2026-02-17 00:42:03,7050000,,False
2026-02-17 00:42:08,3525000,247.893022277177,True
2026-02-17 00:42:13,3550000,,False
2026-02-17 00:42:18,3575000,,False
2026-02-17 00:47:24,7000000,,False
2026-02-17 00:47:29,7025000,,False
2026-02-17 00:47:34,7050000,,False
2026-02-17 00:47:40,3525000,,False
2026-02-17 00:47:45,3550000,,False
2026-02-17 00:47:50,3575000,,False
2026-02-17 00:52:55,7000000,,False
2026-02-17 00:53:01,7025000,,False
2026-02-17 00:53:06,7050000,,False
2026-02-17 00:53:11,3525000,,False
2026-02-17 00:53:16,3550000,,False
2026-02-17 00:53:22,3575000,,False
2026-02-17 00:58:27,7000000,,False
2026-02-17 00:58:32,7025000,,False
2026-02-17 00:58:38,7050000,,False
2026-02-17 00:58:43,3525000,,False
2026-02-17 00:58:48,3550000,,False
