utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-02-12 00:04:48,7000000,,False
2026-02-12 00:04:54,7025000,,False
2026-02-12 00:04:59,7050000,,False
2026-02-12 00:05:04,3525000,,False
2026-02-12 00:05:09,3550000,,False
2026-02-12 00:05:15,3575000,,False
2026-02-12 00:10:20,7000000,,False
2026-02-12 00:10:25,7025000,,False
2026-02-12 00:10:31,7050000,,False
2026-02-12 00:10:36,3525000,258.63761147804536,True
2026-02-12 00:10:41,3550000,259.40508213525027,True
2026-02-12 00:10:46,3575000,,False
2026-02-12 00:15:52,7000000,,False
2026-02-12 00:15:57,7025000,,False
2026-02-12 00:16:03,7050000,,False
2026-02-12 00:16:08,3525000,,False
2026-02-12 00:16:13,3550000,,False
2026-02-12 00:16:19,3575000,,False
2026-02-12 00:21:24,7000000,,False
2026-02-12 00:21:29,7025000,,False
2026-02-12 00:21:35,7050000,,False
2026-02-12 00:21:40,3525000,239.4508450479233,True
2026-02-12 00:21:45,3550000,240.2183157051282,True
2026-02-12 00:21:50,3575000,,False
2026-02-12 00:26:56,7000000,,False
2026-02-12 00:27:01,7025000,,False
2026-02-12 00:27:06,7050000,,False
2026-02-12 00:27:12,3525000,273.987024622143,True
2026-02-12 00:27:17,3550000,255.56772884922583,True
2026-02-12 00:27:22,3575000,,False
2026-02-12 00:32:27,7000000,,False
2026-02-12 00:32:33,7025000,,False
2026-02-12 00:32:38,7050000,,False
2026-02-12 00:32:43,3525000,254.80025819202095,True
2026-02-12 00:32:48,3550000,,False
2026-02-12 00:32:54,3575000,,False
2026-02-12 00:37:59,7000000,,False
2026-02-12 00:38:04,7025000,,False
2026-02-12 00:38:10,7050000,,False
2026-02-12 00:38:15,3525000,,False
2026-02-12 00:38:20,3550000,272.45208330773323,True
2026-02-12 00:38:26,3575000,,False
2026-02-12 00:43:31,7000000,,False
2026-02-12 00:43:36,7025000,,False
2026-02-12 00:43:41,7050000,,False
2026-02-12 00:43:47,3525000,254.03278753481607,True
2026-02-12 00:43:52,3550000,,False
2026-02-12 00:43:57,3575000,,False
2026-02-12 00:49:03,7000000,,False
2026-02-12 00:49:08,7025000,,False
2026-02-12 00:49:13,7050000,,False
2026-02-12 00:49:18,3525000,265.5448473928893,True
2026-02-12 00:49:24,3550000,257.1026701636356,True
2026-02-12 00:49:29,3575000,264.00990607847956,True
2026-02-12 00:54:34,7000000,,False
2026-02-12 00:54:40,7025000,,False
2026-02-12 00:54:45,7050000,,False
2026-02-12 00:54:50,3525000,259.40508213525027,True
2026-02-12 00:54:55,3550000,,False
2026-02-12 00:55:01,3575000,,False
2026-02-12 01:00:06,7000000,,False
2026-02-12 01:00:11,7025000,,False
2026-02-12 01:00:17,7050000,,False
2026-02-12 01:00:22,3525000,248.66049293438192,True
2026-02-12 01:00:27,3550000,,False
2026-02-12 01:00:32,3575000,,False
2026-02-12 01:05:38,7000000,,False
2026-02-12 01:05:43,7025000,,False
2026-02-12 01:05:48,7050000,,False
2026-02-12 01:05:54,3525000,231.0086678186696,True
2026-02-12 01:05:59,3550000,242.52072767674284,True
2026-02-12 01:06:04,3575000,,False
2026-02-12 01:11:09,7000000,,False
2026-02-12 01:11:15,7025000,,False
2026-02-12 01:11:20,7050000,,False
2026-02-12 01:11:25,3525000,249.4279635915868,True
2026-02-12 01:11:31,3550000,,False
2026-02-12 01:11:36,3575000,,False
2026-02-12 01:16:41,7000000,,False
2026-02-12 01:16:46,7025000,,False
2026-02-12 01:16:52,7050000,,False
2026-02-12 01:16:57,3525000,245.59061030556236,True
2026-02-12 01:17:02,3550000,235.6134917618989,True
2026-02-12 01:17:07,3575000,,False
2026-02-12 01:22:13,7000000,,False
