utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-03-06 00:04:10,7000000,314.6629694540018,True
2026-03-06 00:04:15,7025000,,False
2026-03-06 00:04:21,7050000,,False
2026-03-06 00:04:26,3525000,,False
2026-03-06 00:04:31,3550000,,False
2026-03-06 00:04:36,3575000,,False
2026-03-06 00:09:42,7000000,288.5689671090358,True
2026-03-06 00:09:47,7025000,,False
2026-03-06 00:09:52,7050000,,False
2026-03-06 00:09:57,3525000,,False
2026-03-06 00:10:02,3550000,,False
2026-03-06 00:10:07,3575000,,False
2026-03-06 00:15:13,7000000,321.5702053688457,True
2026-03-06 00:15:18,7025000,,False
2026-03-06 00:15:23,7050000,,False
2026-03-06 00:15:28,3525000,,False
2026-03-06 00:15:34,3550000,,False
2026-03-06 00:15:39,3575000,,False
2026-03-06 00:20:44,7000000,,False
2026-03-06 00:20:49,7025000,307.75573353915786,True
2026-03-06 00:20:55,7050000,297.7786149954944,True
2026-03-06 00:21:00,3525000,,False
2026-03-06 00:21:05,3550000,,False
2026-03-06 00:21:10,3575000,,False
2026-03-06 00:26:15,7000000,,False
2026-03-06 00:26:21,7025000,,False
2026-03-06 00:26:26,7050000,,False
2026-03-06 00:26:31,3525000,,False
2026-03-06 00:26:36,3550000,,False
2026-03-06 00:26:41,3575000,,False
2026-03-06 00:31:47,7000000,294.70873236667484,True
2026-03-06 00:31:52,7025000,,False
2026-03-06 00:31:57,7050000,,False
2026-03-06 00:32:02,3525000,,False
2026-03-06 00:32:07,3550000,,False
2026-03-06 00:32:12,3575000,,False
2026-03-06 00:37:18,7000000,,False
2026-03-06 00:37:23,7025000,,False
2026-03-06 00:37:28,7050000,282.4292018513967,True
2026-03-06 00:37:33,3525000,,False
2026-03-06 00:37:39,3550000,,False
2026-03-06 00:37:44,3575000,,False
2026-03-06 00:42:49,7000000,285.49908448021625,True
2026-03-06 00:42:54,7025000,310.0581455107725,True
2026-03-06 00:42:59,7050000,,False
2026-03-06 00:43:05,3525000,,False
2026-03-06 00:43:10,3550000,,False
2026-03-06 00:43:15,3575000,,False
2026-03-06 00:48:20,7000000,300.081026967109,True
2026-03-06 00:48:26,7025000,294.70873236667484,True
2026-03-06 00:48:31,7050000,277.0569072509626,True
2026-03-06 00:48:36,3525000,,False
2026-03-06 00:48:41,3550000,,False
2026-03-06 00:48:46,3575000,,False
2026-03-06 00:53:52,7000000,296.2436736810846,True
2026-03-06 00:53:57,7025000,296.2436736810846,True
2026-03-06 00:54:02,7050000,,False
2026-03-06 00:54:07,3525000,,False
2026-03-06 00:54:12,3550000,,False
2026-03-06 00:54:18,3575000,,False
2026-03-06 00:59:23,7000000,284.73161382301134,True
2026-03-06 00:59:28,7025000,,False
2026-03-06 00:59:34,7050000,,False
2026-03-06 00:59:39,3525000,,False
2026-03-06 00:59:44,3550000,,False
2026-03-06 00:59:50,3575000,,False
2026-03-06 01:04:55,7000000,293.1737910522651,True
2026-03-06 01:05:00,7025000,,False
2026-03-06 01:05:06,7050000,319.2677933972311,True
2026-03-06 01:05:11,3525000,,False
2026-03-06 01:05:16,3550000,,False
2026-03-06 01:05:22,3575000,,False
2026-03-06 01:10:27,7000000,256.33519950643074,True
2026-03-06 01:10:32,7025000,270.1496713361186,True
2026-03-06 01:10:38,7050000,,False
2026-03-06 01:10:43,3525000,,False
2026-03-06 01:10:48,3550000,,False
2026-03-06 01:10:54,3575000,,False
2026-03-06 01:15:59,7000000,304.6858509103384,True
2026-03-06 01:16:04,7025000,346.129266399402,True
2026-03-06 01:16:10,7050000,,False
2026-03-06 01:16:15,3525000,,False
2026-03-06 01:16:20,3550000,,False
2026-03-06 01:16:26,3575000,,False
2026-03-06 01:21:31,7000000,310.8256161679774,True
2026-03-06 01:21:36,7025000,,False
2026-03-06 01:21:42,7050000,,False
2026-03-06 01:21:47,3525000,,False
2026-03-06 01:21:53,3550000,,False
2026-03-06 01:21:58,3575000,,False
2026-03-06 01:27:03,7000000,299.31355630990413,True
2026-03-06 01:27:08,7025000,299.31355630990413,True
2026-03-06 01:27:14,7050000,,False
2026-03-06 01:27:19,3525000,,False
2026-03-06 01:27:25,3550000,,False
2026-03-06 01:27:30,3575000,,False
2026-03-06 01:32:35,7000000,,False
2026-03-06 01:32:40,7025000,290.10390842344555,True
2026-03-06 01:32:46,7050000,,False
2026-03-06 01:32:51,3525000,,False
2026-03-06 01:32:57,3550000,,False
2026-03-06 01:33:02,3575000,,False
2026-03-06 01:38:07,7000000,,False
2026-03-06 01:38:12,7025000,287.034025794626,True
2026-03-06 01:38:18,7050000,,False
2026-03-06 01:38:23,3525000,,False
2026-03-06 01:38:29,3550000,,False
2026-03-06 01:38:34,3575000,,False
2026-03-06 01:43:39,7000000,316.96538142561644,True
2026-03-06 01:43:44,7025000,,False
2026-03-06 01:43:50,7050000,,False
2026-03-06 01:43:55,3525000,,False
2026-03-06 01:44:00,3550000,,False
2026-03-06 01:44:06,3575000,,False
2026-03-06 01:49:11,7000000,,False
2026-03-06 01:49:16,7025000,302.38343893872366,True
2026-03-06 01:49:22,7050000,,False
2026-03-06 01:49:27,3525000,,False
2026-03-06 01:49:32,3550000,,False
2026-03-06 01:49:38,3575000,,False
2026-03-06 01:54:43,7000000,316.96538142561644,True
2026-03-06 01:54:48,7025000,326.9424999692799,True
2026-03-06 01:54:54,7050000,,False
2026-03-06 01:54:59,3525000,,False
2026-03-06 01:55:04,3550000,,False
2026-03-06 01:55:10,3575000,,False
2026-03-06 02:00:15,7000000,331.5473239125092,True
2026-03-06 02:00:20,7025000,336.1521478557385,True
2026-03-06 02:00:26,7050000,,False
2026-03-06 02:00:31,3525000,,False
2026-03-06 02:00:36,3550000,,False
2026-03-06 02:00:42,3575000,,False
2026-03-06 02:05:47,7000000,330.7798532553043,True
2026-03-06 02:05:52,7025000,,False
2026-03-06 02:05:58,7050000,,False
2026-03-06 02:06:03,3525000,,False
2026-03-06 02:06:09,3550000,,False
2026-03-06 02:06:14,3575000,,False
2026-03-06 02:11:19,7000000,,False
2026-03-06 02:11:24,7025000,349.19914902822154,True
2026-03-06 02:11:30,7050000,,False
2026-03-06 02:11:35,3525000,,False
2026-03-06 02:11:41,3550000,,False
2026-03-06 02:11:46,3575000,,False
2026-03-06 02:16:51,7000000,326.9424999692799,True
2026-03-06 02:16:56,7025000,343.05938377058243,True
2026-03-06 02:17:01,7050000,310.0581455107725,True
2026-03-06 02:17:07,3525000,,False
2026-03-06 02:17:12,3550000,,False
2026-03-06 02:17:17,3575000,326.9424999692799,True
2026-03-06 02:22:22,7000000,332.3147945697141,True
2026-03-06 02:22:28,7025000,,False
2026-03-06 02:22:33,7050000,,False
2026-03-06 02:22:38,3525000,,False
2026-03-06 02:22:44,3550000,,False
2026-03-06 02:22:49,3575000,,False
2026-03-06 02:27:54,7000000,,False
2026-03-06 02:27:59,7025000,,False
2026-03-06 02:28:05,7050000,,False
2026-03-06 02:28:10,3525000,,False
2026-03-06 02:28:16,3550000,,False
2026-03-06 02:28:21,3575000,,False
2026-03-06 02:33:26,7000000,379.8979753164168,True
2026-03-06 02:33:31,7025000,,False
2026-03-06 02:33:37,7050000,,False
2026-03-06 02:33:42,3525000,,False
2026-03-06 02:33:48,3550000,,False
2026-03-06 02:33:53,3575000,,False
2026-03-06 02:38:58,7000000,,False
2026-03-06 02:39:03,7025000,,False
2026-03-06 02:39:09,7050000,,False
2026-03-06 02:39:15,3525000,,False
2026-03-06 02:39:20,3550000,,False
2026-03-06 02:39:25,3575000,,False
2026-03-06 02:44:30,7000000,,False
2026-03-06 02:44:35,7025000,,False
2026-03-06 02:44:41,7050000,,False
2026-03-06 02:44:47,3525000,,False
2026-03-06 02:44:52,3550000,,False
2026-03-06 02:44:57,3575000,,False
2026-03-06 02:50:02,7000000,,False
2026-03-06 02:50:07,7025000,,False
2026-03-06 02:50:13,7050000,,False
2026-03-06 02:50:19,3525000,,False
2026-03-06 02:50:24,3550000,,False
2026-03-06 02:50:29,3575000,,False
2026-03-06 02:55:34,7000000,,False
2026-03-06 02:55:40,7025000,,False
2026-03-06 02:55:45,7050000,,False
2026-03-06 02:55:51,3525000,,False
2026-03-06 02:55:56,3550000,,False
2026-03-06 02:56:01,3575000,313.8954987967969,True
2026-03-06 03:01:06,7000000,,False
2026-03-06 03:01:12,7025000,,False
2026-03-06 03:01:17,7050000,,False
2026-03-06 03:01:23,3525000,,False
2026-03-06 03:01:28,3550000,,False
2026-03-06 03:01:33,3575000,,False
2026-03-06 03:06:38,7000000,,False
2026-03-06 03:06:44,7025000,,False
2026-03-06 03:06:50,7050000,,False
2026-03-06 03:06:55,3525000,,False
2026-03-06 03:07:00,3550000,,False
2026-03-06 03:07:05,3575000,,False
2026-03-06 03:12:10,7000000,,False
2026-03-06 03:12:16,7025000,,False
2026-03-06 03:12:21,7050000,,False
2026-03-06 03:12:26,3525000,,False
2026-03-06 03:12:32,3550000,,False
2026-03-06 03:12:37,3575000,,False
2026-03-06 03:17:42,7000000,,False
2026-03-06 03:17:47,7025000,,False
2026-03-06 03:17:53,7050000,,False
2026-03-06 03:17:58,3525000,,False
2026-03-06 03:18:04,3550000,,False
2026-03-06 03:18:09,3575000,,False
2026-03-06 03:23:14,7000000,,False
2026-03-06 03:23:19,7025000,,False
2026-03-06 03:23:25,7050000,445.9004518360367,True
2026-03-06 03:23:31,3525000,,False
2026-03-06 03:23:36,3550000,,False
2026-03-06 03:23:41,3575000,,False
2026-03-06 03:28:46,7000000,,False
2026-03-06 03:28:51,7025000,,False
2026-03-06 03:28:57,7050000,,False
2026-03-06 03:29:03,3525000,,False
2026-03-06 03:29:08,3550000,,False
2026-03-06 03:29:13,3575000,,False
2026-03-06 03:34:18,7000000,,False
2026-03-06 03:34:23,7025000,,False
2026-03-06 03:34:29,7050000,,False
2026-03-06 03:34:35,3525000,,False
2026-03-06 03:34:40,3550000,,False
2026-03-06 03:34:45,3575000,,False
2026-03-06 03:39:50,7000000,,False
2026-03-06 03:39:55,7025000,,False
2026-03-06 03:40:01,7050000,,False
2026-03-06 03:40:07,3525000,,False
2026-03-06 03:40:12,3550000,,False
2026-03-06 03:40:17,3575000,,False
2026-03-06 03:45:22,7000000,,False
2026-03-06 03:45:28,7025000,,False
2026-03-06 03:45:33,7050000,,False
2026-03-06 03:45:39,3525000,,False
