utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-02-27 17:28:46,7000000,,False
2026-02-27 17:28:46,7000000,,False
2026-02-27 17:28:51,7025000,264.0099060784796,True
2026-02-27 17:28:51,7025000,264.00990607847956,True
2026-02-27 17:28:56,7050000,,False
2026-02-27 17:28:56,7050000,,False
2026-02-27 17:29:02,3525000,,False
2026-02-27 17:29:02,3525000,,False
2026-02-27 17:29:07,3550000,,False
2026-02-27 17:29:07,3550000,,False
2026-02-27 17:29:12,3575000,,False
2026-02-27 17:34:17,7000000,,False
2026-02-27 17:34:22,7025000,262.4749647640698,True
2026-02-27 17:34:28,7050000,,False
2026-02-27 17:34:33,3525000,,False
2026-02-27 17:34:38,3550000,,False
2026-02-27 17:34:43,3575000,,False
2026-02-27 17:39:48,7000000,,False
2026-02-27 17:39:54,7025000,270.91714199332347,True
2026-02-27 17:39:59,7050000,,False
2026-02-27 17:40:04,3525000,,False
2026-02-27 17:40:09,3550000,,False
2026-02-27 17:40:14,3575000,,False
2026-02-27 17:45:19,7000000,270.91714199332347,True
2026-02-27 17:45:25,7025000,273.987024622143,True
2026-02-27 17:45:30,7050000,,False
2026-02-27 17:45:35,3525000,,False
2026-02-27 17:45:40,3550000,,False
2026-02-27 17:45:45,3575000,,False
2026-02-27 17:50:51,7000000,,False
2026-02-27 17:50:56,7025000,,False
2026-02-27 17:51:01,7050000,,False
2026-02-27 17:51:06,3525000,,False
2026-02-27 17:51:11,3550000,,False
2026-02-27 17:51:17,3575000,,False
2026-02-27 17:56:22,7000000,,False
2026-02-27 17:56:27,7025000,,False
2026-02-27 17:56:32,7050000,,False
2026-02-27 17:56:37,3525000,,False
2026-02-27 17:56:43,3550000,,False
2026-02-27 17:56:48,3575000,,False
2026-02-27 18:01:53,7000000,259.40508213525027,True
2026-02-27 18:01:58,7025000,264.00990607847956,True
2026-02-27 18:02:03,7050000,,False
2026-02-27 18:02:09,3525000,,False
2026-02-27 18:02:14,3550000,,False
2026-02-27 18:02:19,3575000,,False
2026-02-27 18:07:24,7000000,,False
2026-02-27 18:07:29,7025000,263.24243542127465,True
2026-02-27 18:07:35,7050000,,False
2026-02-27 18:07:40,3525000,,False
2026-02-27 18:07:45,3550000,,False
2026-02-27 18:07:50,3575000,,False
2026-02-27 18:12:55,7000000,273.21955396493814,True
2026-02-27 18:13:01,7025000,267.0797887072991,True
2026-02-27 18:13:06,7050000,,False
2026-02-27 18:13:11,3525000,,False
2026-02-27 18:13:16,3550000,,False
2026-02-27 18:13:21,3575000,,False
2026-02-27 18:18:26,7000000,281.6617311941919,True
2026-02-27 18:18:32,7025000,283.1966725086016,True
2026-02-27 18:18:37,7050000,,False
2026-02-27 18:18:42,3525000,,False
2026-02-27 18:18:47,3550000,,False
2026-02-27 18:18:52,3575000,,False
2026-02-27 18:23:58,7000000,,False
2026-02-27 18:24:03,7025000,284.73161382301134,True
2026-02-27 18:24:09,7050000,,False
2026-02-27 18:24:14,3525000,,False
2026-02-27 18:24:19,3550000,,False
2026-02-27 18:24:24,3575000,,False
2026-02-27 18:29:29,7000000,280.1267898797821,True
2026-02-27 18:29:35,7025000,268.61473002170885,True
2026-02-27 18:29:41,7050000,277.0569072509626,True
2026-02-27 18:29:46,3525000,,False
2026-02-27 18:29:51,3550000,,False
2026-02-27 18:29:56,3575000,,False
2026-02-27 18:35:01,7000000,265.5448473928893,True
2026-02-27 18:35:07,7025000,264.00990607847956,True
2026-02-27 18:35:12,7050000,,False
2026-02-27 18:35:17,3525000,,False
2026-02-27 18:35:22,3550000,,False
2026-02-27 18:35:27,3575000,392.1775058316949,True
2026-02-27 18:40:32,7000000,263.24243542127465,True
2026-02-27 18:40:38,7025000,262.4749647640698,True
2026-02-27 18:40:43,7050000,,False
2026-02-27 18:40:48,3525000,,False
2026-02-27 18:40:53,3550000,,False
2026-02-27 18:40:58,3575000,,False
2026-02-27 18:46:04,7000000,267.0797887072991,True
2026-02-27 18:46:09,7025000,260.94002344966003,True
2026-02-27 18:46:14,7050000,,False
2026-02-27 18:46:19,3525000,,False
2026-02-27 18:46:24,3550000,,False
2026-02-27 18:46:30,3575000,,False
2026-02-27 18:51:35,7000000,265.5448473928893,True
2026-02-27 18:51:40,7025000,265.5448473928893,True
2026-02-27 18:51:45,7050000,,False
2026-02-27 18:51:50,3525000,,False
2026-02-27 18:51:56,3550000,,False
2026-02-27 18:52:01,3575000,,False
2026-02-27 18:57:06,7000000,266.31231805009423,True
2026-02-27 18:57:11,7025000,267.0797887072991,True
2026-02-27 18:57:16,7050000,,False
2026-02-27 18:57:22,3525000,,False
2026-02-27 18:57:27,3550000,,False
2026-02-27 18:57:32,3575000,,False
2026-02-27 19:02:37,7000000,,False
2026-02-27 19:02:42,7025000,258.63761147804536,True
2026-02-27 19:02:48,7050000,,False
2026-02-27 19:02:53,3525000,,False
2026-02-27 19:02:58,3550000,,False
2026-02-27 19:03:03,3575000,,False
2026-02-27 19:08:08,7000000,259.40508213525027,True
2026-02-27 19:08:14,7025000,,False
2026-02-27 19:08:19,7050000,,False
2026-02-27 19:08:24,3525000,,False
2026-02-27 19:08:29,3550000,,False
2026-02-27 19:08:34,3575000,,False
2026-02-27 19:13:39,7000000,261.7074941068649,True
2026-02-27 19:13:45,7025000,,False
2026-02-27 19:13:50,7050000,,False
2026-02-27 19:13:55,3525000,,False
2026-02-27 19:14:00,3550000,,False
2026-02-27 19:14:05,3575000,,False
2026-02-27 19:19:11,7000000,,False
2026-02-27 19:19:16,7025000,267.84725936450394,True
2026-02-27 19:19:21,7050000,,False
2026-02-27 19:19:26,3525000,,False
2026-02-27 19:19:31,3550000,,False
2026-02-27 19:19:36,3575000,,False
2026-02-27 19:24:42,7000000,273.21955396493814,True
2026-02-27 19:24:47,7025000,281.6617311941919,True
2026-02-27 19:24:52,7050000,,False
2026-02-27 19:24:57,3525000,,False
2026-02-27 19:25:02,3550000,,False
2026-02-27 19:25:08,3575000,,False
2026-02-27 19:30:13,7000000,266.31231805009423,True
2026-02-27 19:30:18,7025000,270.91714199332347,True
2026-02-27 19:30:23,7050000,,False
2026-02-27 19:30:28,3525000,,False
2026-02-27 19:30:34,3550000,,False
2026-02-27 19:30:39,3575000,,False
2026-02-27 19:35:44,7000000,259.40508213525027,True
2026-02-27 19:35:49,7025000,256.33519950643074,True
2026-02-27 19:35:54,7050000,,False
2026-02-27 19:36:00,3525000,,False
2026-02-27 19:36:05,3550000,,False
2026-02-27 19:36:10,3575000,,False
2026-02-27 19:41:15,7000000,260.1725527924551,True
2026-02-27 19:41:20,7025000,256.33519950643074,True
2026-02-27 19:41:26,7050000,,False
2026-02-27 19:41:31,3525000,,False
2026-02-27 19:41:36,3550000,,False
2026-02-27 19:41:41,3575000,,False
2026-02-27 19:46:46,7000000,270.1496713361186,True
2026-02-27 19:46:52,7025000,263.24243542127465,True
2026-02-27 19:46:57,7050000,,False
2026-02-27 19:47:02,3525000,,False
2026-02-27 19:47:07,3550000,,False
2026-02-27 19:47:12,3575000,,False
2026-02-27 19:52:17,7000000,258.63761147804536,True
2026-02-27 19:52:23,7025000,257.8701408208405,True
2026-02-27 19:52:28,7050000,265.5448473928893,True
2026-02-27 19:52:33,3525000,,False
2026-02-27 19:52:38,3550000,,False
2026-02-27 19:52:43,3575000,,False
2026-02-27 19:57:49,7000000,260.94002344966003,True
2026-02-27 19:57:54,7025000,259.40508213525027,True
2026-02-27 19:57:59,7050000,,False
2026-02-27 19:58:04,3525000,,False
2026-02-27 19:58:09,3550000,,False
2026-02-27 19:58:14,3575000,,False
2026-02-27 20:03:20,7000000,257.1026701636356,True
2026-02-27 20:03:25,7025000,258.63761147804536,True
2026-02-27 20:03:30,7050000,259.40508213525027,True
2026-02-27 20:03:35,3525000,,False
2026-02-27 20:03:40,3550000,,False
2026-02-27 20:03:46,3575000,,False
2026-02-27 20:08:51,7000000,257.1026701636356,True
2026-02-27 20:08:56,7025000,257.8701408208405,True
2026-02-27 20:09:01,7050000,256.33519950643074,True
2026-02-27 20:09:06,3525000,,False
2026-02-27 20:09:12,3550000,,False
2026-02-27 20:09:17,3575000,,False
2026-02-27 20:14:22,7000000,255.56772884922583,True
2026-02-27 20:14:27,7025000,257.8701408208405,True
