utc_times,frequencies_Hz,virtual_heights_km,echo_detected
2026-02-13 00:02:24,7000000,,False
2026-02-13 00:02:30,7025000,,False
2026-02-13 00:02:35,7050000,312.36055748238715,True
2026-02-13 00:02:40,3525000,231.7761384758745,True
2026-02-13 00:02:45,3550000,230.24119716146473,True
2026-02-13 00:02:51,3575000,,False
2026-02-13 00:07:56,7000000,353.8039729714508,True
2026-02-13 00:08:01,7025000,347.6642077138118,True
2026-02-13 00:08:06,7050000,315.4304401112067,True
2026-02-13 00:08:12,3525000,,False
2026-02-13 00:08:17,3550000,,False
2026-02-13 00:08:22,3575000,,False
2026-02-13 00:13:27,7000000,344.5943250849922,True
2026-02-13 00:13:33,7025000,348.43167837101663,True
2026-02-13 00:13:38,7050000,380.66544597362173,True
2026-02-13 00:13:43,3525000,,False
2026-02-13 00:13:49,3550000,,False
2026-02-13 00:13:54,3575000,,False
2026-02-13 00:18:59,7000000,355.33891428586054,True
2026-02-13 00:19:05,7025000,,False
2026-02-13 00:19:10,7050000,,False
2026-02-13 00:19:15,3525000,234.84602110469402,True
2026-02-13 00:19:20,3550000,,False
2026-02-13 00:19:26,3575000,,False
2026-02-13 00:24:31,7000000,,False
2026-02-13 00:24:36,7025000,,False
2026-02-13 00:24:41,7050000,,False
2026-02-13 00:24:47,3525000,,False
2026-02-13 00:24:52,3550000,,False
2026-02-13 00:24:57,3575000,,False
2026-02-13 00:30:03,7000000,,False
2026-02-13 00:30:08,7025000,,False
2026-02-13 00:30:13,7050000,,False
2026-02-13 00:30:18,3525000,,False
2026-02-13 00:30:24,3550000,,False
2026-02-13 00:30:29,3575000,,False
2026-02-13 00:35:34,7000000,,False
2026-02-13 00:35:40,7025000,,False
2026-02-13 00:35:45,7050000,,False
2026-02-13 00:35:50,3525000,,False
2026-02-13 00:35:55,3550000,,False
2026-02-13 00:36:01,3575000,,False
2026-02-13 00:41:06,7000000,,False
2026-02-13 00:41:11,7025000,,False
2026-02-13 00:41:17,7050000,,False
2026-02-13 00:41:22,3525000,,False
2026-02-13 00:41:27,3550000,,False
2026-02-13 00:41:32,3575000,,False
2026-02-13 00:46:38,7000000,,False
2026-02-13 00:46:43,7025000,,False
2026-02-13 00:46:48,7050000,,False
2026-02-13 00:46:53,3525000,243.28819833394772,True
2026-02-13 00:46:59,3550000,,False
2026-02-13 00:47:04,3575000,,False
2026-02-13 00:52:09,7000000,,False
2026-02-13 00:52:15,7025000,,False
2026-02-13 00:52:20,7050000,,False
2026-02-13 00:52:25,3525000,,False
2026-02-13 00:52:30,3550000,,False
2026-02-13 00:52:36,3575000,,False
2026-02-13 00:57:41,7000000,,False
2026-02-13 00:57:46,7025000,,False
2026-02-13 00:57:52,7050000,,False
2026-02-13 00:57:57,3525000,,False
2026-02-13 00:58:02,3550000,268.61473002170885,True
2026-02-13 00:58:07,3575000,,False
2026-02-13 01:03:13,7000000,,False
2026-02-13 01:03:18,7025000,,False
2026-02-13 01:03:23,7050000,,False
2026-02-13 01:03:28,3525000,,False
2026-02-13 01:03:34,3550000,,False
2026-02-13 01:03:39,3575000,,False
2026-02-13 01:08:44,7000000,,False
2026-02-13 01:08:50,7025000,,False
2026-02-13 01:08:55,7050000,,False
2026-02-13 01:09:00,3525000,,False
2026-02-13 01:09:05,3550000,,False
2026-02-13 01:09:11,3575000,,False
2026-02-13 01:14:16,7000000,,False
2026-02-13 01:14:21,7025000,,False
2026-02-13 01:14:27,7050000,,False
2026-02-13 01:14:32,3525000,,False
2026-02-13 01:14:37,3550000,,False
2026-02-13 01:14:42,3575000,,False
2026-02-13 01:19:48,7000000,,False
2026-02-13 01:19:53,7025000,,False
2026-02-13 01:19:58,7050000,,False
2026-02-13 01:20:04,3525000,,False
2026-02-13 01:20:09,3550000,,False
2026-02-13 01:20:14,3575000,,False
2026-02-13 01:25:19,7000000,,False
2026-02-13 01:25:25,7025000,,False
2026-02-13 01:25:30,7050000,,False
2026-02-13 01:25:35,3525000,,False
2026-02-13 01:25:40,3550000,,False
2026-02-13 01:25:46,3575000,,False
2026-02-13 01:30:51,7000000,,False
2026-02-13 01:30:56,7025000,,False
2026-02-13 01:31:02,7050000,,False
2026-02-13 01:31:07,3525000,260.1725527924551,True
2026-02-13 01:31:12,3550000,,False
2026-02-13 01:31:17,3575000,,False
2026-02-13 01:36:23,7000000,,False
2026-02-13 01:36:28,7025000,,False
2026-02-13 01:36:33,7050000,,False
2026-02-13 01:36:38,3525000,,False
2026-02-13 01:36:44,3550000,,False
2026-02-13 01:36:49,3575000,,False
2026-02-13 01:41:54,7000000,,False
2026-02-13 01:42:00,7025000,,False
2026-02-13 01:42:05,7050000,,False
2026-02-13 01:42:10,3525000,,False
2026-02-13 01:42:15,3550000,,False
